FileRoot,FileName,ch1,ch2,GREEN,ch4,ch5,ch6,,ch1,ch2,YELLOW,ch4,ch5,ch6,,ch1,ch2,YELLOGREEN,ch4,ch5,ch6,,ch1,ch2,BLUE,ch4,ch5,ch6
Data\green\pre,11-53-33_dur=600secs.wav,0.37781,0.70628,0.72112,0.63719,0.43913,0.83094,,0.68058,0.37657,0.2642,0.28463,0.044697,1.099,,0.82372,1.3001,0.55344,0.92125,0.71288,0.63469,,0.35137,0.26959,0.32742,0.32494,0.34141,0.32692
Data\green\pre,12-01-35_dur=600secs.wav,1.9676,2.5094,3.8645,3.3244,5.1575,5.6428,,0.46168,9.9465,2.7122,5.6101,4.1788,2.8837,,0.63788,0.71868,0.38313,0.70438,0.50348,0.45631,,0.43737,0.26911,0.37816,0.37749,0.41503,0.40534
Data\green\pre,12-01-39_dur=600secs.wav,2.4098,5.1291,3.7027,5.5051,4.7429,5.9305,,0.16934,4.7362,1.2026,2.503,3.1257,1.4307,,0.62061,0.67948,0.46003,0.71506,0.50939,0.53613,,0.32206,0.147,0.30444,0.30163,0.31255,0.30686
Data\green\pre,12-01-48_dur=600secs.wav,0.096096,0.13461,0.33308,0.14436,0.22325,0.45173,,0.26096,6.3097,3.1665,6.6586,4.386,2.9262,,1.1541,1.2811,0.62581,1.375,0.8476,0.78431,,0.3466,0.18209,0.34283,0.33378,0.35866,0.34206
Data\green\pre,12-03-33_dur=600secs.wav,0.57113,0.97853,0.99748,0.74181,0.83669,1.2072,,0.18467,6.8487,1.5307,3.1988,5.5245,1.8639,,0.62144,0.62158,0.4269,0.68116,0.42256,0.50442,,0.31829,0.15244,0.35504,0.34809,0.36536,0.33989
Data\green\pre,12-03-42_dur=600secs.wav,0.44369,0.54198,1.2406,3.231,3.9493,2.1975,,0.20086,6.1117,1.4804,3.3905,3.5782,1.5624,,0.77363,0.94496,0.63703,0.78705,0.70045,0.75227,,0.41375,0.24957,0.38482,0.37858,0.40882,0.39306
Data\green\pre,12-11-35_dur=600secs.wav,1.1594,1.7931,2.1764,3.1401,3.6671,5.1415,,0.33798,7.5876,3.0369,6.365,3.991,2.8461,,0.5177,0.54835,0.29371,0.53883,0.39808,0.41158,,0.42398,0.36765,0.38986,0.37221,0.43706,0.40888
Data\green\pre,12-12-37_dur=600secs.wav,0.17805,0.37478,0.56834,0.32166,0.41126,0.62423,,0.15337,6.1185,1.5415,4.0202,7.3459,1.6535,,1.1675,1.5343,0.90916,1.2321,0.92504,1.0304,,0.29692,0.18451,0.29713,0.31778,0.28994,0.29657
Data\green\pre,12-13-45_dur=600secs.wav,0.21543,0.29784,0.57639,0.47374,0.66749,0.92665,,0.13999,4.4033,1.1778,2.5564,4.5933,1.4402,,0.65722,0.72572,0.54545,0.65788,0.63722,0.62004,,0.39901,0.75989,0.37807,0.36439,0.39481,0.38178
Data\green\pre,12-14-35_dur=600secs.wav,2.352,1.7102,2.6666,2.9704,2.5082,5.6444,,0.30951,6.1642,2.0503,3.3073,3.6758,1.6556,,0.60642,0.68392,0.45981,0.71584,0.45797,0.51207,,0.42868,0.49989,0.37808,0.37896,0.40249,0.39954
