fileName,ch1,ch2,ch3,ch4,ch5,ch6
Data\WavFieldRecordings\Blue\early\12-01-14_dur=600secs.wav,0.13727,0.14685,0.0018005,0.0091553,0.019287,0.017303
Data\WavFieldRecordings\Blue\early\12-01-36_dur=600secs.wav,0.031189,0.027191,0.0092163,0.029297,0.0018921,0.0090027
Data\WavFieldRecordings\Blue\early\12-03-15_dur=600secs.wav,0.011017,0.0289,0.0018005,0.008728,0.017578,0.017212
Data\WavFieldRecordings\Blue\early\12-08-56_dur=600secs.wav,0.018982,0.017822,0.033997,0.02652,0.011505,0.028015
Data\WavFieldRecordings\Blue\early\12-09-45_dur=600secs.wav,0.15067,0.019165,0.066681,0.18118,0.22687,0.12714
Data\WavFieldRecordings\Blue\early\12-14-08_dur=600secs.wav,0.032074,0.0896,0.0094299,0.030792,0.0079956,0.010376
Data\WavFieldRecordings\Blue\early\12-20-28_dur=600secs.wav,0.01709,0.028839,0.0015259,0.0088501,0.02002,0.016815
Data\WavFieldRecordings\Blue\early\12-30-05_dur=600secs.wav,0.0018921,0.0091248,0.018219,0.017365,0.033691,0.02771
Data\WavFieldRecordings\Blue\early\12-42-02_dur=600secs.wav,0.031433,0.022186,0.031006,0.027191,0.054077,0.0448
Data\WavFieldRecordings\Blue\early\12-46-58_dur=600secs.wav,0.0026245,0.030273,0.039581,0.019287,0.031708,0.077759
Data\WavFieldRecordings\Blue\late\11-00-26_dur=600secs.wav,0.15692,0.23355,0.271,0.002594,0.0094604,0.20618
Data\WavFieldRecordings\Blue\late\12-00-43_dur=600secs.wav,0.028625,0.045807,0.0023499,0.0093994,0.036469,0.027039
Data\WavFieldRecordings\Blue\late\12-02-58_dur=600secs.wav,0.021637,0.26764,0.0023193,0.0092468,0.021454,0.025116
Data\WavFieldRecordings\Blue\late\12-03-54_dur=600secs.wav,0.064911,0.052551,0.0020752,0.0091553,0.033234,0.053558
Data\WavFieldRecordings\Blue\late\12-05-38_dur=600secs.wav,0.0019531,0.0088196,0.018402,0.016083,0.030334,0.026123
Data\WavFieldRecordings\Blue\late\12-05-49_dur=600secs.wav,0.096069,0.033539,0.033966,0.037323,0.0025024,0.0092468
Data\WavFieldRecordings\Blue\late\12-06-52_dur=600secs.wav,0.067474,0.030396,0.0022583,0.0093994,0.020905,0.02774
Data\WavFieldRecordings\Blue\late\12-15-16_dur=600secs.wav,0.27451,0.12927,0.0021667,0.0092163,0.080902,0.14993
Data\WavFieldRecordings\Blue\late\12-16-35_dur=600secs.wav,0.27469,0.41608,0.39453,0.267,0.0022888,0.0092773
Data\WavFieldRecordings\Blue\late\12-36-28_dur=600secs.wav,0.27679,0.13736,0.13947,0.13892,0.032593,0.02594
Data\WavFieldRecordings\Blue\pre\11-52-31_dur=600secs.wav,0.064178,0.19168,0.068176,0.043854,0.054565,0.064484
Data\WavFieldRecordings\Blue\pre\12-02-09_dur=600secs.wav,0.037628,0.64001,0.10562,0.03302,0.054108,0.046814
Data\WavFieldRecordings\Blue\pre\12-02-31_dur=600secs.wav,0.035431,0.84518,0.064209,0.028503,0.047211,0.033569
Data\WavFieldRecordings\Blue\pre\12-04-19_dur=600secs.wav,0.021423,0.50708,0.035187,0.029694,0.027863,0.032349
Data\WavFieldRecordings\Blue\pre\12-05-40_dur=600secs.wav,0.026062,1,0.064758,0.062042,0.11887,0.15088
Data\WavFieldRecordings\Blue\pre\12-14-20_dur=600secs.wav,0.038727,0.18353,0.03241,0.027466,0.017731,0.029877
Data\WavFieldRecordings\Blue\pre\12-15-12_dur=600secs.wav,0.021454,0.58066,0.03363,0.029785,0.024353,0.029236
Data\WavFieldRecordings\Blue\pre\12-15-42_dur=600secs.wav,0.022034,1,0.032684,0.036621,0.02005,0.028595
Data\WavFieldRecordings\Blue\pre\12-17-11_dur=600secs.wav,0.044098,0.31082,0.10196,0.057098,0.077972,0.05423
Data\WavFieldRecordings\Blue\pre\12-22-32_dur=600secs.wav,0.10007,0.47202,0.1387,0.09668,0.12518,0.11603
Data\WavFieldRecordings\green\deployment1\11-36-44_dur=600secs.wav,0.050751,0.11887,0.019196,0.046326,0.027649,0.034027
Data\WavFieldRecordings\green\deployment1\12-00-37_dur=600secs.wav,0.019409,0.039978,0.011322,0.038452,0.013702,0.028687
Data\WavFieldRecordings\green\deployment1\12-01-19_dur=600secs.wav,0.039856,0.19046,0.022156,0.045746,0.03009,0.032501
Data\WavFieldRecordings\green\deployment1\12-02-02_dur=600secs.wav,0.18088,0.090668,0.083771,0.12567,0.07251,0.1069
Data\WavFieldRecordings\green\deployment1\12-09-15_dur=600secs.wav,0.3855,0.11118,0.066345,0.057343,0.12546,0.14874
Data\WavFieldRecordings\green\deployment1\12-14-02_dur=600secs.wav,0.028809,0.061615,0.014069,0.090973,0.076233,0.042664
Data\WavFieldRecordings\green\deployment1\12-21-01_dur=600secs.wav,0.038116,0.060028,0.024872,0.092773,0.07782,0.034485
Data\WavFieldRecordings\green\deployment1\12-27-04_dur=600secs.wav,1,1,0.48373,0.99997,0.83356,0.72385
Data\WavFieldRecordings\green\deployment1\12-32-45_dur=600secs.wav,0.051331,0.085297,0.032745,0.040985,0.024353,0.033936
Data\WavFieldRecordings\green\deployment1\12-43-12_dur=600secs.wav,0.159,0.36526,0.28622,0.4303,0.092712,0.10745
Data\WavFieldRecordings\green\early\12-00-07_dur=600secs.wav,0.19171,0.035217,0.06662,0.23047,0.09552,0.088196
Data\WavFieldRecordings\green\early\12-00-19_dur=600secs.wav,0.019073,0.029449,0.0087585,0.039307,0.014557,0.028168
Data\WavFieldRecordings\green\early\12-02-31_dur=600secs.wav,0.28226,0.17828,0.1799,0.54105,0.76248,0.31421
Data\WavFieldRecordings\green\early\12-02-32_dur=600secs.wav,0.089813,0.071198,0.082062,0.27451,0.04776,0.062653
Data\WavFieldRecordings\green\early\12-05-21_dur=600secs.wav,0.019745,0.033295,0.010803,0.039429,0.015747,0.027344
Data\WavFieldRecordings\green\early\12-06-40_dur=600secs.wav,0.024811,0.13663,0.031464,0.049103,0.042023,0.033142
Data\WavFieldRecordings\green\early\12-06-55_dur=600secs.wav,0.04184,0.042328,0.066071,0.070068,0.030396,0.041656
Data\WavFieldRecordings\green\early\12-07-01_dur=600secs.wav,0.10193,0.055634,0.10513,0.13016,0.032837,0.031616
Data\WavFieldRecordings\green\early\12-09-43_dur=600secs.wav,0.52008,0.11499,0.52515,0.18433,0.23923,0.44559
Data\WavFieldRecordings\green\early\12-12-13_dur=600secs.wav,0.14487,0.1633,0.23593,0.29013,0.1171,0.072357
Data\WavFieldRecordings\green\late\11-52-39_dur=600secs.wav,0.025635,0.036804,0.024109,0.03717,0.027679,0.027069
Data\WavFieldRecordings\green\late\12-06-34_dur=600secs.wav,0.0080261,0.0061035,0.1377,0.14441,0.24844,0.41788
Data\WavFieldRecordings\green\late\12-06-47_dur=600secs.wav,0.04184,0.035065,0.073853,0.037689,0.034515,0.029938
Data\WavFieldRecordings\green\late\12-07-01_dur=600secs.wav,0.10193,0.055634,0.10513,0.13016,0.032837,0.031616
Data\WavFieldRecordings\green\late\12-10-43_dur=600secs.wav,0.34665,0.14322,0.21957,0.12134,0.13766,0.22498
Data\WavFieldRecordings\green\late\12-12-27_dur=600secs.wav,0.047394,0.078796,0.069641,0.17001,0.097687,0.038971
Data\WavFieldRecordings\green\late\12-12-38_dur=600secs.wav,0.023987,0.24966,0.034546,0.038025,0.031403,0.031006
Data\WavFieldRecordings\green\late\12-12-51_dur=600secs.wav,0.20895,0.074921,0.32806,0.11975,0.09433,0.070953
Data\WavFieldRecordings\green\late\12-16-34_dur=600secs.wav,0.092621,0.063324,0.033783,0.10226,0.043976,0.029785
Data\WavFieldRecordings\green\late\12-16-53_dur=600secs.wav,0.031372,0.054291,0.051819,0.057922,0.043396,0.035767
Data\WavFieldRecordings\green\pre\11-53-33_dur=600secs.wav,0.99997,0.43326,0.99997,0.66278,0.55746,0.65686
Data\WavFieldRecordings\green\pre\12-01-35_dur=600secs.wav,1,1,1,1,1,1
Data\WavFieldRecordings\green\pre\12-01-39_dur=600secs.wav,1,1,1,1,1,1
Data\WavFieldRecordings\green\pre\12-01-48_dur=600secs.wav,1,1,1,1,1,1
Data\WavFieldRecordings\green\pre\12-03-33_dur=600secs.wav,0.54056,1,0.99997,0.64709,0.98569,0.16635
Data\WavFieldRecordings\green\pre\12-03-42_dur=600secs.wav,0.78552,0.65765,0.8576,1,1,1
Data\WavFieldRecordings\green\pre\12-11-35_dur=600secs.wav,1,1,1,1,1,1
Data\WavFieldRecordings\green\pre\12-12-37_dur=600secs.wav,0.272,0.12201,0.52908,0.48642,0.84653,0.21701
Data\WavFieldRecordings\green\pre\12-13-45_dur=600secs.wav,1,1,1,1,1,1
Data\WavFieldRecordings\green\pre\12-14-35_dur=600secs.wav,0.99997,0.89832,1,1,1,0.99997
Data\WavFieldRecordings\yellow\early\11-33-34_dur=600secs.wav,0.10678,0.079498,0.043121,0.040466,0.061676,0.059204
Data\WavFieldRecordings\yellow\early\11-39-59_dur=600secs.wav,0.17874,0.033295,0.024017,0.036652,0.030731,0.057587
Data\WavFieldRecordings\yellow\early\11-53-17_dur=600secs.wav,0.057556,0.061584,0.049622,0.04715,0.054901,0.055176
Data\WavFieldRecordings\yellow\early\12-08-38_dur=600secs.wav,0.20837,0.5517,0.13513,0.13531,0.11285,0.092163
Data\WavFieldRecordings\yellow\early\12-15-52_dur=600secs.wav,0.10272,0.25134,0.06546,0.064423,0.047241,0.06369
Data\WavFieldRecordings\yellow\early\12-26-14_dur=600secs.wav,0.053528,0.11786,0.04248,0.053436,0.027374,0.063934
Data\WavFieldRecordings\yellow\early\12-28-44_dur=600secs.wav,0.17435,0.092743,0.06189,0.038147,0.04776,0.067535
Data\WavFieldRecordings\yellow\early\12-30-56_dur=600secs.wav,0.027466,0.039673,0.07666,0.06662,0.025513,0.063232
Data\WavFieldRecordings\yellow\early\12-52-18_dur=600secs.wav,0.19992,0.24435,0.20068,0.18179,0.2229,0.24551
Data\WavFieldRecordings\yellow\early\13-12-17_dur=600secs.wav,0.029816,0.040161,0.023346,0.030304,0.027985,0.056396
Data\WavFieldRecordings\yellow\late\11-27-23_dur=600secs.wav,0.13535,0.081451,0.10144,0.076385,0.13568,0.099731
Data\WavFieldRecordings\yellow\late\11-28-22_dur=600secs.wav,0.10559,0.036072,0.030243,0.043854,0.03891,0.056854
Data\WavFieldRecordings\yellow\late\11-41-23_dur=600secs.wav,0.027283,0.033661,0.02478,0.038086,1,0.060394
Data\WavFieldRecordings\yellow\late\11-52-25_dur=600secs.wav,0.83051,0.99997,0.83539,0.98047,1,0.56326
Data\WavFieldRecordings\yellow\late\12-07-36_dur=600secs.wav,0.33228,0.3934,0.2001,0.14001,1,0.19608
Data\WavFieldRecordings\yellow\late\12-28-53_dur=600secs.wav,0.0093994,0.013092,0.042725,0.096619,0.086426,0.063049
Data\WavFieldRecordings\yellow\late\12-39-04_dur=600secs.wav,0.80576,0.49802,0.99997,0.55576,0.5777,0.33136
Data\WavFieldRecordings\yellow\late\12-41-23_dur=600secs.wav,0.028534,0.035126,0.037231,0.039948,0.023376,0.059845
Data\WavFieldRecordings\yellow\late\13-51-57_dur=600secs.wav,0.068634,0.084869,0.07785,0.069855,0.10703,0.062134
Data\WavFieldRecordings\yellow\pre\11-06-34_dur=600secs.wav,0.055389,0.065094,0.0088501,0.01236,0.059875,0.065552
Data\WavFieldRecordings\yellow\pre\11-44-13_dur=600secs.wav,0.056213,0.058533,0.052795,0.051788,0.051178,0.063263
Data\WavFieldRecordings\yellow\pre\11-46-20_dur=600secs.wav,0.28546,0.30563,0.27408,0.26245,0.26129,0.27954
Data\WavFieldRecordings\yellow\pre\11-54-14_dur=600secs.wav,0.10074,0.22269,0.091003,0.086121,0.08493,0.092621
