fileName,ch1,ch2,ch3,ch4,ch5,ch6
Data\green\pre\11-53-33_dur=600secs.wav,0.0079139,0.0078852,0.0071898,0.0079205,0.0066006,0.0044004
Data\green\pre\12-01-35_dur=600secs.wav,0.025949,0.028114,0.021139,0.025854,0.020526,0.015691
Data\green\pre\12-01-39_dur=600secs.wav,0.015575,0.02795,0.014513,0.030944,0.01416,0.010666
Data\green\pre\12-01-48_dur=600secs.wav,0.0073234,0.0087949,0.0063129,0.0081661,0.0076085,0.004512
Data\green\pre\12-03-33_dur=600secs.wav,0.005865,0.0081413,0.0050826,0.0066897,0.006066,0.0041136
Data\green\pre\12-03-42_dur=600secs.wav,0.017201,0.021153,0.015554,0.036978,0.032746,0.014245
Data\green\pre\12-11-35_dur=600secs.wav,0.029966,0.032615,0.024817,0.033241,0.026924,0.019239
Data\green\pre\12-12-37_dur=600secs.wav,0.009423,0.0090483,0.0081181,0.007733,0.0057874,0.0048015
Data\green\pre\12-13-45_dur=600secs.wav,0.013845,0.016609,0.012189,0.028893,0.025453,0.010608
Data\green\pre\12-14-35_dur=600secs.wav,0.024055,0.024207,0.017587,0.034612,0.029269,0.018961
Data\green\early\12-00-07_dur=600secs.wav,0.0028935,0.0071116,0.0027667,0.0031195,0.0028298,0.0024783
Data\green\early\12-00-19_dur=600secs.wav,0.0021418,0.0056223,0.0021076,0.0023259,0.0024318,0.0020923
Data\green\early\12-02-31_dur=600secs.wav,0.0050863,0.0076232,0.0029408,0.0047891,0.011837,0.0068815
Data\green\early\12-02-32_dur=600secs.wav,0.0033825,0.0097912,0.0033633,0.0037413,0.003206,0.002961
Data\green\early\12-05-21_dur=600secs.wav,0.0020642,0.006366,0.0020027,0.0022332,0.0022635,0.0019634
Data\green\early\12-06-40_dur=600secs.wav,0.0021919,0.006945,0.0021724,0.0024661,0.0025031,0.0021685
Data\green\early\12-06-55_dur=600secs.wav,0.0048554,0.0093337,0.004587,0.005329,0.0044329,0.0038176
Data\green\early\12-07-01_dur=600secs.wav,0.0032118,0.0095033,0.0030729,0.003752,0.0032935,0.0028143
Data\green\early\12-09-43_dur=600secs.wav,0.003744,0.0082653,0.0030736,0.0039401,0.0048544,0.0045051
Data\green\early\12-12-13_dur=600secs.wav,0.0044542,0.010569,0.0046278,0.0048002,0.0040813,0.0036994
Data\green\late\11-52-39_dur=600secs.wav,0.003036,0.0059276,0.0029559,0.0033147,0.0033682,0.0030003
Data\green\late\12-06-34_dur=600secs.wav,0.0022087,0.0084543,0.0045746,0.010192,0.0048146,0.0052518
Data\green\late\12-06-47_dur=600secs.wav,0.002988,0.0064778,0.0029242,0.002998,0.0028218,0.0024718
Data\green\late\12-07-01_dur=600secs.wav,0.0032118,0.0095033,0.0030729,0.003752,0.0032935,0.0028143
Data\green\late\12-10-43_dur=600secs.wav,0.0037326,0.014062,0.0035647,0.0046612,0.0038145,0.0036483
Data\green\late\12-12-27_dur=600secs.wav,0.0034576,0.013735,0.0034351,0.0046772,0.0037204,0.0033161
Data\green\late\12-12-38_dur=600secs.wav,0.002546,0.0060142,0.0024618,0.0027603,0.0028394,0.0025311
Data\green\late\12-12-51_dur=600secs.wav,0.0027906,0.0076906,0.0030236,0.0029298,0.0026717,0.0023214
Data\green\late\12-16-34_dur=600secs.wav,0.0039166,0.0094246,0.0039922,0.0039881,0.0035077,0.0031899
Data\green\late\12-16-53_dur=600secs.wav,0.0027386,0.0066013,0.0026048,0.0029275,0.002949,0.0025024
Data\yellow\pre\11-06-34_dur=600secs.wav,0.0034007,0.0036294,8.2154e-05,7.3885e-05,0.0040599,0.0041883
Data\yellow\pre\11-44-13_dur=600secs.wav,0.0049169,0.0054732,0.0045653,0.0044458,0.0044301,0.0047366
Data\yellow\pre\11-46-20_dur=600secs.wav,0.0050905,0.0054676,0.0045696,0.0044259,0.0044464,0.004803
Data\yellow\pre\11-54-14_dur=600secs.wav,0.0064414,0.0075706,0.0054938,0.0053728,0.0052804,0.0057636
Data\yellow\pre\11-54-18_dur=600secs.wav,0.0047741,0.005501,0.0042952,0.0041634,0.0042044,0.0044639
Data\yellow\pre\12-06-22_dur=600secs.wav,0.0044349,0.0048854,0.0040051,0.0038958,0.0038933,0.004136
Data\yellow\pre\12-06-40_dur=600secs.wav,0.0038568,0.0047204,0.0031609,0.0031202,0.0030434,0.0033363
Data\yellow\pre\12-14-21_dur=600secs.wav,0.0074684,0.0084356,0.006644,0.0065002,0.0065383,0.0068856
Data\yellow\pre\12-24-21_dur=600secs.wav,0.0042487,0.0049228,0.0037304,0.003606,0.0036515,0.0038826
Data\yellow\pre\12-25-26_dur=600secs.wav,0.0065227,0.0069849,0.0060983,0.0059347,0.0059308,0.0062991
Data\yellow\early\11-33-34_dur=600secs.wav,0.0030826,0.0033478,0.0028797,0.002828,0.0030349,0.002865
Data\yellow\early\11-39-59_dur=600secs.wav,0.0036306,0.0038487,0.0033342,0.0032039,0.0034652,0.0034195
Data\yellow\early\11-53-17_dur=600secs.wav,0.0030107,0.0031997,0.0027203,0.0026739,0.002863,0.0028043
Data\yellow\early\12-08-38_dur=600secs.wav,0.0040193,0.0044072,0.0035516,0.0035113,0.003769,0.0036494
Data\yellow\early\12-15-52_dur=600secs.wav,0.00342,0.0034834,0.0028208,0.002773,0.0030076,0.0029303
Data\yellow\early\12-26-14_dur=600secs.wav,0.0042952,0.0047046,0.0037973,0.0038309,0.0040731,0.0040086
Data\yellow\early\12-28-44_dur=600secs.wav,0.0031374,0.0035121,0.0028221,0.0027207,0.0029423,0.002941
Data\yellow\early\12-30-56_dur=600secs.wav,0.0032472,0.0035885,0.0030263,0.0029781,0.0031705,0.0031225
Data\yellow\early\12-52-18_dur=600secs.wav,0.0029796,0.0031782,0.0028489,0.002758,0.0028925,0.0028975
Data\yellow\early\13-12-17_dur=600secs.wav,0.0057782,0.0062862,0.005458,0.0051951,0.0057943,0.0062429
Data\yellow\late\11-27-23_dur=600secs.wav,0.0060197,0.0071479,0.0068423,0.006568,0.0088297,0.0049295
Data\yellow\late\11-28-22_dur=600secs.wav,0.0062554,0.0055092,0.0043499,0.0044534,0.0047326,0.0033065
Data\yellow\late\11-41-23_dur=600secs.wav,0.0033556,0.0038665,0.0035854,0.0034478,0.0018068,0.0027459
Data\yellow\late\11-52-25_dur=600secs.wav,0.019397,0.015632,0.012381,0.014166,0.020525,0.011559
Data\yellow\late\12-07-36_dur=600secs.wav,0.0096294,0.0072651,0.0053666,0.0061133,0.0024288,0.0041188
Data\yellow\late\12-28-53_dur=600secs.wav,8.2802e-05,7.4129e-05,0.0031579,0.0037838,0.003545,0.0034144
Data\yellow\late\12-39-04_dur=600secs.wav,0.021319,0.017663,0.013326,0.016041,0.008733,0.010564
Data\yellow\late\12-41-23_dur=600secs.wav,0.0029493,0.0033114,0.0030966,0.0029929,0.003696,0.0023643
Data\yellow\late\13-51-57_dur=600secs.wav,0.0031378,0.0034919,0.0033323,0.0032461,0.0033005,0.0027114
Data\yellowgreen\pre\11-54-17_dur=600secs.wav,0.0024603,0.0025594,0.0023996,0.0026028,0.0025981,0.0024457
Data\yellowgreen\pre\12-02-09_dur=600secs.wav,0.0020012,0.0020116,0.0019388,0.0021534,0.0021089,0.0019657
Data\yellowgreen\pre\12-02-17_dur=600secs.wav,0.0018649,0.0019071,0.0018307,0.0020403,0.0019678,0.0018429
