fileName,ch1,ch2,ch3,ch4,ch5,ch6
12-01-14_dur=600secs.wav,0.0013711,0.0013841,7.7242e-05,7.6729e-05,0.0013839,0.0014597
12-01-36_dur=600secs.wav,0.0013557,0.0013607,0.0011454,0.0011754,0.00021884,0.00023934
12-03-15_dur=600secs.wav,0.0013306,0.001355,7.7253e-05,7.6805e-05,0.0013009,0.0014357
12-08-56_dur=600secs.wav,0.0014545,0.0014983,0.0014104,0.0014598,0.0014345,0.0014372
12-09-45_dur=600secs.wav,0.0014019,0.0014726,0.0014133,0.0014523,0.0014071,0.0014292
12-14-08_dur=600secs.wav,0.0013147,0.0013371,0.00017011,0.00017225,0.0012192,0.0013106
12-20-28_dur=600secs.wav,0.0013514,0.0013895,7.7342e-05,7.6925e-05,0.0013497,0.0014262
12-30-05_dur=600secs.wav,7.7148e-05,7.6779e-05,0.0013814,0.0014296,0.0013655,0.0014171
12-42-02_dur=600secs.wav,0.0014864,0.001535,0.0014563,0.0014837,0.0012756,0.0012645
12-46-58_dur=600secs.wav,0.00059764,0.00061045,0.000763,0.00080836,0.0012894,0.0013613
