fileName,ch1,ch2,ch3,ch4,ch5,ch6
11-00-26_dur=600secs.wav,0.0023586,0.0023632,0.0021089,7.8786e-05,7.6305e-05,0.0020522
12-00-43_dur=600secs.wav,0.0012235,0.0010615,0.0008228,0.00098301,0.0019797,0.0020418
12-02-58_dur=600secs.wav,0.0013585,0.0013726,7.873e-05,7.6293e-05,0.0013095,0.0014411
12-03-54_dur=600secs.wav,0.0017242,0.0016175,7.8547e-05,7.6589e-05,0.001502,0.0019657
12-05-38_dur=600secs.wav,7.8415e-05,7.6526e-05,0.0014461,0.0019344,0.0019506,0.0020764
12-05-49_dur=600secs.wav,0.0019162,0.0019007,0.0017219,0.0016136,7.88e-05,7.6452e-05
12-06-52_dur=600secs.wav,0.001965,0.0017153,7.8854e-05,7.6385e-05,0.0017661,0.0021738
12-15-16_dur=600secs.wav,0.0023455,0.0019671,7.8561e-05,7.6478e-05,0.001992,0.0026934
12-16-35_dur=600secs.wav,0.0023303,0.002322,0.0025423,0.0019455,7.8777e-05,7.6382e-05
12-36-28_dur=600secs.wav,0.0014825,0.0014634,0.0014262,0.0013933,0.00011,0.00010909
