fileName,ch1,ch2,ch3,ch4,ch5,ch6
11-52-31_dur=600secs.wav,0.0017223,0.012267,0.001811,0.0017497,0.0019138,0.0018196
12-02-09_dur=600secs.wav,0.0016954,0.016459,0.0016975,0.0016906,0.0017262,0.0017296
12-02-31_dur=600secs.wav,0.0014969,0.011436,0.0015953,0.0015588,0.0015016,0.0015306
12-04-19_dur=600secs.wav,0.0022321,0.026051,0.0021,0.0020815,0.0031901,0.0022209
12-05-40_dur=600secs.wav,0.0015732,0.02475,0.002174,0.0019425,0.001916,0.0018625
12-14-20_dur=600secs.wav,0.0017902,0.0097491,0.0016546,0.0016517,0.001772,0.0017422
12-15-12_dur=600secs.wav,0.0017448,0.0082955,0.0016665,0.0016602,0.0018235,0.0017375
12-15-42_dur=600secs.wav,0.0015667,0.036744,0.0020265,0.0018808,0.0017927,0.0017306
12-17-11_dur=600secs.wav,0.0017384,0.0096884,0.0018688,0.0017877,0.00183,0.0017618
12-22-32_dur=600secs.wav,0.0020997,0.02368,0.0025461,0.0021691,0.0022896,0.0022013
