fileName,ch1,ch2,ch3,ch4,ch5,ch6
11-52-31_dur=600secs.wav,ok,OverPower,ok,ok,ok,ok
12-02-09_dur=600secs.wav,ok,OverPower,ok,ok,ok,ok
12-02-31_dur=600secs.wav,ok,OverPower,ok,ok,ok,ok
12-04-19_dur=600secs.wav,ok,OverPower,ok,ok,ok,ok
12-05-40_dur=600secs.wav,ok,OverPower,ok,ok,ok,ok
12-14-20_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-15-12_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-15-42_dur=600secs.wav,ok,OverPower,ok,ok,ok,ok
12-17-11_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-22-32_dur=600secs.wav,ok,OverPower,ok,ok,ok,ok
