fileName,ch1,ch2,ch3,ch4,ch5,ch6
Data\postMortem\LabLocalisation\Cleaned_wavs\Blue_PostMortemLoc_bird01.wav,ok,ok,dead,dead,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\Blue_PostMortemLoc_bird02.wav,ok,ok,dead,dead,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\Blue_PostMortemLoc_pink01.wav,ok,ok,dead,dead,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\Blue_Repowered_bird01.wav,dead,dead,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\Blue_Repowered_bird02.wav,dead,dead,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\Blue_Repowered_pink01.wav,dead,dead,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\Blue_Repowered_pink02.wav,dead,dead,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\YelloGreen_PostMortem_bird01.wav,OverPower,OverPower,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\YelloGreen_PostMortem_bird02.wav,OverPower,OverPower,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\YelloGreen_PostMortem_bird03.wav,OverPower,OverPower,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\YelloGreen_PostMortem_pink01.wav,OverPower,OverPower,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\YelloGreen_PostMortem_pink02.wav,OverPower,OverPower,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\YellowGreen_flipped_bird01.wav,OverPower,OverPower,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\YellowGreen_flipped_pink01.wav,OverPower,OverPower,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\Yellow_PostMortemLoc_bird01.wav,ok,ok,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\Yellow_PostMortemLoc_bird02.wav,ok,ok,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\Yellow_PostMortemLoc_pink02.wav,ok,ok,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\Yellow_PostMortemLoc_pink03.wav,ok,ok,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\tmp\Blue_PostMortemLoc_Bird01.wav,ok,ok,dead,dead,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\tmp\Blue_PostMortemLoc_bird02.wav,ok,ok,dead,dead,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\tmp\Blue_PostMortemLoc_pink01.wav,ok,ok,dead,dead,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\tmp\Blue_Repowered_Bird01.wav,dead,dead,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\tmp\Blue_Repowered_Bird02.wav,dead,dead,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\tmp\Blue_Repowered_Pink01.wav,dead,dead,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\tmp\Blue_Repowered_pink02.wav,dead,dead,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\tmp\YelloGreen_Bird01.wav,OverPower,OverPower,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\tmp\YelloGreen_Bird02.wav,OverPower,OverPower,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\tmp\YelloGreen_pink01.wav,OverPower,OverPower,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\tmp\YelloGreen_pink02.wav,OverPower,OverPower,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\tmp\Yellow_Bird.wav,ok,ok,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\tmp\Yellow_Pink01.wav,ok,ok,ok,ok,ok,ok
Data\postMortem\LabLocalisation\Cleaned_wavs\tmp\Yellow_Pink02.wav,ok,ok,ok,ok,ok,ok
