fileName,ch1,ch2,ch3,ch4,ch5,ch6
12-00-07_dur=600secs.wav,0.0028935,0.0071116,0.0027667,0.0031195,0.0028298,0.0024783
12-00-19_dur=600secs.wav,0.0021418,0.0056223,0.0021076,0.0023259,0.0024318,0.0020923
12-02-31_dur=600secs.wav,0.0050863,0.0076232,0.0029408,0.0047891,0.011837,0.0068815
12-02-32_dur=600secs.wav,0.0033825,0.0097912,0.0033633,0.0037413,0.003206,0.002961
12-05-21_dur=600secs.wav,0.0020642,0.006366,0.0020027,0.0022332,0.0022635,0.0019634
12-06-40_dur=600secs.wav,0.0021919,0.006945,0.0021724,0.0024661,0.0025031,0.0021685
12-06-55_dur=600secs.wav,0.0048554,0.0093337,0.004587,0.005329,0.0044329,0.0038176
12-07-01_dur=600secs.wav,0.0032118,0.0095033,0.0030729,0.003752,0.0032935,0.0028143
12-09-43_dur=600secs.wav,0.003744,0.0082653,0.0030736,0.0039401,0.0048544,0.0045051
12-12-13_dur=600secs.wav,0.0044542,0.010569,0.0046278,0.0048002,0.0040813,0.0036994
