fileName,ch1,ch2,ch3,ch4,ch5,ch6
11-52-39_dur=600secs.wav,0.003036,0.0059276,0.0029559,0.0033147,0.0033682,0.0030003
12-06-34_dur=600secs.wav,0.0022087,0.0084543,0.0045746,0.010192,0.0048146,0.0052518
12-06-47_dur=600secs.wav,0.002988,0.0064778,0.0029242,0.002998,0.0028218,0.0024718
12-07-01_dur=600secs.wav,0.0032118,0.0095033,0.0030729,0.003752,0.0032935,0.0028143
12-10-43_dur=600secs.wav,0.0037326,0.014062,0.0035647,0.0046612,0.0038145,0.0036483
12-12-27_dur=600secs.wav,0.0034576,0.013735,0.0034351,0.0046772,0.0037204,0.0033161
12-12-38_dur=600secs.wav,0.002546,0.0060142,0.0024618,0.0027603,0.0028394,0.0025311
12-12-51_dur=600secs.wav,0.0027906,0.0076906,0.0030236,0.0029298,0.0026717,0.0023214
12-16-34_dur=600secs.wav,0.0039166,0.0094246,0.0039922,0.0039881,0.0035077,0.0031899
12-16-53_dur=600secs.wav,0.0027386,0.0066013,0.0026048,0.0029275,0.002949,0.0025024
