fileName,ch1,ch2,ch3,ch4,ch5,ch6
11-53-33_dur=600secs.wav,0.0079139,0.0078852,0.0071898,0.0079205,0.0066006,0.0044004
12-01-35_dur=600secs.wav,0.025949,0.028114,0.021139,0.025854,0.020526,0.015691
12-01-39_dur=600secs.wav,0.015575,0.02795,0.014513,0.030944,0.01416,0.010666
12-01-48_dur=600secs.wav,0.0073234,0.0087949,0.0063129,0.0081661,0.0076085,0.004512
12-03-33_dur=600secs.wav,0.005865,0.0081413,0.0050826,0.0066897,0.006066,0.0041136
12-03-42_dur=600secs.wav,0.017201,0.021153,0.015554,0.036978,0.032746,0.014245
12-11-35_dur=600secs.wav,0.029966,0.032615,0.024817,0.033241,0.026924,0.019239
12-12-37_dur=600secs.wav,0.009423,0.0090483,0.0081181,0.007733,0.0057874,0.0048015
12-13-45_dur=600secs.wav,0.013845,0.016609,0.012189,0.028893,0.025453,0.010608
12-14-35_dur=600secs.wav,0.024055,0.024207,0.017587,0.034612,0.029269,0.018961
