fileName,ch1,ch2,ch3,ch4,ch5,ch6
11-53-33_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-01-35_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
12-01-39_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
12-01-48_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-03-33_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-03-42_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
12-11-35_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
12-12-37_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-13-45_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
12-14-35_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
