fileName,ch1,ch2,ch3,ch4,ch5,ch6
11-33-34_dur=600secs.wav,0.0030826,0.0033478,0.0028797,0.002828,0.0030349,0.002865
11-39-59_dur=600secs.wav,0.0036306,0.0038487,0.0033342,0.0032039,0.0034652,0.0034195
11-53-17_dur=600secs.wav,0.0030107,0.0031997,0.0027203,0.0026739,0.002863,0.0028043
12-08-38_dur=600secs.wav,0.0040193,0.0044072,0.0035516,0.0035113,0.003769,0.0036494
12-15-52_dur=600secs.wav,0.00342,0.0034834,0.0028208,0.002773,0.0030076,0.0029303
12-26-14_dur=600secs.wav,0.0042952,0.0047046,0.0037973,0.0038309,0.0040731,0.0040086
12-28-44_dur=600secs.wav,0.0031374,0.0035121,0.0028221,0.0027207,0.0029423,0.002941
12-30-56_dur=600secs.wav,0.0032472,0.0035885,0.0030263,0.0029781,0.0031705,0.0031225
12-52-18_dur=600secs.wav,0.0029796,0.0031782,0.0028489,0.002758,0.0028925,0.0028975
13-12-17_dur=600secs.wav,0.0057782,0.0062862,0.005458,0.0051951,0.0057943,0.0062429
