fileName,ch1,ch2,ch3,ch4,ch5,ch6
11-06-34_dur=600secs.wav,0.0034007,0.0036294,8.2154e-05,7.3885e-05,0.0040599,0.0041883
11-44-13_dur=600secs.wav,0.0049169,0.0054732,0.0045653,0.0044458,0.0044301,0.0047366
11-46-20_dur=600secs.wav,0.0050905,0.0054676,0.0045696,0.0044259,0.0044464,0.004803
11-54-14_dur=600secs.wav,0.0064414,0.0075706,0.0054938,0.0053728,0.0052804,0.0057636
11-54-18_dur=600secs.wav,0.0047741,0.005501,0.0042952,0.0041634,0.0042044,0.0044639
12-06-22_dur=600secs.wav,0.0044349,0.0048854,0.0040051,0.0038958,0.0038933,0.004136
12-06-40_dur=600secs.wav,0.0038568,0.0047204,0.0031609,0.0031202,0.0030434,0.0033363
12-14-21_dur=600secs.wav,0.0074684,0.0084356,0.006644,0.0065002,0.0065383,0.0068856
12-24-21_dur=600secs.wav,0.0042487,0.0049228,0.0037304,0.003606,0.0036515,0.0038826
12-25-26_dur=600secs.wav,0.0065227,0.0069849,0.0060983,0.0059347,0.0059308,0.0062991
