fileName,ch1,ch2,ch3,ch4,ch5,ch6
12-00-39_dur=600secs.wav,0.0026498,0.003297,0.0013323,0.0013791,0.0013243,0.0012817
12-02-35_dur=600secs.wav,0.0040987,0.005359,0.0015174,0.0015675,0.001445,0.0013404
12-02-39_dur=600secs.wav,0.0035418,0.004302,0.0013725,0.001416,0.0013459,0.0013005
12-04-25_dur=600secs.wav,0.0044199,0.0055069,0.0014524,0.0015059,0.0013985,0.0013056
12-06-06_dur=600secs.wav,0.0082005,0.0099704,0.0018821,0.0019579,0.0016516,0.0014286
12-07-23_dur=600secs.wav,0.0017533,0.0010315,0.00040797,0.0026096,0.002964,0.0013045
12-09-58_dur=600secs.wav,0.0039219,0.0044244,0.0014398,0.001481,0.0013744,0.0013171
12-13-00_dur=600secs.wav,0.0037025,0.0044155,0.0014155,0.001457,0.0013764,0.0013185
12-24-32_dur=600secs.wav,0.0023421,0.002951,0.0013308,0.0013774,0.0013325,0.0012793
14-10-34_dur=600secs.wav,0.012897,0.013344,0.0060999,0.0060579,0.0046242,0.003123
