fileName,ch1,ch2,ch3,ch4,ch5,ch6
11-45-57_dur=600secs.wav,0.0045802,0.0037306,0.0012675,0.0012947,0.001284,0.0012653
11-54-19_dur=600secs.wav,0.0079207,0.0078904,0.0013656,0.0013873,0.0013606,0.0013164
12-02-15_dur=600secs.wav,0.0056259,0.0048904,0.0012909,0.0013358,0.0013281,0.001268
12-02-31_dur=600secs.wav,0.0087011,0.0077418,0.0013696,0.0014108,0.0013999,0.0013
12-05-23_dur=600secs.wav,0.0033012,0.0027857,0.0012932,0.0013192,0.0013143,0.0012836
12-07-22_dur=600secs.wav,0.0039627,0.0032135,0.0012762,0.001306,0.0012954,0.0012673
12-08-42_dur=600secs.wav,0.0077207,0.0065524,0.0013118,0.001333,0.0013475,0.0013082
12-29-31_dur=600secs.wav,0.0037328,0.0031179,0.0012658,0.001291,0.0012789,0.00126
12-38-03_dur=600secs.wav,0.0027201,0.0022607,0.0012894,0.0013293,0.0013063,0.0012702
12-53-03_dur=600secs.wav,0.0026457,0.0022456,0.0012575,0.001284,0.0012725,0.0012542
