fileName,ch1,ch2,ch3,ch4,ch5,ch6
11-54-17_dur=600secs.wav,0.0024603,0.0025594,0.0023996,0.0026028,0.0025981,0.0024457
12-02-09_dur=600secs.wav,0.0020012,0.0020116,0.0019388,0.0021534,0.0021089,0.0019657
12-02-17_dur=600secs.wav,0.0018649,0.0019071,0.0018307,0.0020403,0.0019678,0.0018429
12-02-46_dur=600secs.wav,0.0024893,0.002561,0.0024431,0.0027503,0.0026751,0.002449
12-02-54_dur=600secs.wav,0.0018469,0.0018495,0.0018126,0.0019497,0.0019013,0.0018381
12-03-08_dur=600secs.wav,0.0018341,0.0018711,0.0017942,0.0019524,0.0019204,0.0018374
12-03-18_dur=600secs.wav,0.0018426,0.0018612,0.0018392,0.0019733,0.0019332,0.0018671
12-04-17_dur=600secs.wav,0.0017706,0.0018331,0.0017379,0.0018784,0.0018399,0.0017668
12-05-32_dur=600secs.wav,0.0018642,0.0018864,0.0017947,0.0019916,0.0019536,0.00186
12-52-28_dur=600secs.wav,0.0019889,0.0019833,0.0019267,0.0020941,0.0020397,0.0019511
