fileName,ch1,ch2,ch3,ch4,ch5,ch6
Data\postMortem\LabLocalisation\Cleaned_wavs\Blue_PostMortemLoc_bird01.wav,0.0336,0.03717,0.0005188,0.00048828,0.024689,0.028503
Data\postMortem\LabLocalisation\Cleaned_wavs\Blue_PostMortemLoc_bird02.wav,0.035217,0.030243,0.00054932,0.00048828,0.020172,0.027374
Data\postMortem\LabLocalisation\Cleaned_wavs\Blue_PostMortemLoc_pink01.wav,0.029572,0.027222,0.00048828,0.00048828,0.016724,0.028473
Data\postMortem\LabLocalisation\Cleaned_wavs\Blue_Repowered_bird01.wav,0.00048828,0.00048828,0.023163,0.049896,0.045471,0.038849
Data\postMortem\LabLocalisation\Cleaned_wavs\Blue_Repowered_bird02.wav,0.00054932,0.00048828,0.020905,0.042633,0.034271,0.02948
Data\postMortem\LabLocalisation\Cleaned_wavs\Blue_Repowered_pink01.wav,0.0005188,0.00054932,0.019897,0.045868,0.042145,0.041565
Data\postMortem\LabLocalisation\Cleaned_wavs\Blue_Repowered_pink02.wav,0.00048828,0.00048828,0.021027,0.047913,0.052032,0.033508
Data\postMortem\LabLocalisation\Cleaned_wavs\YelloGreen_PostMortem_bird01.wav,1,1,0.019897,0.029358,0.032013,0.021545
Data\postMortem\LabLocalisation\Cleaned_wavs\YelloGreen_PostMortem_bird02.wav,1,1,0.022156,0.028992,0.030029,0.018524
Data\postMortem\LabLocalisation\Cleaned_wavs\YelloGreen_PostMortem_bird03.wav,0.98846,0.89392,0.015106,0.020599,0.019653,0.017761
Data\postMortem\LabLocalisation\Cleaned_wavs\YelloGreen_PostMortem_pink01.wav,1,0.92575,0.019165,0.027161,0.026794,0.018677
Data\postMortem\LabLocalisation\Cleaned_wavs\YelloGreen_PostMortem_pink02.wav,1,0.84131,0.017151,0.023529,0.024628,0.018433
Data\postMortem\LabLocalisation\Cleaned_wavs\YellowGreen_flipped_bird01.wav,1,1,0.020325,0.027344,0.027557,0.022339
Data\postMortem\LabLocalisation\Cleaned_wavs\YellowGreen_flipped_pink01.wav,1,0.87335,0.020477,0.026062,0.027344,0.019501
Data\postMortem\LabLocalisation\Cleaned_wavs\Yellow_PostMortemLoc_bird01.wav,0.06958,0.11835,0.13934,0.11206,0.084686,0.070709
Data\postMortem\LabLocalisation\Cleaned_wavs\Yellow_PostMortemLoc_bird02.wav,0.067444,0.099731,0.16461,0.14154,0.099518,0.079712
Data\postMortem\LabLocalisation\Cleaned_wavs\Yellow_PostMortemLoc_pink02.wav,0.055023,0.096924,0.14304,0.13043,0.091949,0.06662
Data\postMortem\LabLocalisation\Cleaned_wavs\Yellow_PostMortemLoc_pink03.wav,0.049805,0.0802,0.093475,0.091461,0.073853,0.0495
