FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6,OutlierNum
Data\green\pre,11-53-33_dur=600secs.wav,0.37781,0.70628,0.72112,0.63719,0.43913,0.83094,easyTiger
Data\green\pre,12-01-35_dur=600secs.wav,1.9676,2.5094,3.8645,3.3244,5.1575,5.6428,easyTiger
Data\green\pre,12-01-39_dur=600secs.wav,2.4098,5.1291,3.7027,5.5051,4.7429,5.9305,easyTiger
Data\green\pre,12-01-48_dur=600secs.wav,0.096096,0.13461,0.33308,0.14436,0.22325,0.45173,easyTiger
Data\green\pre,12-03-33_dur=600secs.wav,0.57113,0.97853,0.99748,0.74181,0.83669,1.2072,easyTiger
Data\green\pre,12-03-42_dur=600secs.wav,0.44369,0.54198,1.2406,3.231,3.9493,2.1975,easyTiger
Data\green\pre,12-11-35_dur=600secs.wav,1.1594,1.7931,2.1764,3.1401,3.6671,5.1415,easyTiger
Data\green\pre,12-12-37_dur=600secs.wav,0.17805,0.37478,0.56834,0.32166,0.41126,0.62423,easyTiger
Data\green\pre,12-13-45_dur=600secs.wav,0.21543,0.29784,0.57639,0.47374,0.66749,0.92665,easyTiger
Data\green\pre,12-14-35_dur=600secs.wav,2.352,1.7102,2.6666,2.9704,2.5082,5.6444,easyTiger
Data\green\early,12-00-07_dur=600secs.wav,1.0103,4.688,1.0531,1.1352,1.0855,1.1116,easyTiger
Data\green\early,12-00-19_dur=600secs.wav,0.91528,4.6536,0.96209,0.99062,0.97752,0.97757,easyTiger
Data\green\early,12-02-31_dur=600secs.wav,1.0654,9.6916,1.1063,1.6723,5.6012,1.7821,easyTiger
Data\green\early,12-02-32_dur=600secs.wav,1.2762,8.0656,1.285,1.4757,1.0847,1.448,easyTiger
Data\green\early,12-05-21_dur=600secs.wav,0.94283,2.5592,0.98446,1.0231,0.78408,0.91714,easyTiger
Data\green\early,12-06-40_dur=600secs.wav,0.92125,1.6547,0.9706,0.96446,0.95933,0.94498,easyTiger
Data\green\early,12-06-55_dur=600secs.wav,1.1054,3.6165,1.1459,1.256,1.1556,1.2541,easyTiger
Data\green\early,12-07-01_dur=600secs.wav,0.68679,0.27824,0.75631,0.51462,0.64752,0.58262,easyTiger
Data\green\early,12-09-43_dur=600secs.wav,0.97096,4.4139,1.0882,1.0437,0.97071,1.0253,easyTiger
Data\green\early,12-12-13_dur=600secs.wav,1.1943,3.6244,1.2167,1.332,1.0764,1.2714,easyTiger
Data\green\late,11-52-39_dur=600secs.wav,0.91923,1.0381,0.96355,0.98157,0.95487,0.96162,easyTiger
Data\green\late,12-06-34_dur=600secs.wav,1.38035,27.0348,1.41884,12.2922,1.35448,1.77769,easyTiger
Data\green\late,12-06-47_dur=600secs.wav,0.96135,1.684,1.0118,1.0117,1.0336,1.0269,easyTiger
Data\green\late,12-07-01_dur=600secs.wav,0.68679,0.27824,0.75631,0.51462,0.64752,0.58262,easyTiger
Data\green\late,12-10-43_dur=600secs.wav,1.2336,3.9488,1.2213,1.2882,1.1226,1.3871,easyTiger
Data\green\late,12-12-27_dur=600secs.wav,1.55764,28.1256,1.53983,2.04487,1.68892,2.102,easyTiger
Data\green\late,12-12-38_dur=600secs.wav,1.87357,10.3293,1.97062,2.73198,2.18836,3.06872,easyTiger
Data\green\late,12-12-51_dur=600secs.wav,0.97378,4.3826,1.0213,1.0784,1.069,1.0965,easyTiger
Data\green\late,12-16-34_dur=600secs.wav,1.1006,5.4339,1.1672,1.3316,1.2621,1.3221,easyTiger
Data\green\late,12-16-53_dur=600secs.wav,0.9348,2.1605,0.98351,1.0059,1.0126,1.0093,easyTiger
