FileRoot,FileName,deadCh,partDeadCh,NumOutliers,Var1
Data\green\pre,11-53-33_dur=600secs.wav,0,0,0,ok
Data\green\pre,12-01-35_dur=600secs.wav,0,0,0,ok
Data\green\pre,12-01-39_dur=600secs.wav,0,0,1, 1 irregular
Data\green\pre,12-01-48_dur=600secs.wav,0,0,0,ok
Data\green\pre,12-03-33_dur=600secs.wav,0,0,0,ok
Data\green\pre,12-03-42_dur=600secs.wav,0,0,2, 2 irregular
Data\green\pre,12-11-35_dur=600secs.wav,0,0,0,ok
Data\green\pre,12-12-37_dur=600secs.wav,0,0,0,ok
Data\green\pre,12-13-45_dur=600secs.wav,0,0,0,ok
Data\green\pre,12-14-35_dur=600secs.wav,0,0,0,ok
Data\green\early,12-00-07_dur=600secs.wav,0,0,0,ok
Data\green\early,12-00-19_dur=600secs.wav,0,0,1, 1 irregular
Data\green\early,12-02-31_dur=600secs.wav,0,0,0,ok
Data\green\early,12-02-32_dur=600secs.wav,0,0,0,ok
Data\green\early,12-05-21_dur=600secs.wav,0,0,1, 1 irregular
Data\green\early,12-06-40_dur=600secs.wav,0,0,1, 1 irregular
Data\green\early,12-06-55_dur=600secs.wav,0,0,0,ok
Data\green\early,12-07-01_dur=600secs.wav,0,0,0,ok
Data\green\early,12-09-43_dur=600secs.wav,0,0,0,ok
Data\green\early,12-12-13_dur=600secs.wav,0,0,0,ok
Data\green\late,11-52-39_dur=600secs.wav,0,0,1, 1 irregular
Data\green\late,12-06-34_dur=600secs.wav,0,2,0, 2 part-dead
Data\green\late,12-06-47_dur=600secs.wav,0,0,0,ok
Data\green\late,12-07-01_dur=600secs.wav,0,0,0,ok
Data\green\late,12-10-43_dur=600secs.wav,0,0,0,ok
Data\green\late,12-12-27_dur=600secs.wav,0,0,1, 1 irregular
Data\green\late,12-12-38_dur=600secs.wav,0,0,1, 1 irregular
Data\green\late,12-12-51_dur=600secs.wav,0,0,0,ok
Data\green\late,12-16-34_dur=600secs.wav,0,0,0,ok
Data\green\late,12-16-53_dur=600secs.wav,0,0,0,ok
