FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6,OutlierNum
Data\Blue\pre,11-52-31_dur=600secs.wav,false,true,false,false,false,false,easyTiger
Data\Blue\pre,12-02-09_dur=600secs.wav,false,true,false,false,false,false,easyTiger
Data\Blue\pre,12-02-31_dur=600secs.wav,false,true,false,false,false,false,easyTiger
Data\Blue\pre,12-04-19_dur=600secs.wav,false,true,false,false,true,false,easyTiger
Data\Blue\pre,12-05-40_dur=600secs.wav,false,true,false,false,false,false,easyTiger
Data\Blue\pre,12-14-20_dur=600secs.wav,false,true,false,false,false,false,easyTiger
Data\Blue\pre,12-15-12_dur=600secs.wav,false,true,false,false,false,false,easyTiger
Data\Blue\pre,12-15-42_dur=600secs.wav,false,true,false,false,false,false,easyTiger
Data\Blue\pre,12-17-11_dur=600secs.wav,false,true,false,false,false,false,easyTiger
Data\Blue\pre,12-22-32_dur=600secs.wav,false,true,false,false,false,false,easyTiger
Data\Blue\early,12-01-14_dur=600secs.wav,false,false,true,true,false,false,easyTiger
Data\Blue\early,12-01-36_dur=600secs.wav,false,false,false,false,true,true,easyTiger
Data\Blue\early,12-03-15_dur=600secs.wav,false,false,true,true,false,false,easyTiger
Data\Blue\early,12-08-56_dur=600secs.wav,false,false,false,false,false,false,easyTiger
Data\Blue\early,12-09-45_dur=600secs.wav,false,false,false,false,false,false,easyTiger
Data\Blue\early,12-14-08_dur=600secs.wav,false,false,true,true,false,false,easyTiger
Data\Blue\early,12-20-28_dur=600secs.wav,false,false,true,true,false,false,easyTiger
Data\Blue\early,12-30-05_dur=600secs.wav,true,true,false,false,false,false,easyTiger
Data\Blue\early,12-42-02_dur=600secs.wav,false,false,false,false,false,false,easyTiger
Data\Blue\early,12-46-58_dur=600secs.wav,false,false,false,false,false,false,easyTiger
Data\Blue\late,11-00-26_dur=600secs.wav,false,false,false,true,true,false,easyTiger
Data\Blue\late,12-00-43_dur=600secs.wav,false,false,false,false,false,false,easyTiger
Data\Blue\late,12-02-58_dur=600secs.wav,false,false,true,true,false,false,easyTiger
Data\Blue\late,12-03-54_dur=600secs.wav,false,false,true,true,false,false,easyTiger
Data\Blue\late,12-05-38_dur=600secs.wav,true,true,false,false,false,false,easyTiger
Data\Blue\late,12-05-49_dur=600secs.wav,false,false,false,false,true,true,easyTiger
Data\Blue\late,12-06-52_dur=600secs.wav,false,false,true,true,false,false,easyTiger
Data\Blue\late,12-15-16_dur=600secs.wav,false,false,true,true,false,false,easyTiger
Data\Blue\late,12-16-35_dur=600secs.wav,false,false,false,false,true,true,easyTiger
Data\Blue\late,12-36-28_dur=600secs.wav,false,false,false,false,true,true,easyTiger
