FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6
Data\Blue\pre,11-52-31_dur=600secs.wav,0.702362,49.6487,0.836742,0.658406,1.24489,0.940587
Data\Blue\pre,12-02-09_dur=600secs.wav,0.4700975,190.3325,0.5068828,0.4661014,0.5569484,0.5324026
Data\Blue\pre,12-02-31_dur=600secs.wav,0.395703,57.831,0.486869,0.420428,0.430627,0.425501
Data\Blue\pre,12-04-19_dur=600secs.wav,1.013055,189.158,0.8330308,0.8177469,2.804091,1.079202
Data\Blue\pre,12-05-40_dur=600secs.wav,0.6509243,142.2684,1.834708,1.266796,1.526656,1.293679
Data\Blue\pre,12-14-20_dur=600secs.wav,0.732699,42.6903,0.488457,0.444134,0.663,0.71453
Data\Blue\pre,12-15-12_dur=600secs.wav,0.480464,23.355,0.44333,0.43421,0.535846,0.475219
Data\Blue\pre,12-15-42_dur=600secs.wav,0.5931063,488.857,1.54487,1.07205,0.8965864,0.7978867
Data\Blue\pre,12-17-11_dur=600secs.wav,0.521788,41.3173,0.737734,0.592612,0.708809,0.541172
Data\Blue\pre,12-22-32_dur=600secs.wav,1.277165,332.7186,2.742746,1.435803,1.894201,1.56813
Data\Blue\early,12-01-14_dur=600secs.wav,0.30142,0.3055,0.00058185,0.00064648,0.31552,0.3434
Data\Blue\early,12-01-36_dur=600secs.wav,0.32763,0.2975,0.22687,0.23801,0.056973,0.08435
Data\Blue\early,12-03-15_dur=600secs.wav,0.2855,0.28997,0.00058229,0.00064358,0.26786,0.34752
Data\Blue\early,12-08-56_dur=600secs.wav,0.41607,0.38859,0.32444,0.35527,0.35974,0.34923
Data\Blue\early,12-09-45_dur=600secs.wav,0.30891,0.3403,0.31418,0.33169,0.31546,0.33409
Data\Blue\early,12-14-08_dur=600secs.wav,0.27616,0.28209,0.02035,0.022277,0.26683,0.30557
Data\Blue\early,12-20-28_dur=600secs.wav,0.28731,0.30303,0.00058641,0.0006449,0.28606,0.31875
Data\Blue\early,12-30-05_dur=600secs.wav,0.00057901,0.00064858,0.33143,0.32393,0.2959,0.32164
Data\Blue\early,12-42-02_dur=600secs.wav,0.70154,0.58109,0.42104,0.45002,0.47725,0.33025
Data\Blue\early,12-46-58_dur=600secs.wav,0.11009,0.11655,0.14853,0.16754,0.26153,0.29089
Data\Blue\late,11-00-26_dur=600secs.wav,2.981,2.9705,2.0477,0.0006329,0.00064797,2.5821
Data\Blue\late,12-00-43_dur=600secs.wav,0.70262,0.41487,0.53993,0.88903,1.5813,1.4418
Data\Blue\late,12-02-58_dur=600secs.wav,0.2918,0.29657,0.00063001,0.00064597,0.26974,0.33595
Data\Blue\late,12-03-54_dur=600secs.wav,0.7695,0.56284,0.00061976,0.00064567,0.62105,1.5037
Data\Blue\late,12-05-38_dur=600secs.wav,0.00061669,0.00063704,0.38477,0.88109,0.92843,1.1523
Data\Blue\late,12-05-49_dur=600secs.wav,0.89619,0.7349,0.61765,0.4737,0.00062858,0.00064673
Data\Blue\late,12-06-52_dur=600secs.wav,1.7076,0.89434,0.00063311,0.00064876,1.1834,2.1504
Data\Blue\late,12-15-16_dur=600secs.wav,4.6729,1.4779,0.00062134,0.00064487,2.6248,5.9898
Data\Blue\late,12-16-35_dur=600secs.wav,2.4583,2.4301,3.277,1.2513,0.0006306,0.00064699
Data\Blue\late,12-36-28_dur=600secs.wav,0.51836,0.39286,0.42856,0.34565,0.0089634,0.0093462
