FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6
Data\green\pre,11-53-33_dur=600secs.wav,58.4353,30.4354,44.2458,41.1368,32.4554,10.0816
Data\green\pre,12-01-35_dur=600secs.wav,416.9631,296.3013,312.6898,527.7767,388.7182,160.2616
Data\green\pre,12-01-39_dur=600secs.wav,157.8423,175.2162,138.752,596.6991,183.4266,67.65563
Data\green\pre,12-01-48_dur=600secs.wav,46.7512,29.4452,35.6487,60.576,54.8858,10.3414
Data\green\pre,12-03-33_dur=600secs.wav,28.9718,17.1405,25.0218,38.0653,34.4044,8.3596
Data\green\pre,12-03-42_dur=600secs.wav,173.9003,144.7555,160.2037,891.4768,783.7566,131.8908
Data\green\pre,12-11-35_dur=600secs.wav,508.2742,395.3998,394.3883,771.7978,618.8319,238.4043
Data\green\pre,12-12-37_dur=600secs.wav,68.9412,26.6291,50.158,38.4719,25.9765,10.0305
Data\green\pre,12-13-45_dur=600secs.wav,121.9235,71.29437,108.3771,602.3141,510.7404,72.50745
Data\green\pre,12-14-35_dur=600secs.wav,342.1057,170.6656,178.9655,589.736,469.7047,164.2607
Data\green\early,12-00-07_dur=600secs.wav,3.8138,9.2663,2.238,3.4052,1.9002,1.5485
Data\green\early,12-00-19_dur=600secs.wav,1.0214,5.5853,0.97438,1.2261,1.2581,0.97476
Data\green\early,12-02-31_dur=600secs.wav,18.61483,10.48137,3.855794,20.23213,183.583,45.04728
Data\green\early,12-02-32_dur=600secs.wav,4.71532,21.0892,4.05629,5.04287,2.63783,2.35916
Data\green\early,12-05-21_dur=600secs.wav,0.91395,6.5941,0.73591,1.0205,0.91205,0.72225
Data\green\early,12-06-40_dur=600secs.wav,0.83033,8.1397,0.80344,1.0621,1.0331,0.79718
Data\green\early,12-06-55_dur=600secs.wav,15.5292,17.5851,11.9928,17.3724,8.22349,5.32828
Data\green\early,12-07-01_dur=600secs.wav,4.12117,17.6087,3.10844,6.20244,2.68039,1.87269
Data\green\early,12-09-43_dur=600secs.wav,5.62676,14.0073,2.51795,5.42219,11.6945,11.3496
Data\green\early,12-12-13_dur=600secs.wav,8.77606,23.2894,10.0284,8.42546,4.88337,4.30293
Data\green\late,11-52-39_dur=600secs.wav,1.7349,9.2909,1.6454,2.1065,2.1216,1.7104
Data\green\late,12-06-34_dur=600secs.wav,1.59363,20.0096,5.20145,25.0171,5.55234,8.55757
Data\green\late,12-06-47_dur=600secs.wav,4.314,7.071,3.8354,3.1808,1.9854,1.8438
Data\green\late,12-07-01_dur=600secs.wav,4.12117,17.6087,3.10844,6.20244,2.68039,1.87269
Data\green\late,12-10-43_dur=600secs.wav,3.45626,31.7973,2.72885,6.27749,2.61097,2.59962
Data\green\late,12-12-27_dur=600secs.wav,2.92808,43.3526,2.93734,7.09,2.92022,2.27939
Data\green\late,12-12-38_dur=600secs.wav,1.25438,17.3604,1.18971,1.57864,1.59871,1.33009
Data\green\late,12-12-51_dur=600secs.wav,2.776,9.5706,3.9167,2.3845,1.3787,1.1148
Data\green\late,12-16-34_dur=600secs.wav,8.77162,16.8167,6.52042,5.48071,3.46923,3.20303
Data\green\late,12-16-53_dur=600secs.wav,1.8376,7.2555,1.5513,2.1015,1.8036,1.206
