FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6,OutlierNum
Data\yellowgreen\pre,11-54-17_dur=600secs.wav,5.4121e-06,5.1839e-06,5.7732e-06,5.3257e-06,6.8098e-06,5.8027e-06,1
Data\yellowgreen\pre,12-02-09_dur=600secs.wav,1.8289e-06,1.9387e-06,2.2093e-06,1.9338e-06,2.3793e-06,1.9569e-06,0
Data\yellowgreen\pre,12-02-17_dur=600secs.wav,1.4917e-06,1.5543e-06,1.6215e-06,1.5745e-06,1.9614e-06,1.4727e-06,1
Data\yellowgreen\pre,12-02-46_dur=600secs.wav,2.1804e-06,2.3317e-06,2.8461e-06,2.3245e-06,3.223e-06,2.4297e-06,0
Data\yellowgreen\pre,12-02-54_dur=600secs.wav,1.6991e-06,1.7167e-06,1.9279e-06,1.7826e-06,2.093e-06,1.8002e-06,0
Data\yellowgreen\pre,12-03-08_dur=600secs.wav,1.7738e-06,1.7365e-06,1.8098e-06,1.7988e-06,2.0339e-06,1.7976e-06,1
Data\yellowgreen\pre,12-03-18_dur=600secs.wav,1.7987e-06,1.9224e-06,2.7873e-06,2.01e-06,2.4819e-06,2.2725e-06,0
Data\yellowgreen\pre,12-04-17_dur=600secs.wav,1.6733e-06,1.6712e-06,1.7709e-06,1.7146e-06,2.0126e-06,1.698e-06,1
Data\yellowgreen\pre,12-05-32_dur=600secs.wav,1.3777e-06,1.3541e-06,1.3816e-06,1.4718e-06,1.515e-06,1.3912e-06,0
Data\yellowgreen\pre,12-52-28_dur=600secs.wav,2.1435e-06,1.9981e-06,2.2534e-06,2.0417e-06,2.5054e-06,2.07e-06,0
Data\yellowgreen\early,12-00-39_dur=600secs.wav,1.512e-06,1.423e-06,1.2586e-06,1.3178e-06,1.2818e-06,1.241e-06,0
Data\yellowgreen\early,12-02-35_dur=600secs.wav,3.8242e-06,3.5127e-06,1.3736e-06,1.4536e-06,1.43e-06,1.3269e-06,0
Data\yellowgreen\early,12-02-39_dur=600secs.wav,2.3407e-06,2.1002e-06,1.2688e-06,1.3316e-06,1.3021e-06,1.2637e-06,0
Data\yellowgreen\early,12-04-25_dur=600secs.wav,4.559e-06,3.8206e-06,1.2954e-06,1.3611e-06,1.3153e-06,1.2452e-06,0
Data\yellowgreen\early,12-06-06_dur=600secs.wav,1.0806e-05,8.8536e-06,1.298e-06,1.3922e-06,1.3068e-06,1.2308e-06,0
Data\yellowgreen\early,12-07-23_dur=600secs.wav,1.253e-06,1.0297e-07,8.6211e-08,1.8195e-06,1.7022e-06,1.2391e-06,0
Data\yellowgreen\early,12-09-58_dur=600secs.wav,1.5004e-06,1.4431e-06,1.2722e-06,1.3273e-06,1.3055e-06,1.2708e-06,0
Data\yellowgreen\early,12-13-00_dur=600secs.wav,1.9252e-06,1.783e-06,1.2853e-06,1.3392e-06,1.3188e-06,1.2755e-06,0
Data\yellowgreen\early,12-24-32_dur=600secs.wav,1.5141e-06,1.4638e-06,1.2652e-06,1.3399e-06,1.3014e-06,1.2371e-06,0
Data\yellowgreen\early,14-10-34_dur=600secs.wav,0.00027327,0.00019702,0.00019493,0.00019601,8.0278e-05,1.7511e-05,0
Data\yellowgreen\late,11-45-57_dur=600secs.wav,2.1943e-06,2.1105e-06,1.215e-06,1.2609e-06,1.2414e-06,1.2183e-06,0
Data\yellowgreen\late,11-54-19_dur=600secs.wav,4.1816e-06,3.5821e-06,1.2144e-06,1.2736e-06,1.2536e-06,1.2259e-06,0
Data\yellowgreen\late,12-02-15_dur=600secs.wav,1.3633e-05,7.7783e-06,1.2097e-06,1.2693e-06,1.2517e-06,1.2196e-06,0
Data\yellowgreen\late,12-02-31_dur=600secs.wav,7.2615e-06,5.9679e-06,1.2344e-06,1.2876e-06,1.2662e-06,1.231e-06,0
Data\yellowgreen\late,12-05-23_dur=600secs.wav,1.9367e-06,1.7941e-06,1.2486e-06,1.2933e-06,1.2813e-06,1.2401e-06,0
Data\yellowgreen\late,12-07-22_dur=600secs.wav,2.7415e-06,2.7195e-06,1.2215e-06,1.2679e-06,1.2528e-06,1.2202e-06,0
Data\yellowgreen\late,12-08-42_dur=600secs.wav,1.212e-05,1.0322e-05,1.2359e-06,1.2768e-06,1.2641e-06,1.2321e-06,0
Data\yellowgreen\late,12-29-31_dur=600secs.wav,1.7979e-06,2.0488e-06,1.2184e-06,1.2593e-06,1.2365e-06,1.2124e-06,0
Data\yellowgreen\late,12-38-03_dur=600secs.wav,1.6994e-06,1.6547e-06,1.2447e-06,1.3051e-06,1.2924e-06,1.2428e-06,0
Data\yellowgreen\late,12-53-03_dur=600secs.wav,1.5156e-06,1.5235e-06,1.226e-06,1.2651e-06,1.2412e-06,1.2152e-06,0
