FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6,brokenCh
Data\Blue\pre,11-52-31_dur=600secs.wav,311,71,374,298,336,336,?
Data\Blue\pre,12-02-09_dur=600secs.wav,253,161,293,298,368,265,?
Data\Blue\pre,12-02-31_dur=600secs.wav,274,83,299,352,339,305,?
Data\Blue\pre,12-04-19_dur=600secs.wav,354,38,266,277,381,339,?
Data\Blue\pre,12-05-40_dur=600secs.wav,248,55,302,275,306,301,?
Data\Blue\pre,12-14-20_dur=600secs.wav,303,77,297,278,332,288,?
Data\Blue\pre,12-15-12_dur=600secs.wav,191,40,279,200,267,188,?
Data\Blue\pre,12-15-42_dur=600secs.wav,345,40,327,229,270,329,?
Data\Blue\pre,12-17-11_dur=600secs.wav,261,85,326,294,398,286,?
Data\Blue\pre,12-22-32_dur=600secs.wav,436,77,371,356,397,377,?
Data\Blue\early,12-01-14_dur=600secs.wav,215,276,9600000,9599613,265,232,?
Data\Blue\early,12-01-36_dur=600secs.wav,258,270,936334,936342,8663687,8663301,?
Data\Blue\early,12-03-15_dur=600secs.wav,267,205,9600000,9599614,216,246,?
Data\Blue\early,12-08-56_dur=600secs.wav,289,228,255,208,287,293,?
Data\Blue\early,12-09-45_dur=600secs.wav,185,118,119,112,156,277,?
Data\Blue\early,12-14-08_dur=600secs.wav,263,276,8861515,8861521,738513,738093,?
Data\Blue\early,12-20-28_dur=600secs.wav,221,192,9600000,9599624,200,161,?
Data\Blue\early,12-30-05_dur=600secs.wav,9600000,9599612,223,222,205,255,?
Data\Blue\early,12-42-02_dur=600secs.wav,268,260,286,213,1229805,1229801,?
Data\Blue\early,12-46-58_dur=600secs.wav,5409424,5409119,4190495,4190488,147,142,?
Data\Blue\late,11-00-26_dur=600secs.wav,234,272,246,9599916,9599603,262,?
Data\Blue\late,12-00-43_dur=600secs.wav,3768707,3768705,5831304,5830909,250,271,?
Data\Blue\late,12-02-58_dur=600secs.wav,211,186,9599955,9599615,178,215,?
Data\Blue\late,12-03-54_dur=600secs.wav,296,257,9599974,9599607,247,304,?
Data\Blue\late,12-05-38_dur=600secs.wav,9600000,9599626,238,289,273,289,?
Data\Blue\late,12-05-49_dur=600secs.wav,274,236,284,256,9599942,9599609,?
Data\Blue\late,12-06-52_dur=600secs.wav,307,282,9599954,9599600,248,262,?
Data\Blue\late,12-15-16_dur=600secs.wav,267,245,9599963,9599607,318,264,?
Data\Blue\late,12-16-35_dur=600secs.wav,275,347,255,351,9599941,9599606,?
Data\Blue\late,12-36-28_dur=600secs.wav,222392,222118,217,178,9377488,9377491,?
