FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6,brokenCh
Data\green\pre,11-53-33_dur=600secs.wav,972,257,845,875,904,785,?
Data\green\pre,12-01-35_dur=600secs.wav,578,216,600,568,550,546,?
Data\green\pre,12-01-39_dur=600secs.wav,455,170,576,550,248,405,?
Data\green\pre,12-01-48_dur=600secs.wav,798,264,804,824,742,769,?
Data\green\pre,12-03-33_dur=600secs.wav,855,215,770,894,873,791,?
Data\green\pre,12-03-42_dur=600secs.wav,538,179,616,629,553,663,?
Data\green\pre,12-11-35_dur=600secs.wav,612,187,534,561,527,590,?
Data\green\pre,12-12-37_dur=600secs.wav,916,254,863,881,774,863,?
Data\green\pre,12-13-45_dur=600secs.wav,577,212,612,693,664,644,?
Data\green\pre,12-14-35_dur=600secs.wav,639,181,606,634,650,541,?
Data\green\early,12-00-07_dur=600secs.wav,826,384,769,767,639,860,?
Data\green\early,12-00-19_dur=600secs.wav,862,135,614,728,589,649,?
Data\green\early,12-02-31_dur=600secs.wav,940,239,903,830,914,895,?
Data\green\early,12-02-32_dur=600secs.wav,644,154,766,634,600,671,?
Data\green\early,12-05-21_dur=600secs.wav,755,129,578,641,613,689,?
Data\green\early,12-06-40_dur=600secs.wav,709,95,738,710,571,722,?
Data\green\early,12-06-55_dur=600secs.wav,768,158,751,786,783,778,?
Data\green\early,12-07-01_dur=600secs.wav,667,190,807,821,968,653,?
Data\green\early,12-09-43_dur=600secs.wav,852,172,768,769,849,781,?
Data\green\early,12-12-13_dur=600secs.wav,730,189,699,585,563,599,?
Data\green\late,11-52-39_dur=600secs.wav,585,140,603,602,481,594,?
Data\green\late,12-06-34_dur=600secs.wav,4119223,4119318,591,564,618,661,?
Data\green\late,12-06-47_dur=600secs.wav,723,174,830,917,702,684,?
Data\green\late,12-07-01_dur=600secs.wav,667,190,807,821,968,653,?
Data\green\late,12-10-43_dur=600secs.wav,611,146,764,582,551,596,?
Data\green\late,12-12-27_dur=600secs.wav,695,119,671,687,654,606,?
Data\green\late,12-12-38_dur=600secs.wav,795,141,641,596,468,456,?
Data\green\late,12-12-51_dur=600secs.wav,720,213,743,712,601,626,?
Data\green\late,12-16-34_dur=600secs.wav,702,161,730,727,691,855,?
Data\green\late,12-16-53_dur=600secs.wav,751,143,737,866,648,798,?
