FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6,brokenCh
Data\yellowgreen\pre,11-54-17_dur=600secs.wav,114,108,100,91,96,112,?
Data\yellowgreen\pre,12-02-09_dur=600secs.wav,128,123,128,122,136,123,?
Data\yellowgreen\pre,12-02-17_dur=600secs.wav,138,144,136,130,129,142,?
Data\yellowgreen\pre,12-02-46_dur=600secs.wav,77,78,98,76,89,85,?
Data\yellowgreen\pre,12-02-54_dur=600secs.wav,146,130,160,128,128,125,?
Data\yellowgreen\pre,12-03-08_dur=600secs.wav,108,113,115,91,105,99,?
Data\yellowgreen\pre,12-03-18_dur=600secs.wav,123,123,117,108,129,142,?
Data\yellowgreen\pre,12-04-17_dur=600secs.wav,109,100,126,99,100,111,?
Data\yellowgreen\pre,12-05-32_dur=600secs.wav,133,130,126,121,133,125,?
Data\yellowgreen\pre,12-52-28_dur=600secs.wav,104,106,112,96,111,106,?
Data\yellowgreen\early,12-00-39_dur=600secs.wav,73,63,135,132,118,132,?
Data\yellowgreen\early,12-02-35_dur=600secs.wav,50,50,172,161,166,141,?
Data\yellowgreen\early,12-02-39_dur=600secs.wav,84,80,213,225,245,165,?
Data\yellowgreen\early,12-04-25_dur=600secs.wav,77,69,179,207,222,171,?
Data\yellowgreen\early,12-06-06_dur=600secs.wav,63,53,138,135,165,144,?
Data\yellowgreen\early,12-07-23_dur=600secs.wav,141,7000837,7001081,96,162,156,?
Data\yellowgreen\early,12-09-58_dur=600secs.wav,71,55,116,108,169,154,?
Data\yellowgreen\early,12-13-00_dur=600secs.wav,62,61,224,208,239,176,?
Data\yellowgreen\early,12-24-32_dur=600secs.wav,79,77,151,157,148,132,?
Data\yellowgreen\early,14-10-34_dur=600secs.wav,198,167,177,275,373,392,?
Data\yellowgreen\late,11-45-57_dur=600secs.wav,58,51,149,131,145,122,?
Data\yellowgreen\late,11-54-19_dur=600secs.wav,62,58,190,232,201,148,?
Data\yellowgreen\late,12-02-15_dur=600secs.wav,55,59,273,272,211,157,?
Data\yellowgreen\late,12-02-31_dur=600secs.wav,58,56,245,210,249,178,?
Data\yellowgreen\late,12-05-23_dur=600secs.wav,88,89,129,121,147,122,?
Data\yellowgreen\late,12-07-22_dur=600secs.wav,55,63,235,211,221,196,?
Data\yellowgreen\late,12-08-42_dur=600secs.wav,52,60,197,224,243,243,?
Data\yellowgreen\late,12-29-31_dur=600secs.wav,64,70,134,113,145,152,?
Data\yellowgreen\late,12-38-03_dur=600secs.wav,63,81,225,257,200,157,?
Data\yellowgreen\late,12-53-03_dur=600secs.wav,68,68,140,138,127,113,?
