FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6
Data\Blue\pre,11-52-31_dur=600secs.wav,0.019196,0.16829,0.02184,0.016863,0.03037,0.025274
Data\Blue\pre,12-02-09_dur=600secs.wav,0.0082648,0.42972,0.010466,0.0081006,0.012979,0.010973
Data\Blue\pre,12-02-31_dur=600secs.wav,0.0097529,0.21298,0.013031,0.0092846,0.011947,0.010373
Data\Blue\pre,12-04-19_dur=600secs.wav,0.016728,0.29417,0.013376,0.013687,0.036454,0.020392
Data\Blue\pre,12-05-40_dur=600secs.wav,0.019642,0.2269,0.036937,0.030199,0.033491,0.03169
Data\Blue\pre,12-14-20_dur=600secs.wav,0.01866,0.18058,0.011008,0.0079494,0.016555,0.016484
Data\Blue\pre,12-15-12_dur=600secs.wav,0.0070685,0.1242,0.0072526,0.0066397,0.0083473,0.0069514
Data\Blue\pre,12-15-42_dur=600secs.wav,0.018125,0.55459,0.035063,0.026925,0.023305,0.022214
Data\Blue\pre,12-17-11_dur=600secs.wav,0.010495,0.17905,0.017907,0.013313,0.017635,0.010942
Data\Blue\pre,12-22-32_dur=600secs.wav,0.028614,0.48501,0.047014,0.031314,0.037599,0.03318
Data\Blue\early,12-01-14_dur=600secs.wav,0.0061675,0.0059001,0.00026569,0.00029169,0.0071754,0.0067917
Data\Blue\early,12-01-36_dur=600secs.wav,0.0093159,0.0062449,0.0051802,0.0051183,0.0068235,0.0086215
Data\Blue\early,12-03-15_dur=600secs.wav,0.0062368,0.0055747,0.00026549,0.00029087,0.0054684,0.0081486
Data\Blue\early,12-08-56_dur=600secs.wav,0.01252,0.0093029,0.0069994,0.0078096,0.009436,0.0082999
Data\Blue\early,12-09-45_dur=600secs.wav,0.0055236,0.0057594,0.0055874,0.0057144,0.005708,0.0057606
Data\Blue\early,12-14-08_dur=600secs.wav,0.0058327,0.0054473,0.0035668,0.0037368,0.0069634,0.0073205
Data\Blue\early,12-20-28_dur=600secs.wav,0.0054208,0.0054501,0.00026679,0.00029113,0.0053455,0.0055492
Data\Blue\early,12-30-05_dur=600secs.wav,0.00026565,0.00029201,0.0086829,0.0060195,0.0057516,0.006368
Data\Blue\early,12-42-02_dur=600secs.wav,0.020321,0.01708,0.012823,0.012785,0.015444,0.0097355
Data\Blue\early,12-46-58_dur=600secs.wav,0.0044904,0.0046101,0.0048199,0.005076,0.0051067,0.0053355
Data\Blue\late,11-00-26_dur=600secs.wav,0.04893,0.047914,0.041004,0.00027683,0.00029299,0.046315
Data\Blue\late,12-00-43_dur=600secs.wav,0.022416,0.015425,0.021738,0.028851,0.036037,0.031908
Data\Blue\late,12-02-58_dur=600secs.wav,0.0056639,0.005401,0.00027494,0.0002922,0.0052732,0.0067992
Data\Blue\late,12-03-54_dur=600secs.wav,0.020453,0.015687,0.00027199,0.00029199,0.019938,0.035354
Data\Blue\late,12-05-38_dur=600secs.wav,0.00027083,0.00028995,0.010707,0.020673,0.021843,0.02583
Data\Blue\late,12-05-49_dur=600secs.wav,0.021752,0.016474,0.015556,0.011453,0.00027479,0.00029228
Data\Blue\late,12-06-52_dur=600secs.wav,0.037583,0.024729,0.00027591,0.00029277,0.031293,0.042935
Data\Blue\late,12-15-16_dur=600secs.wav,0.068387,0.033579,0.00027293,0.00029194,0.049386,0.076234
Data\Blue\late,12-16-35_dur=600secs.wav,0.044337,0.044179,0.051171,0.028655,0.00027555,0.0002925
Data\Blue\late,12-36-28_dur=600secs.wav,0.015657,0.010076,0.013876,0.0093588,0.0030953,0.0032448
