FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6
Data\yellow\pre,11-06-34_dur=600secs.wav,0.03325,0.035062,0.00032301,0.00030321,0.04147,0.039564
Data\yellow\pre,11-44-13_dur=600secs.wav,0.050412,0.053509,0.04835,0.046821,0.046528,0.049376
Data\yellow\pre,11-46-20_dur=600secs.wav,0.067547,0.070181,0.064681,0.062473,0.062226,0.065884
Data\yellow\pre,11-54-14_dur=600secs.wav,0.051928,0.060395,0.048326,0.046873,0.046309,0.050036
Data\yellow\pre,11-54-18_dur=600secs.wav,0.030714,0.03627,0.0272,0.026424,0.026477,0.028444
Data\yellow\pre,12-06-22_dur=600secs.wav,0.037182,0.039015,0.035667,0.034697,0.034476,0.03621
Data\yellow\pre,12-06-40_dur=600secs.wav,0.056558,0.059733,0.054052,0.052341,0.052143,0.055013
Data\yellow\pre,12-14-21_dur=600secs.wav,0.055873,0.058912,0.052713,0.052962,0.052958,0.054471
Data\yellow\pre,12-24-21_dur=600secs.wav,0.021345,0.024349,0.016802,0.016298,0.016377,0.017741
Data\yellow\pre,12-25-26_dur=600secs.wav,0.10875,0.11368,0.10477,0.10085,0.10049,0.10628
Data\yellow\early,11-33-34_dur=600secs.wav,0.015619,0.016316,0.012483,0.012338,0.013549,0.012321
Data\yellow\early,11-39-59_dur=600secs.wav,0.031215,0.025896,0.021522,0.020596,0.021824,0.021852
Data\yellow\early,11-53-17_dur=600secs.wav,0.028225,0.021898,0.016934,0.016517,0.018199,0.018329
Data\yellow\early,12-08-38_dur=600secs.wav,0.040767,0.049627,0.021481,0.025406,0.027433,0.022429
Data\yellow\early,12-15-52_dur=600secs.wav,0.044286,0.035626,0.015112,0.018948,0.019256,0.016124
Data\yellow\early,12-26-14_dur=600secs.wav,0.042336,0.046461,0.029081,0.031283,0.031455,0.02965
Data\yellow\early,12-28-44_dur=600secs.wav,0.026409,0.035224,0.015697,0.014163,0.014397,0.01631
Data\yellow\early,12-30-56_dur=600secs.wav,0.020117,0.023247,0.019162,0.018491,0.019836,0.019775
Data\yellow\early,12-52-18_dur=600secs.wav,0.023751,0.025433,0.022045,0.020594,0.022207,0.02326
Data\yellow\early,13-12-17_dur=600secs.wav,0.097157,0.10945,0.096898,0.090853,0.098905,0.10509
Data\yellow\late,11-27-23_dur=600secs.wav,0.11625,0.144,0.14087,0.13314,0.18847,0.095852
Data\yellow\late,11-28-22_dur=600secs.wav,0.07798,0.052222,0.022998,0.030092,0.03265,0.01732
Data\yellow\late,11-41-23_dur=600secs.wav,0.021175,0.018636,0.014154,0.013501,0.017789,0.010755
Data\yellow\late,11-52-25_dur=600secs.wav,0.29268,0.2443,0.21476,0.25082,0.46725,0.20865
Data\yellow\late,12-07-36_dur=600secs.wav,0.15347,0.1053,0.065298,0.079468,0.040861,0.042217
Data\yellow\late,12-28-53_dur=600secs.wav,0.0003235,0.00030559,0.02041,0.026779,0.019541,0.024539
Data\yellow\late,12-39-04_dur=600secs.wav,0.47592,0.41204,0.33766,0.42161,0.29276,0.21574
Data\yellow\late,12-41-23_dur=600secs.wav,0.029054,0.022665,0.017576,0.017817,0.022108,0.014393
Data\yellow\late,13-51-57_dur=600secs.wav,0.020591,0.01892,0.016754,0.016887,0.02083,0.021764
