FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6
Data\yellowgreen\pre,11-54-17_dur=600secs.wav,0.017052,0.018069,0.016604,0.019007,0.018577,0.016968
Data\yellowgreen\pre,12-02-09_dur=600secs.wav,0.01363,0.013335,0.014526,0.012954,0.014696,0.014435
Data\yellowgreen\pre,12-02-17_dur=600secs.wav,0.0092579,0.0098078,0.0098703,0.0099024,0.011198,0.0092902
Data\yellowgreen\pre,12-02-46_dur=600secs.wav,0.013303,0.014083,0.013668,0.015466,0.01539,0.0135
Data\yellowgreen\pre,12-02-54_dur=600secs.wav,0.011017,0.011436,0.011065,0.011774,0.011805,0.011327
Data\yellowgreen\pre,12-03-08_dur=600secs.wav,0.011211,0.011499,0.010701,0.011651,0.011277,0.011211
Data\yellowgreen\pre,12-03-18_dur=600secs.wav,0.012633,0.012947,0.015121,0.013496,0.013068,0.015013
Data\yellowgreen\pre,12-04-17_dur=600secs.wav,0.011692,0.012656,0.011034,0.012113,0.011599,0.011342
Data\yellowgreen\pre,12-05-32_dur=600secs.wav,0.014351,0.01452,0.012924,0.013819,0.013717,0.013746
Data\yellowgreen\pre,12-52-28_dur=600secs.wav,0.012329,0.012053,0.012003,0.012734,0.012632,0.012361
Data\yellowgreen\early,12-00-39_dur=600secs.wav,0.012505,0.014263,0.0051966,0.0054207,0.0052482,0.0050567
Data\yellowgreen\early,12-02-35_dur=600secs.wav,0.02713,0.035265,0.0063205,0.0064986,0.00583,0.005314
Data\yellowgreen\early,12-02-39_dur=600secs.wav,0.016255,0.018991,0.0073239,0.0072743,0.0058035,0.0052233
Data\yellowgreen\early,12-04-25_dur=600secs.wav,0.062847,0.091448,0.0078331,0.0080329,0.0060835,0.0052168
Data\yellowgreen\early,12-06-06_dur=600secs.wav,0.20785,0.24946,0.024083,0.025529,0.017889,0.011148
Data\yellowgreen\early,12-07-23_dur=600secs.wav,0.011579,0.012992,0.0043957,0.013183,0.015406,0.0050424
Data\yellowgreen\early,12-09-58_dur=600secs.wav,0.018634,0.019464,0.0056076,0.0058002,0.0054421,0.0051913
Data\yellowgreen\early,12-13-00_dur=600secs.wav,0.017451,0.020313,0.0068323,0.0068678,0.0056634,0.0052421
Data\yellowgreen\early,12-24-32_dur=600secs.wav,0.010023,0.012834,0.005159,0.0053761,0.0052846,0.0050499
Data\yellowgreen\early,14-10-34_dur=600secs.wav,0.68273,0.63444,0.65411,0.64496,0.45657,0.25537
Data\yellowgreen\late,11-45-57_dur=600secs.wav,0.020925,0.01721,0.0049001,0.0050292,0.0050876,0.0049928
Data\yellowgreen\late,11-54-19_dur=600secs.wav,0.093755,0.10376,0.0060179,0.0059535,0.0058076,0.0053678
Data\yellowgreen\late,12-02-15_dur=600secs.wav,0.036286,0.03287,0.0056814,0.0064462,0.0072076,0.0050111
Data\yellowgreen\late,12-02-31_dur=600secs.wav,0.05807,0.053516,0.0067105,0.00812,0.0087592,0.0052079
Data\yellowgreen\late,12-05-23_dur=600secs.wav,0.019808,0.014897,0.0049978,0.005132,0.0052024,0.0050674
Data\yellowgreen\late,12-07-22_dur=600secs.wav,0.02054,0.016476,0.0050418,0.005195,0.0051779,0.005011
Data\yellowgreen\late,12-08-42_dur=600secs.wav,0.047698,0.043367,0.0055446,0.0055605,0.0065016,0.0061526
Data\yellowgreen\late,12-29-31_dur=600secs.wav,0.016645,0.018635,0.004896,0.0050267,0.0050706,0.0049818
Data\yellowgreen\late,12-38-03_dur=600secs.wav,0.011003,0.0091752,0.0051628,0.0055935,0.0052909,0.0050107
Data\yellowgreen\late,12-53-03_dur=600secs.wav,0.011363,0.010711,0.0048526,0.0049961,0.0050457,0.0049571
