FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6,OutlierNum
Data\yellow\pre,11-06-34_dur=600secs.wav,0.68058,0.37657,0.2642,0.28463,0.044697,1.099,0
Data\yellow\pre,11-44-13_dur=600secs.wav,0.46168,9.9465,2.7122,5.6101,4.1788,2.8837,0
Data\yellow\pre,11-46-20_dur=600secs.wav,0.16934,4.7362,1.2026,2.503,3.1257,1.4307,0
Data\yellow\pre,11-54-14_dur=600secs.wav,0.26096,6.3097,3.1665,6.6586,4.386,2.9262,0
Data\yellow\pre,11-54-18_dur=600secs.wav,0.18467,6.8487,1.5307,3.1988,5.5245,1.8639,0
Data\yellow\pre,12-06-22_dur=600secs.wav,0.20086,6.1117,1.4804,3.3905,3.5782,1.5624,0
Data\yellow\pre,12-06-40_dur=600secs.wav,0.33798,7.5876,3.0369,6.365,3.991,2.8461,0
Data\yellow\pre,12-14-21_dur=600secs.wav,0.15337,6.1185,1.5415,4.0202,7.3459,1.6535,0
Data\yellow\pre,12-24-21_dur=600secs.wav,0.13999,4.4033,1.1778,2.5564,4.5933,1.4402,0
Data\yellow\pre,12-25-26_dur=600secs.wav,0.30951,6.1642,2.0503,3.3073,3.6758,1.6556,0
Data\yellow\early,11-33-34_dur=600secs.wav,1.3964,1.4677,1.298,1.3181,1.2663,1.1714,0
Data\yellow\early,11-39-59_dur=600secs.wav,1.8962,2.1231,1.6562,1.6928,1.9907,2.372,0
Data\yellow\early,11-53-17_dur=600secs.wav,1.432,1.5871,1.3205,1.3356,1.5032,1.6518,0
Data\yellow\early,12-08-38_dur=600secs.wav,1.832,2.0326,1.6275,1.6457,1.8433,2.4179,0
Data\yellow\early,12-15-52_dur=600secs.wav,1.2267,1.3417,1.2115,1.3269,1.1042,1.2661,0
Data\yellow\early,12-26-14_dur=600secs.wav,2.1956,2.3918,1.8947,1.9355,2.1337,2.7747,0
Data\yellow\early,12-28-44_dur=600secs.wav,0.71433,0.50925,0.7435,0.84254,0.39287,0.32808,0
Data\yellow\early,12-30-56_dur=600secs.wav,2.3348,2.6416,2.0157,2.048,2.3176,2.5719,0
Data\yellow\early,12-52-18_dur=600secs.wav,1.0989,1.1901,1.058,1.1254,1.0868,1.3984,1
Data\yellow\early,13-12-17_dur=600secs.wav,3.0635,2.6927,2.8632,4.1357,2.43,2.9188,1
Data\yellow\late,11-27-23_dur=600secs.wav,7.70243,10.1659,9.87477,9.16452,6.03947,4.01438,0
Data\yellow\late,11-28-22_dur=600secs.wav,1.3205,1.4875,1.4374,1.4461,1.2817,1.0577,0
Data\yellow\late,11-41-23_dur=600secs.wav,1.0076,1.0601,1.0591,1.0445,0.73889,0.92295,1
Data\yellow\late,11-52-25_dur=600secs.wav,5.5828,6.2086,5.3102,5.0305,4.5277,3.5507,0
Data\yellow\late,12-07-36_dur=600secs.wav,1.4847,1.7353,1.6877,1.6638,0.98041,1.1372,0
Data\yellow\late,12-28-53_dur=600secs.wav,0.27065,0.2952,1.6472,1.9325,1.8684,1.9956,2
Data\yellow\late,12-39-04_dur=600secs.wav,5.1187,5.7475,5.0819,4.8784,2.435,2.8839,2
Data\yellow\late,12-41-23_dur=600secs.wav,1.2505,1.4052,1.3561,1.3411,1.1964,1.0259,0
Data\yellow\late,13-51-57_dur=600secs.wav,1.4945,1.6874,1.6241,1.6193,1.2026,1.1307,0
