FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6,OutlierNum
Data\yellow\pre,11-06-34_dur=600secs.wav,3.7559e-07,5.5556e-07,2.3894e-09,1.7236e-09,7.7966e-06,3.6323e-06,0
Data\yellow\pre,11-44-13_dur=600secs.wav,2.397e-06,9.9946e-07,1.5407e-07,1.3141e-07,1.0721e-07,2.2295e-07,1
Data\yellow\pre,11-46-20_dur=600secs.wav,3.2498e-06,1.2368e-06,1.7655e-07,1.4247e-07,1.1096e-07,2.3146e-07,1
Data\yellow\pre,11-54-14_dur=600secs.wav,1.5469e-05,5.9368e-06,5.2745e-07,4.5769e-07,2.9868e-07,8.2623e-07,1
Data\yellow\pre,11-54-18_dur=600secs.wav,4.1475e-06,1.5619e-06,2.0465e-07,1.513e-07,1.2361e-07,2.7711e-07,1
Data\yellow\pre,12-06-22_dur=600secs.wav,3.4369e-06,1.1364e-06,1.7305e-07,1.3623e-07,1.0803e-07,2.4256e-07,1
Data\yellow\pre,12-06-40_dur=600secs.wav,5.638e-06,2.368e-06,2.5603e-07,2.1816e-07,1.5748e-07,3.8841e-07,1
Data\yellow\pre,12-14-21_dur=600secs.wav,1.2269e-05,5.0832e-06,5.1778e-07,3.4409e-07,2.5058e-07,7.2418e-07,1
Data\yellow\pre,12-24-21_dur=600secs.wav,5.6512e-06,2.5189e-06,2.8948e-07,2.0633e-07,1.5963e-07,3.7465e-07,0
Data\yellow\pre,12-25-26_dur=600secs.wav,2.1162e-06,1.0521e-06,1.695e-07,1.3456e-07,1.0921e-07,2.3479e-07,0
Data\yellow\early,11-33-34_dur=600secs.wav,2.81e-07,2.8651e-07,2.566e-07,2.4589e-07,3.2278e-07,2.9282e-07,0
Data\yellow\early,11-39-59_dur=600secs.wav,2.9088e-07,2.9969e-07,2.7662e-07,2.5241e-07,3.5508e-07,3.2728e-07,0
Data\yellow\early,11-53-17_dur=600secs.wav,2.6374e-07,2.6348e-07,2.4789e-07,2.382e-07,2.726e-07,2.3633e-07,0
Data\yellow\early,12-08-38_dur=600secs.wav,3.1125e-07,3.279e-07,2.9229e-07,2.614e-07,4.0707e-07,3.7954e-07,0
Data\yellow\early,12-15-52_dur=600secs.wav,3.6239e-07,3.745e-07,3.1823e-07,2.7408e-07,5.101e-07,5.3755e-07,0
Data\yellow\early,12-26-14_dur=600secs.wav,3.2427e-07,3.6599e-07,2.8097e-07,2.7266e-07,5.0867e-07,4.7667e-07,0
Data\yellow\early,12-28-44_dur=600secs.wav,3.7163e-07,4.9345e-07,3.3809e-07,2.968e-07,7.0336e-07,7.4324e-07,0
Data\yellow\early,12-30-56_dur=600secs.wav,3.0684e-07,3.4036e-07,2.6689e-07,2.6103e-07,4.3494e-07,4.1402e-07,0
Data\yellow\early,12-52-18_dur=600secs.wav,2.6737e-07,2.6878e-07,2.6316e-07,2.4176e-07,2.8223e-07,2.4992e-07,0
Data\yellow\early,13-12-17_dur=600secs.wav,4.4663e-06,5.4188e-06,2.9775e-06,1.8012e-06,8.7581e-06,1.2281e-05,0
Data\yellow\late,11-27-23_dur=600secs.wav,2.7429e-07,3.4461e-07,3.6542e-07,3.1024e-07,6.8098e-07,2.3415e-07,1
Data\yellow\late,11-28-22_dur=600secs.wav,2.0138e-07,2.287e-07,2.253e-07,2.0638e-07,4.6457e-07,1.8472e-07,1
Data\yellow\late,11-41-23_dur=600secs.wav,2.2071e-07,2.5424e-07,2.5332e-07,2.3274e-07,2.0948e-07,1.971e-07,0
Data\yellow\late,11-52-25_dur=600secs.wav,4.4476e-07,6.2313e-07,7.7017e-07,7.238e-07,9.3654e-07,3.5343e-07,0
Data\yellow\late,12-07-36_dur=600secs.wav,2.1626e-07,2.4643e-07,2.462e-07,2.2634e-07,1.9315e-07,1.9595e-07,0
Data\yellow\late,12-28-53_dur=600secs.wav,2.353e-09,1.6898e-09,2.0528e-07,2.3404e-07,2.3372e-07,2.1718e-07,0
Data\yellow\late,12-39-04_dur=600secs.wav,2.9949e-07,3.8006e-07,4.2495e-07,4.0771e-07,2.1199e-07,2.5022e-07,0
Data\yellow\late,12-41-23_dur=600secs.wav,2.0123e-07,2.3246e-07,2.3515e-07,2.1703e-07,4.1829e-07,1.8925e-07,1
Data\yellow\late,13-51-57_dur=600secs.wav,2.0423e-07,2.3944e-07,2.4316e-07,2.1823e-07,3.4986e-07,1.8039e-07,1
