FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6,brokenCh
Data\Blue\pre10May,11-52-31_dur=600secs.wav,-,-,-,-,-,-,0
Data\Blue\pre10May,12-02-09_dur=600secs.wav,-,-,-,-,-,-,0
Data\Blue\pre10May,12-02-31_dur=600secs.wav,-,-,-,-,-,-,0
Data\Blue\pre10May,12-04-19_dur=600secs.wav,-,-,-,-,-,-,0
Data\Blue\pre10May,12-05-40_dur=600secs.wav,-,-,-,-,-,-,0
Data\Blue\pre10May,12-14-20_dur=600secs.wav,-,-,-,-,-,-,0
Data\Blue\pre10May,12-15-12_dur=600secs.wav,-,-,-,-,-,-,0
Data\Blue\pre10May,12-15-42_dur=600secs.wav,-,-,-,-,-,-,0
Data\Blue\pre10May,12-17-11_dur=600secs.wav,-,-,-,-,-,-,0
Data\Blue\pre10May,12-22-32_dur=600secs.wav,-,-,-,-,-,-,0
Data\Blue\early,12-01-14_dur=600secs.wav,-,-,X,X,-,-,2
Data\Blue\early,12-01-36_dur=600secs.wav,-,-,/,/,/,/,4
Data\Blue\early,12-03-15_dur=600secs.wav,-,-,X,X,-,-,2
Data\Blue\early,12-08-56_dur=600secs.wav,-,-,-,-,-,-,0
Data\Blue\early,12-09-45_dur=600secs.wav,-,-,-,-,-,-,0
Data\Blue\early,12-14-08_dur=600secs.wav,-,-,X,X,/,-,3
Data\Blue\early,12-20-28_dur=600secs.wav,-,-,X,X,-,-,2
Data\Blue\early,12-30-05_dur=600secs.wav,X,X,-,-,-,-,2
Data\Blue\early,12-42-02_dur=600secs.wav,-,-,-,-,/,-,1
Data\Blue\early,12-46-58_dur=600secs.wav,/,/,/,/,/,-,5
Data\Blue\late,11-00-26_dur=600secs.wav,-,-,-,X,X,-,2
Data\Blue\late,12-00-43_dur=600secs.wav,/,/,/,/,-,-,4
Data\Blue\late,12-02-58_dur=600secs.wav,-,-,X,X,-,-,2
Data\Blue\late,12-03-54_dur=600secs.wav,-,-,X,X,-,-,2
Data\Blue\late,12-05-38_dur=600secs.wav,X,X,-,-,-,-,2
Data\Blue\late,12-05-49_dur=600secs.wav,-,-,-,-,X,X,2
Data\Blue\late,12-06-52_dur=600secs.wav,-,-,X,X,-,-,2
Data\Blue\late,12-15-16_dur=600secs.wav,-,-,X,X,-,-,2
Data\Blue\late,12-16-35_dur=600secs.wav,-,-,-,-,X,X,2
Data\Blue\late,12-36-28_dur=600secs.wav,-,-,-,-,X,X,2
