FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6,OutlierNum
Data\Blue\pre,11-52-31_dur=600secs.wav,0.35137,0.26959,0.32742,0.32494,0.34141,0.32692,easyTiger
Data\Blue\pre,12-02-09_dur=600secs.wav,0.43737,0.26911,0.37816,0.37749,0.41503,0.40534,easyTiger
Data\Blue\pre,12-02-31_dur=600secs.wav,0.32206,0.147,0.30444,0.30163,0.31255,0.30686,easyTiger
Data\Blue\pre,12-04-19_dur=600secs.wav,0.3466,0.18209,0.34283,0.33378,0.35866,0.34206,easyTiger
Data\Blue\pre,12-05-40_dur=600secs.wav,0.31829,0.15244,0.35504,0.34809,0.36536,0.33989,easyTiger
Data\Blue\pre,12-14-20_dur=600secs.wav,0.41375,0.24957,0.38482,0.37858,0.40882,0.39306,easyTiger
Data\Blue\pre,12-15-12_dur=600secs.wav,0.42398,0.36765,0.38986,0.37221,0.43706,0.40888,easyTiger
Data\Blue\pre,12-15-42_dur=600secs.wav,0.29692,0.18451,0.29713,0.31778,0.28994,0.29657,easyTiger
Data\Blue\pre,12-17-11_dur=600secs.wav,0.39901,0.75989,0.37807,0.36439,0.39481,0.38178,easyTiger
Data\Blue\pre,12-22-32_dur=600secs.wav,0.42868,0.49989,0.37808,0.37896,0.40249,0.39954,easyTiger
Data\Blue\early,12-01-14_dur=600secs.wav,0.30983,0.2979,0.30905,0.2765,0.30134,0.30475,easyTiger
Data\Blue\early,12-01-36_dur=600secs.wav,0.28107,0.27827,0.28487,0.27557,0.28511,0.28081,easyTiger
Data\Blue\early,12-03-15_dur=600secs.wav,0.30732,0.29602,0.31289,0.2764,0.29709,0.30504,easyTiger
Data\Blue\early,12-08-56_dur=600secs.wav,0.31734,0.31885,0.31,0.30212,0.32308,0.31129,easyTiger
Data\Blue\early,12-09-45_dur=600secs.wav,0.32466,0.32487,0.31617,0.31002,0.33191,0.31423,easyTiger
Data\Blue\early,12-14-08_dur=600secs.wav,0.29941,0.28839,0.30368,0.28045,0.28761,0.29725,easyTiger
Data\Blue\early,12-20-28_dur=600secs.wav,0.32072,0.30812,0.28396,0.27453,0.31365,0.31646,easyTiger
Data\Blue\early,12-30-05_dur=600secs.wav,0.30793,0.27539,0.31173,0.31428,0.30656,0.29903,easyTiger
Data\Blue\early,12-42-02_dur=600secs.wav,0.31098,0.31262,0.30441,0.29946,0.31714,0.30508,easyTiger
Data\Blue\early,12-46-58_dur=600secs.wav,0.29386,0.28243,0.29438,0.30254,0.29288,0.29354,easyTiger
Data\Blue\late,11-00-26_dur=600secs.wav,0.30503,0.30946,0.2923,0.31905,0.28499,0.32049,easyTiger
Data\Blue\late,12-00-43_dur=600secs.wav,0.31153,0.29991,0.32298,0.31241,0.31327,0.30573,easyTiger
Data\Blue\late,12-02-58_dur=600secs.wav,0.31472,0.30199,0.32063,0.28333,0.30649,0.31411,easyTiger
Data\Blue\late,12-03-54_dur=600secs.wav,0.31036,0.28732,0.31973,0.27982,0.29101,0.32097,easyTiger
Data\Blue\late,12-05-38_dur=600secs.wav,0.31758,0.28003,0.29388,0.32755,0.34091,0.32777,easyTiger
Data\Blue\late,12-05-49_dur=600secs.wav,0.36188,0.34003,0.34175,0.31574,0.31946,0.28129,easyTiger
Data\Blue\late,12-06-52_dur=600secs.wav,0.32202,0.30189,0.31967,0.28394,0.31373,0.32221,easyTiger
Data\Blue\late,12-15-16_dur=600secs.wav,0.689,0.3581,0.31818,0.28011,0.59674,0.46782,easyTiger
Data\Blue\late,12-16-35_dur=600secs.wav,0.29659,0.28607,0.30516,0.2806,0.31955,0.28271,easyTiger
Data\Blue\late,12-36-28_dur=600secs.wav,0.31785,0.30801,0.30316,0.28496,0.32003,0.29311,easyTiger
