FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6,OutlierNum
Data\Blue\pre,11-52-31_dur=600secs.wav,1.4421e-06,0.0004955,1.5356e-06,1.6762e-06,1.378e-06,1.5457e-06,1
Data\Blue\pre,12-02-09_dur=600secs.wav,1.847e-06,0.0021921,1.8782e-06,1.9578e-06,1.7955e-06,1.9157e-06,1
Data\Blue\pre,12-02-31_dur=600secs.wav,1.3476e-06,0.0003181,1.4557e-06,1.5438e-06,1.3262e-06,1.4517e-06,1
Data\Blue\pre,12-04-19_dur=600secs.wav,1.6543e-06,0.0014624,1.572e-06,1.6211e-06,2.0261e-06,1.6531e-06,1
Data\Blue\pre,12-05-40_dur=600secs.wav,1.3112e-06,0.0014394,1.4504e-06,1.5554e-06,1.3714e-06,1.4507e-06,1
Data\Blue\pre,12-14-20_dur=600secs.wav,1.7323e-06,0.00060178,1.6627e-06,1.7669e-06,1.7101e-06,1.7399e-06,1
Data\Blue\pre,12-15-12_dur=600secs.wav,1.7469e-06,0.00019283,1.653e-06,1.7222e-06,1.7308e-06,1.7879e-06,1
Data\Blue\pre,12-15-42_dur=600secs.wav,1.4202e-06,0.0055604,1.9221e-06,1.966e-06,1.8571e-06,1.6071e-06,1
Data\Blue\pre,12-17-11_dur=600secs.wav,1.6619e-06,0.00027205,1.6771e-06,1.732e-06,1.5834e-06,1.7143e-06,1
Data\Blue\pre,12-22-32_dur=600secs.wav,1.804e-06,0.0019286,1.8802e-06,2.0317e-06,1.7272e-06,1.8945e-06,1
Data\Blue\early,12-01-14_dur=600secs.wav,1.2333e-06,1.3451e-06,1.3609e-09,1.9934e-09,1.2248e-06,1.41e-06,0
Data\Blue\early,12-01-36_dur=600secs.wav,1.225e-06,1.3356e-06,1.1355e-06,1.2488e-06,4.6812e-09,5.9762e-09,0
Data\Blue\early,12-03-15_dur=600secs.wav,1.2131e-06,1.3265e-06,1.3585e-09,1.995e-09,1.1873e-06,1.3902e-06,0
Data\Blue\early,12-08-56_dur=600secs.wav,1.2717e-06,1.438e-06,1.3261e-06,1.4285e-06,1.2737e-06,1.3769e-06,0
Data\Blue\early,12-09-45_dur=600secs.wav,1.3071e-06,1.4698e-06,1.3564e-06,1.4522e-06,1.3047e-06,1.5977e-06,0
Data\Blue\early,12-14-08_dur=600secs.wav,1.2051e-06,1.304e-06,3.6298e-09,4.4318e-09,1.1793e-06,1.3681e-06,0
Data\Blue\early,12-20-28_dur=600secs.wav,1.2643e-06,1.388e-06,1.3651e-09,2.0238e-09,1.2738e-06,1.4526e-06,0
Data\Blue\early,12-30-05_dur=600secs.wav,1.3603e-09,2.0099e-09,1.2589e-06,1.4314e-06,1.3181e-06,1.4213e-06,0
Data\Blue\early,12-42-02_dur=600secs.wav,1.2463e-06,1.4288e-06,1.3183e-06,1.4152e-06,1.244e-06,1.3559e-06,0
Data\Blue\early,12-46-58_dur=600secs.wav,4.0778e-07,4.4914e-07,7.7605e-07,8.8807e-07,1.2188e-06,1.3586e-06,0
Data\Blue\late,11-00-26_dur=600secs.wav,1.3225e-06,1.1483e-06,1.2429e-06,1.3548e-09,1.8902e-09,1.1152e-06,0
Data\Blue\late,12-00-43_dur=600secs.wav,9.0577e-07,9.8642e-07,2.9823e-07,3.3993e-07,1.2299e-06,1.3697e-06,0
Data\Blue\late,12-02-58_dur=600secs.wav,1.2101e-06,1.3102e-06,1.3582e-09,1.908e-09,1.1947e-06,1.3512e-06,0
Data\Blue\late,12-03-54_dur=600secs.wav,1.1383e-06,1.2361e-06,1.3613e-09,1.9453e-09,1.1164e-06,1.2884e-06,0
Data\Blue\late,12-05-38_dur=600secs.wav,1.3653e-09,1.9434e-09,1.127e-06,1.3102e-06,1.2097e-06,1.3444e-06,0
Data\Blue\late,12-05-49_dur=600secs.wav,1.235e-06,1.3863e-06,1.1993e-06,1.3014e-06,1.3605e-09,1.922e-09,0
Data\Blue\late,12-06-52_dur=600secs.wav,1.2109e-06,1.3122e-06,1.3588e-09,1.9126e-09,1.2006e-06,1.3484e-06,0
Data\Blue\late,12-15-16_dur=600secs.wav,1.2119e-06,1.2795e-06,1.3631e-09,1.9405e-09,1.1833e-06,1.3803e-06,0
Data\Blue\late,12-16-35_dur=600secs.wav,1.1645e-06,1.3356e-06,1.1297e-06,1.2287e-06,1.3571e-09,1.9082e-09,0
Data\Blue\late,12-36-28_dur=600secs.wav,1.1767e-06,1.3208e-06,1.1418e-06,1.2266e-06,1.8238e-09,2.3984e-09,0
