Recorder,date,numFiles,TotFileSizeMB
03_v2_Blue,2021-08-26,10,528
03_v2_Blue,2021-08-27,129,6046
03_v2_Blue,2021-08-28,143,6737
03_v2_Blue,2021-08-29,143,6789
03_v2_Blue,2021-08-30,143,6754
03_v2_Blue,2021-08-31,113,5299
03_v2_Blue,2021-09-01,63,3013
03_v2_Blue,2021-09-02,58,2740
03_v2_Blue,2021-09-03,90,4327
03_v2_Blue,2021-09-04,50,2381
03_v2_Blue,2021-09-05,89,4272
03_v2_Blue,2021-09-06,143,6742
03_v2_Blue,2021-09-07,143,6773
03_v2_Blue,2021-09-08,143,6730
03_v2_Blue,2021-09-09,143,6782
03_v2_Blue,2021-09-10,143,6737
03_v2_Blue,2021-09-11,143,6805
03_v2_Blue,2021-09-12,143,6750
03_v2_Blue,2021-09-13,143,6825
03_v2_Blue,2021-09-14,143,6782
03_v2_Blue,2021-09-15,143,6681
03_v2_Blue,2021-09-16,132,6279
03_v2_Blue,2021-09-17,143,6723
03_v2_Blue,2021-09-18,143,6736
03_v2_Blue,2021-09-19,143,6759
03_v2_Blue,2021-09-20,98,4663
03_v2_Blue,2021-09-21,91,4359
03_v2_Blue,2021-09-22,143,6709
03_v2_Blue,2021-09-23,143,6821
03_v2_Blue,2021-09-24,143,6739
03_v2_Blue,2021-09-25,143,6712
03_v2_Blue,2021-09-26,143,6845
03_v2_Blue,2021-09-27,143,6829
03_v2_Blue,2021-09-28,143,6780
03_v2_Blue,2021-09-29,126,5958
03_v2_Blue,2021-09-30,143,6839
03_v2_Blue,2021-10-01,76,3666
03_v2_Blue,2021-10-02,14,694
03_v2_Blue,2021-10-03,81,3835
03_v2_Blue,2021-10-04,122,5840
03_v2_Blue,2021-10-05,143,6872
03_v2_Blue,2021-10-06,125,5990
03_v2_Blue,2021-10-07,143,6763
03_v2_Blue,2021-10-08,27,1274
03_v2_Blue,2021-10-09,86,4072
03_v2_Blue,2021-10-10,55,2629
