filename,filename.short,distance.m,WP?,Test.tone,Trial,Threshold,True.azimuth,localised?,Start.time,Predicted.azimuth,Aliaized.Azimuth,error
localized_1m_wN_Bird_t01.wav,localized_1m_wN_Bird_t01.wav,1,n,wren,field,26.5,30,s,2.7,25,na,-5
localized_1m_wN_Bird_t01.wav,localized_1m_wN_Bird_t01.wav,1,n,wren,field,26.5,30,y,14.1,30,na,0
localized_1m_wN_Bird_t01.wav,localized_1m_wN_Bird_t01.wav,1,n,wren,field,26.5,120,y,27.1,115,na,-5
localized_1m_wN_Bird_t01.wav,localized_1m_wN_Bird_t01.wav,1,n,wren,field,26.5,165,y,42.1,160,na,-5
localized_1m_wN_Bird_t01.wav,localized_1m_wN_Bird_t01.wav,1,n,wren,field,26.5,-150,y,57.1,-150,na,0
localized_1m_wN_Bird_t01.wav,localized_1m_wN_Bird_t01.wav,1,n,wren,field,26.5,-60,y,72.1,-60,na,0
localized_1m_wN_Bird_t02.wav,localized_1m_wN_Bird_t02.wav,1,n,wren,field,26.5,30,s,2.7,30,na,0
localized_1m_wN_Bird_t02.wav,localized_1m_wN_Bird_t02.wav,1,n,wren,field,26.5,30,y,14.1,30,na,0
localized_1m_wN_Bird_t02.wav,localized_1m_wN_Bird_t02.wav,1,n,wren,field,26.5,120,y,27.3,115,na,-5
localized_1m_wN_Bird_t02.wav,localized_1m_wN_Bird_t02.wav,1,n,wren,field,26.5,165,y,41.9,160,na,-5
localized_1m_wN_Bird_t02.wav,localized_1m_wN_Bird_t02.wav,1,n,wren,field,26.5,-150,y,56.9,-155,na,-5
localized_1m_wN_Bird_t02.wav,localized_1m_wN_Bird_t02.wav,1,n,wren,field,26.5,-60,y,71.5,-60,na,0
localized_1m_wN_Pink_t01.wav,localized_1m_wN_Pink_t01.wav,1,n,pink,field,26.5,30,s,3.9,25,na,-5
localized_1m_wN_Pink_t01.wav,localized_1m_wN_Pink_t01.wav,1,n,pink,field,26.5,30,y,14.5,30,na,0
localized_1m_wN_Pink_t01.wav,localized_1m_wN_Pink_t01.wav,1,n,pink,field,26.5,120,y,29.5,120,na,0
localized_1m_wN_Pink_t01.wav,localized_1m_wN_Pink_t01.wav,1,n,pink,field,26.5,165,y,44.5,165,na,0
