filename,filename.short,WP?,Test.tone,Trial,Threshold,True.azimuth,localised-y_Detected-d_Double-m_Missed,Start.time,Predicted.azimuth,Aliaized.Azimuth,error
localized_1a_pinknoise_N_2.wav,localized_1a_pinknoise_N_2.wav,n,pink,lab-pre,24,-150,y,15.3,-140,na,10
localized_1a_pinknoise_N_2.wav,localized_1a_pinknoise_N_2.wav,n,pink,lab-pre,24,-150,y,30.9,-150,na,0
localized_1a_pinknoise_N_2.wav,localized_1a_pinknoise_N_2.wav,n,pink,lab-pre,24,-60,y,45.7,-60,na,0
localized_1a_pinknoise_N_2.wav,localized_1a_pinknoise_N_2.wav,n,pink,lab-pre,24,-15,y,60.9,-15,na,0
localized_1a_pinknoise_N_2.wav,localized_1a_pinknoise_N_2.wav,n,pink,lab-pre,24,30,y,75.7,30,na,0
localized_1a_pinknoise_N_2.wav,localized_1a_pinknoise_N_2.wav,n,pink,lab-pre,24,120,y,90.5,120,na,0
localized_1a_pinknoise_N_2.wav,localized_1a_pinknoise_N_2.wav,n,pink,lab-pre,24,165,y,105.7,165,na,0
localized_1a_pinknoise2_N_2.wav,localized_1a_pinknoise2_N_2.wav,n,pink,lab-pre,24,-150,y,14.9,-145,na,5
localized_1a_pinknoise2_N_2.wav,localized_1a_pinknoise2_N_2.wav,n,pink,lab-pre,24,-150,y,30.5,-145,na,5
localized_1a_pinknoise2_N_2.wav,localized_1a_pinknoise2_N_2.wav,n,pink,lab-pre,24,-60,y,45.1,-60,na,0
localized_1a_pinknoise2_N_2.wav,localized_1a_pinknoise2_N_2.wav,n,pink,lab-pre,24,-15,y,60.5,-15,na,0
localized_1a_pinknoise2_N_2.wav,localized_1a_pinknoise2_N_2.wav,n,pink,lab-pre,24,30,y,75.3,30,na,0
localized_1a_pinknoise2_N_2.wav,localized_1a_pinknoise2_N_2.wav,n,pink,lab-pre,24,120,y,90.1,120,na,0
localized_1a_pinknoise2_N_2.wav,localized_1a_pinknoise2_N_2.wav,n,pink,lab-pre,24,165,y,105.3,170,na,5
localized_1b_bird_N_2.wav,localized_1b_bird_N_2.wav,n,wren,lab-pre,24,-150,y,16.1,-150,na,0
localized_1b_bird_N_2.wav,localized_1b_bird_N_2.wav,n,wren,lab-pre,24,-150,y,30.5,-145,na,5
localized_1b_bird_N_2.wav,localized_1b_bird_N_2.wav,n,wren,lab-pre,24,-60,y,45.5,-55,na,5
localized_1b_bird_N_2.wav,localized_1b_bird_N_2.wav,n,wren,lab-pre,24,-15,y,60.5,-10,na,5
localized_1b_bird_N_2.wav,localized_1b_bird_N_2.wav,n,wren,lab-pre,24,30,y,75.5,30,na,0
localized_1b_bird_N_2.wav,localized_1b_bird_N_2.wav,n,wren,lab-pre,24,120,y,90.9,120,na,0
localized_1b_bird_N_2.wav,localized_1b_bird_N_2.wav,n,wren,lab-pre,24,165,y,105.7,165,na,0
localized_1m_wN_Bird_t01.wav,localized_1m_wN_Bird_t01.wav,n,wren,field,26.5,30,y,2.7,25,na,-5
localized_1m_wN_Bird_t01.wav,localized_1m_wN_Bird_t01.wav,n,wren,field,26.5,30,y,14.1,30,na,0
localized_1m_wN_Bird_t01.wav,localized_1m_wN_Bird_t01.wav,n,wren,field,26.5,120,y,27.1,115,na,-5
localized_1m_wN_Bird_t01.wav,localized_1m_wN_Bird_t01.wav,n,wren,field,26.5,165,y,42.1,160,na,-5
localized_1m_wN_Bird_t01.wav,localized_1m_wN_Bird_t01.wav,n,wren,field,26.5,-150,y,57.1,-150,na,0
localized_1m_wN_Bird_t01.wav,localized_1m_wN_Bird_t01.wav,n,wren,field,26.5,-60,y,72.1,-60,na,0
localized_1m_wN_Bird_t02.wav,localized_1m_wN_Bird_t02.wav,n,wren,field,26.5,30,y,2.7,30,na,0
localized_1m_wN_Bird_t02.wav,localized_1m_wN_Bird_t02.wav,n,wren,field,26.5,30,y,14.1,30,na,0
localized_1m_wN_Bird_t02.wav,localized_1m_wN_Bird_t02.wav,n,wren,field,26.5,120,y,27.3,115,na,-5
localized_1m_wN_Bird_t02.wav,localized_1m_wN_Bird_t02.wav,n,wren,field,26.5,165,y,41.9,160,na,-5
localized_1m_wN_Bird_t02.wav,localized_1m_wN_Bird_t02.wav,n,wren,field,26.5,-150,y,56.9,-155,na,-5
localized_1m_wN_Bird_t02.wav,localized_1m_wN_Bird_t02.wav,n,wren,field,26.5,-60,y,71.5,-60,na,0
localized_1m_wN_Pink_t01.wav,localized_1m_wN_Pink_t01.wav,n,pink,field,26.5,30,y,3.9,25,na,-5
localized_1m_wN_Pink_t01.wav,localized_1m_wN_Pink_t01.wav,n,pink,field,26.5,30,y,14.5,30,na,0
localized_1m_wN_Pink_t01.wav,localized_1m_wN_Pink_t01.wav,n,pink,field,26.5,120,y,29.5,120,na,0
localized_1m_wN_Pink_t01.wav,localized_1m_wN_Pink_t01.wav,n,pink,field,26.5,165,y,44.5,165,na,0
localized_1m_wN_Pink_t01.wav,localized_1m_wN_Pink_t01.wav,n,pink,field,26.5,-150,y,59.5,-150,na,0
localized_1m_wN_Pink_t01.wav,localized_1m_wN_Pink_t01.wav,n,pink,field,26.5,-60,y,74.5,-60,na,0
localized_1m_wN_Pink_t02.wav,localized_1m_wN_Pink_t02.wav,n,pink,field,26.5,30,y,3.5,35,na,5
localized_1m_wN_Pink_t02.wav,localized_1m_wN_Pink_t02.wav,n,pink,field,26.5,30,y,14.9,30,na,0
localized_1m_wN_Pink_t02.wav,localized_1m_wN_Pink_t02.wav,n,pink,field,26.5,120,y,29.9,115,na,-5
localized_1m_wN_Pink_t02.wav,localized_1m_wN_Pink_t02.wav,n,pink,field,26.5,165,y,44.7,160,na,-5
localized_1m_wN_Pink_t02.wav,localized_1m_wN_Pink_t02.wav,n,pink,field,26.5,-150,y,59.7,-155,na,-5
localized_1m_wN_Pink_t02.wav,localized_1m_wN_Pink_t02.wav,n,pink,field,26.5,-60,y,74.5,-60,na,0
localized_1m_wY_Bird_t01.wav,localized_1m_wY_Bird_t01.wav,y,wren,field,26.5,30,y,6.3,30,na,0
localized_1m_wY_Bird_t01.wav,localized_1m_wY_Bird_t01.wav,y,wren,field,26.5,30,y,15.1,30,na,0
localized_1m_wY_Bird_t01.wav,localized_1m_wY_Bird_t01.wav,y,wren,field,26.5,120,y,28.3,120,na,0
localized_1m_wY_Bird_t01.wav,localized_1m_wY_Bird_t01.wav,y,wren,field,26.5,165,d,43.1,165,80,0
localized_1m_wY_Bird_t01.wav,localized_1m_wY_Bird_t01.wav,y,wren,field,26.5,-150,y,58.3,-150,na,0
localized_1m_wY_Bird_t01.wav,localized_1m_wY_Bird_t01.wav,y,wren,field,26.5,-60,y,73.3,-60,na,0
localized_1m_wY_Bird_t02-PARTIAL.wav,localized_1m_wY_Bird_t02-PARTIAL.wav,y,wren,field,26.5,30,y,7.1,30,na,0
localized_1m_wY_Bird_t02-PARTIAL.wav,localized_1m_wY_Bird_t02-PARTIAL.wav,y,wren,field,26.5,30,y,16.1,30,na,0
localized_1m_wY_Bird_t02-PARTIAL.wav,localized_1m_wY_Bird_t02-PARTIAL.wav,y,wren,field,26.5,120,y,29.3,120,na,0
localized_1m_wY_Pink_t01.wav,localized_1m_wY_Pink_t01.wav,y,pink,field,26.5,30,y,7.3,30,na,0
localized_1m_wY_Pink_t01.wav,localized_1m_wY_Pink_t01.wav,y,pink,field,26.5,30,y,15.9,30,na,0
localized_1m_wY_Pink_t01.wav,localized_1m_wY_Pink_t01.wav,y,pink,field,26.5,120,y,30.9,120,na,0
localized_1m_wY_Pink_t01.wav,localized_1m_wY_Pink_t01.wav,y,pink,field,26.5,165,y,45.9,165,na,0
localized_1m_wY_Pink_t01.wav,localized_1m_wY_Pink_t01.wav,y,pink,field,26.5,-150,y,60.9,-150,na,0
localized_1m_wY_Pink_t01.wav,localized_1m_wY_Pink_t01.wav,y,pink,field,26.5,-60,y,75.9,-60,na,0
localized_1m_wY_Pink_t02.wav,localized_1m_wY_Pink_t02.wav,y,pink,field,26.5,30,y,6.7,30,na,0
localized_1m_wY_Pink_t02.wav,localized_1m_wY_Pink_t02.wav,y,pink,field,26.5,30,y,15.3,30,na,0
localized_1m_wY_Pink_t02.wav,localized_1m_wY_Pink_t02.wav,y,pink,field,26.5,120,y,30.3,120,na,0
localized_1m_wY_Pink_t02.wav,localized_1m_wY_Pink_t02.wav,y,pink,field,26.5,165,y,46.1,165,na,0
localized_1m_wY_Pink_t02.wav,localized_1m_wY_Pink_t02.wav,y,pink,field,26.5,-150,y,60.3,-150,na,0
localized_1m_wY_Pink_t02.wav,localized_1m_wY_Pink_t02.wav,y,pink,field,26.5,-60,y,75.3,-60,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,NewCaseOff-1000Hz.wav,n,1000,freq-dep,27,30,y,0.5,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,NewCaseOff-1000Hz.wav,n,1000,freq-dep,27,30,y,13.7,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,NewCaseOff-1000Hz.wav,n,1000,freq-dep,27,120,y,28.7,120,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,NewCaseOff-1000Hz.wav,n,1000,freq-dep,27,165,y,43.7,165,na,0
