file,trueAzimuth,difference,tone,gainTest,recorder,wp,testTone,gainAdded,time
AdjG_YelloGreen_bird01,-180,180,y,y,yellowGreen,y,bird,y,post
AdjG_YelloGreen_bird01,-90,-10,y,y,yellowGreen,y,bird,y,post
AdjG_YelloGreen_bird01,-45,-5,y,y,yellowGreen,y,bird,y,post
AdjG_YelloGreen_bird01,0,0,y,y,yellowGreen,y,bird,y,post
AdjG_YelloGreen_bird01,90,10,y,y,yellowGreen,y,bird,y,post
AdjG_YelloGreen_bird02,-180,0,y,y,yellowGreen,y,bird,y,post
AdjG_YelloGreen_bird02,-90,-10,y,y,yellowGreen,y,bird,y,post
AdjG_YelloGreen_bird02,-45,-5,y,y,yellowGreen,y,bird,y,post
AdjG_YelloGreen_bird02,0,0,y,y,yellowGreen,y,bird,y,post
AdjG_YelloGreen_bird02,90,10,y,y,yellowGreen,y,bird,y,post
AdjG_YelloGreen_bird03,-180,175,y,y,yellowGreen,y,bird,y,post
AdjG_YelloGreen_bird03,-90,20,y,y,yellowGreen,y,bird,y,post
AdjG_YelloGreen_pink01,-180,0,y,y,yellowGreen,y,pinknoise,y,post
AdjG_YelloGreen_pink01,-180,180,echo,y,yellowGreen,y,pinknoise,y,post
AdjG_YelloGreen_pink01,-180,180,echo,y,yellowGreen,y,pinknoise,y,post
AdjG_YelloGreen_pink01,-180,180,echo,y,yellowGreen,y,pinknoise,y,post
AdjG_YelloGreen_pink01,-90,-10,y,y,yellowGreen,y,pinknoise,y,post
AdjG_YelloGreen_pink01,-45,-5,y,y,yellowGreen,y,pinknoise,y,post
AdjG_YelloGreen_pink01,0,0,y,y,yellowGreen,y,pinknoise,y,post
AdjG_YelloGreen_pink01,90,10,y,y,yellowGreen,y,pinknoise,y,post
AdjG_YelloGreen_pink02,-180,0,y,y,yellowGreen,y,pinknoise,y,post
AdjG_YelloGreen_pink02,-90,-10,y,y,yellowGreen,y,pinknoise,y,post
AdjG_YelloGreen_pink02,-45,-5,y,y,yellowGreen,y,pinknoise,y,post
AdjG_YelloGreen_pink02,0,0,y,y,yellowGreen,y,pinknoise,y,post
AdjG_YelloGreen_pink02,90,10,y,y,yellowGreen,y,pinknoise,y,post
