test ,group,recs,mean,SD,maxEr,MeanEchRM,SDEchRm,MaxErEchRm,HitRate,numTests,FalsePos
pre,WP:bird,5b_bird_Y_2,4.17,7.03,10,3,7.58,10,1,1,0.17
pre,NoWP:bird,1b_bird_N_2,1.43,2.31,5,NA,NA,NA,1,1,0
pre,WP:pinknoise,"5a_pinknoise_Y_2, ",-23.57,61.7,-175,1.67,5.16,10,1,1,0.17
pre,NoWP:pinknoise,1a_pinknoise_N_2; 1a_pinknoise2_N_2; 7a_pinknoise_N_3,0.41,2.04,5,NA,NA,NA,1,3,0
post,yellowBird,Yellow_bird01; Yellow_bird02,35.35,59.2,145,-0.5,2.84,-5,1,2,0.29
post,yellowPink,Yellow_pink02; Yellow_pink03,9.58,34.93,-180,0,3.33,-5,1,2,0.17
post,ygBird,AdjG_YelloGreen_bird01; AdjG_YelloGreen_bird02;AdjG_YellowGreen_flipped_bird01,27.62,84.48,180,-2,7.75,-10,1,3,0.29
post,ygPink,AdjG_YelloGreen_pink01; AdjG_YelloGreen_pink02; AdjG_YellowGreen_flipped_pink01,33.33,72.51,180,-1,6.87,-10,1,3,0.29
post,blueBird,Blue_pink01; Blue_repowered_pink01 ; Blue_repowered_pink02,-46.67,126.2,170,NA,NA,NA,0.4,3,0
post,bluePink,Blue_bird01; Blue_bird02; Blue_Repowered_bird01; Blue_Repowered_bird02,-41.25,124.99,-150,NA,NA,NA,0.4,4,0
pre,WP,"5b_bird_Y_2; 5a_pinknoise_Y_2,  ",-10.77,49.7,-175,2.27,6.07,10,1,2,0.15
pre,NoWP,1b_bird_N_2; 1a_pinknoise_N_2; 1a_pinknoise2_N_2; 7a_pinknoise_N_3,0.8,2.36,5,0.83,2.41,5,1,4,0.04
post,yellow,Yellow_bird01; Yellow_bird02; Yellow_pink02; Yellow_pink03,23.46,50.33,145,-0.25,3.02,5,1,4,0.23
post,yg,AdjG_YelloGreen_bird01; AdjG_YelloGreen_bird02;AdjG_YellowGreen_flipped_bird01; AdjG_YelloGreen_pink01; AdjG_YelloGreen_pink02; AdjG_YellowGreen_flipped_pink01,17.5,75.345,180,-1.5,7.21,10,1,6,0.29
post,blue ,Blue_pink01; Blue_repowered_pink01 ; Blue_repowered_pink02; Blue_bird01; Blue_bird02; Blue_Repowered_bird01; Blue_Repowered_bird02 ,-43.57,114.8,155,NA,NA,NA,0.4,7,0
