"file","x","difference"
"YelloGreen_bird01",-180,180
"YelloGreen_bird01",-90,-10
"YelloGreen_bird01",-45,-5
"YelloGreen_bird01",0,0
"YelloGreen_bird01",90,10
"YelloGreen_bird02",-180,0
"YelloGreen_bird02",-90,-10
"YelloGreen_bird02",-45,-5
"YelloGreen_bird02",0,0
"YelloGreen_bird02",90,10
"YelloGreen_bird03",-180,175
"YelloGreen_bird03",-90,20
"YelloGreen_pink01",-180,0
"YelloGreen_pink01",-180,180
"YelloGreen_pink01",-180,180
"YelloGreen_pink01",-180,180
"YelloGreen_pink01",-90,-10
"YelloGreen_pink01",-45,-5
"YelloGreen_pink01",0,0
"YelloGreen_pink01",90,10
"YelloGreen_pink02",-180,0
"YelloGreen_pink02",-90,-10
"YelloGreen_pink02",-45,-5
"YelloGreen_pink02",0,0
"YelloGreen_pink02",90,10
"YellowGreen_flipped_bird01",-180,180
"YellowGreen_flipped_bird01",-90,-10
"YellowGreen_flipped_bird01",-45,-5
"YellowGreen_flipped_bird01",0,0
"YellowGreen_flipped_bird01",90,10
"YellowGreen_flipped_pink01",-180,175
"YellowGreen_flipped_pink01",-180,0
"YellowGreen_flipped_pink01",-180,0
"YellowGreen_flipped_pink01",-180,0
"YellowGreen_flipped_pink01",-90,-10
"YellowGreen_flipped_pink01",-45,-5
"YellowGreen_flipped_pink01",0,0
"YellowGreen_flipped_pink01",90,10
"Yellow_bird01",-180,0
"Yellow_bird01",-90,-5
"Yellow_bird01",-45,145
"Yellow_bird01",-45,0
"Yellow_bird01",0,0
"Yellow_bird01",90,120
"Yellow_bird01",90,-5
"Yellow_bird02",-180,0
"Yellow_bird02",-90,0
"Yellow_bird02",-45,0
"Yellow_bird02",0,5
"Yellow_bird02",90,120
"Yellow_bird02",90,0
"Yellow_bird02",90,115
"Yellow_pink02",-180,-5
"Yellow_pink02",-90,0
"Yellow_pink02",-45,0
"Yellow_pink02",0,5
"Yellow_pink02",90,120
"Yellow_pink02",90,0
"Yellow_pink02",90,-5
"Yellow_pink03",-180,-5
"Yellow_pink03",-90,0
"Yellow_pink03",-45,0
"Yellow_pink03",0,5
"Yellow_pink03",90,0
