"file","x","difference"
"Blue_bird01",-90,-125
"Blue_bird01",90,120
"Blue_bird02",-90,-125
"Blue_bird02",90,120
"Blue_pink01",-90,-125
"Blue_pink01",-45,170
"Blue_Repowered_bird01",-180,-10
"Blue_Repowered_bird01",90,-150
"Blue_Repowered_bird02",-180,-10
"Blue_Repowered_bird02",90,-150
"Blue_Repowered_pink01",-180,-5
"Blue_Repowered_pink01",90,-155
"Blue_Repowered_pink02",-180,-10
"Blue_Repowered_pink02",90,-155
"Yellow_bird01",-180,0
"Yellow_bird01",-90,-5
"Yellow_bird01",-45,145
"Yellow_bird01",-45,0
"Yellow_bird01",0,0
"Yellow_bird01",90,120
"Yellow_bird01",90,-5
"Yellow_bird02",-180,0
"Yellow_bird02",-90,0
"Yellow_bird02",-45,0
"Yellow_bird02",0,5
"Yellow_bird02",90,120
"Yellow_bird02",90,0
"Yellow_bird02",90,115
"Yellow_pink02",-180,-5
"Yellow_pink02",-90,0
"Yellow_pink02",-45,0
"Yellow_pink02",0,5
"Yellow_pink02",90,-5
"Yellow_pink02",90,120
"Yellow_pink02",90,0
"Yellow_pink03",-180,-5
"Yellow_pink03",-90,0
"Yellow_pink03",-45,0
"Yellow_pink03",0,5
"Yellow_pink03",90,0
