file,detction,group,testTone,treatment,recorder,wp,true.azimuth,difference
1a_pinknoise_N_2,y,pre,pinknoise,raw,2,N,-180,0
1a_pinknoise_N_2,y,pre,pinknoise,raw,2,N,-90,0
1a_pinknoise_N_2,y,pre,pinknoise,raw,2,N,-45,0
1a_pinknoise_N_2,y,pre,pinknoise,raw,2,N,0,0
1a_pinknoise_N_2,y,pre,pinknoise,raw,2,N,90,0
1a_pinknoise_N_2,y,pre,pinknoise,raw,2,N,135,0
1a_pinknoise2_N_2,y,pre,pinknoise,raw,2,N,-180,5
1a_pinknoise2_N_2,y,pre,pinknoise,raw,2,N,-90,0
1a_pinknoise2_N_2,y,pre,pinknoise,raw,2,N,-45,0
1a_pinknoise2_N_2,y,pre,pinknoise,raw,2,N,0,0
1a_pinknoise2_N_2,y,pre,pinknoise,raw,2,N,90,0
1a_pinknoise2_N_2,y,pre,pinknoise,raw,2,N,135,5
1b_bird_N_2,y,pre,bird,raw,2,N,-180,0
1b_bird_N_2,y,pre,bird,raw,2,N,-90,5
1b_bird_N_2,y,pre,bird,raw,2,N,-45,5
1b_bird_N_2,y,pre,bird,raw,2,N,0,0
1b_bird_N_2,y,pre,bird,raw,2,N,90,0
1b_bird_N_2,echo,pre,bird,raw,2,N,90,0
1b_bird_N_2,y,pre,bird,raw,2,N,135,0
5a_pinknoise_Y_2,y,pre,pinknoise,raw,2,Y,-180,5
5a_pinknoise_Y_2,y,pre,pinknoise,raw,2,Y,-90,0
5a_pinknoise_Y_2,y,pre,pinknoise,raw,2,Y,-45,0
5a_pinknoise_Y_2,y,pre,pinknoise,raw,2,Y,0,-5
5a_pinknoise_Y_2,y,pre,pinknoise,raw,2,Y,90,0
5a_pinknoise_Y_2,echo,pre,pinknoise,raw,2,Y,135,-175
5a_pinknoise_Y_2,y,pre,pinknoise,raw,2,Y,135,10
5b_bird_Y_2,y,pre,bird,raw,2,Y,-180,10
5b_bird_Y_2,echo,pre,bird,raw,2,Y,-180,10
5b_bird_Y_2,y,pre,bird,raw,2,Y,-45,-5
5b_bird_Y_2,y,pre,bird,raw,2,Y,0,-5
5b_bird_Y_2,y,pre,bird,raw,2,Y,90,5
5b_bird_Y_2,y,pre,bird,raw,2,Y,135,10
7a_pinknoise_N_3,y,pre,pinknoise,raw,3,N,-180,0
7a_pinknoise_N_3,y,pre,pinknoise,raw,3,N,-90,0
7a_pinknoise_N_3,y,pre,pinknoise,raw,3,N,-45,5
7a_pinknoise_N_3,y,pre,pinknoise,raw,3,N,0,0
7a_pinknoise_N_3,y,pre,pinknoise,raw,3,N,90,-5
7a_pinknoise_N_3,y,pre,pinknoise,raw,3,N,135,0
YelloGreen_bird01,y,post,bird,adjGain,yellowGreen,Y,-180,180
YelloGreen_bird01,y,post,bird,adjGain,yellowGreen,Y,-90,-10
YelloGreen_bird01,y,post,bird,adjGain,yellowGreen,Y,-45,-5
YelloGreen_bird01,y,post,bird,adjGain,yellowGreen,Y,0,0
YelloGreen_bird01,y,post,bird,adjGain,yellowGreen,Y,90,10
YelloGreen_bird02,y,post,bird,adjGain,yellowGreen,Y,-180,0
YelloGreen_bird02,y,post,bird,adjGain,yellowGreen,Y,-90,-10
YelloGreen_bird02,y,post,bird,adjGain,yellowGreen,Y,-45,-5
YelloGreen_bird02,y,post,bird,adjGain,yellowGreen,Y,0,0
YelloGreen_bird02,y,post,bird,adjGain,yellowGreen,Y,90,10
YelloGreen_bird03,y,post,bird,adjGain,yellowGreen,Y,-180,175
YelloGreen_bird03,y,post,bird,adjGain,yellowGreen,Y,-90,20
YelloGreen_pink01,y,post,pinknoise,adjGain,yellowGreen,Y,-180,0
YelloGreen_pink01,echo,post,pinknoise,adjGain,yellowGreen,Y,-180,180
YelloGreen_pink01,echo,post,pinknoise,adjGain,yellowGreen,Y,-180,180
YelloGreen_pink01,echo,post,pinknoise,adjGain,yellowGreen,Y,-180,180
YelloGreen_pink01,y,post,pinknoise,adjGain,yellowGreen,Y,-90,-10
YelloGreen_pink01,y,post,pinknoise,adjGain,yellowGreen,Y,-45,-5
YelloGreen_pink01,y,post,pinknoise,adjGain,yellowGreen,Y,0,0
YelloGreen_pink01,y,post,pinknoise,adjGain,yellowGreen,Y,90,10
YelloGreen_pink02,y,post,pinknoise,adjGain,yellowGreen,Y,-180,0
YelloGreen_pink02,y,post,pinknoise,adjGain,yellowGreen,Y,-90,-10
YelloGreen_pink02,y,post,pinknoise,adjGain,yellowGreen,Y,-45,-5
YelloGreen_pink02,y,post,pinknoise,adjGain,yellowGreen,Y,0,0
YelloGreen_pink02,y,post,pinknoise,adjGain,yellowGreen,Y,90,10
YellowGreen_flipped_bird01,y,post,bird,adjGain,yellowGreen,Y,-180,180
YellowGreen_flipped_bird01,y,post,bird,adjGain,yellowGreen,Y,-90,-10
YellowGreen_flipped_bird01,y,post,bird,adjGain,yellowGreen,Y,-45,-5
YellowGreen_flipped_bird01,y,post,bird,adjGain,yellowGreen,Y,0,0
YellowGreen_flipped_bird01,y,post,bird,adjGain,yellowGreen,Y,90,10
YellowGreen_flipped_pink01,echo,post,bird,adjGain,yellowGreen,Y,-180,175
YellowGreen_flipped_pink01,y,post,bird,adjGain,yellowGreen,Y,-180,0
YellowGreen_flipped_pink01,echo,post,bird,adjGain,yellowGreen,Y,-180,0
YellowGreen_flipped_pink01,echo,post,bird,adjGain,yellowGreen,Y,-180,0
YellowGreen_flipped_pink01,y,post,bird,adjGain,yellowGreen,Y,-90,-10
YellowGreen_flipped_pink01,yy,post,bird,adjGain,yellowGreen,Y,-45,-5
YellowGreen_flipped_pink01,y,post,bird,adjGain,yellowGreen,Y,0,0
YellowGreen_flipped_pink01,y,post,bird,adjGain,yellowGreen,Y,90,10
Yellow_bird01,y,post,bird,adjGain,yellow,Y,-180,0
Yellow_bird01,y,post,bird,adjGain,yellow,Y,-90,-5
Yellow_bird01,echo,post,bird,adjGain,yellow,Y,-45,145
Yellow_bird01,y,post,bird,adjGain,yellow,Y,-45,0
Yellow_bird01,y,post,bird,adjGain,yellow,Y,0,0
Yellow_bird01,echo,post,bird,adjGain,yellow,Y,90,120
Yellow_bird01,y,post,bird,adjGain,yellow,Y,90,-5
Yellow_bird02,y,post,bird,adjGain,yellow,Y,-180,0
Yellow_bird02,y,post,bird,adjGain,yellow,Y,-90,0
Yellow_bird02,y,post,bird,adjGain,yellow,Y,-45,0
Yellow_bird02,y,post,bird,adjGain,yellow,Y,0,5
Yellow_bird02,echo,post,bird,adjGain,yellow,Y,90,120
Yellow_bird02,y,post,bird,adjGain,yellow,Y,90,0
Yellow_bird02,echo,post,bird,adjGain,yellow,Y,90,115
Yellow_pink02,y,post,pinknoise,adjGain,yellow,Y,-180,-5
Yellow_pink02,y,post,pinknoise,adjGain,yellow,Y,-90,0
Yellow_pink02,y,post,pinknoise,adjGain,yellow,Y,-45,0
Yellow_pink02,y,post,pinknoise,adjGain,yellow,Y,0,5
Yellow_pink02,echo,post,pinknoise,adjGain,yellow,Y,90,120
Yellow_pink02,y,post,pinknoise,adjGain,yellow,Y,90,0
Yellow_pink02,echo,post,pinknoise,adjGain,yellow,Y,90,-5
Yellow_pink03,y,post,pinknoise,adjGain,yellow,Y,-180,-5
Yellow_pink03,y,post,pinknoise,adjGain,yellow,Y,-90,0
Yellow_pink03,y,post,pinknoise,adjGain,yellow,Y,-45,0
Yellow_pink03,y,post,pinknoise,adjGain,yellow,Y,0,5
Yellow_pink03,y,post,pinknoise,adjGain,yellow,Y,90,0
Blue_bird01,y,post,bird,raw,blue,Y,-90,-125
Blue_bird01,echo,post,bird,raw,blue,Y,90,120
Blue_bird02,echo,post,bird,raw,blue,Y,-90,-125
Blue_bird02,echo,post,bird,raw,blue,Y,90,120
Blue_pink01,echo,post,bird,raw,blue,Y,-90,-125
Blue_pink01,y,post,bird,raw,blue,Y,-45,170
Blue_Repowered_bird01,y,post,bird,raw,blue,Y,-180,-10
Blue_Repowered_bird01,y,post,bird,raw,blue,Y,90,-150
Blue_Repowered_bird02,echo,post,bird,raw,blue,Y,-180,-10
Blue_Repowered_bird02,echo,post,bird,raw,blue,Y,90,-150
Blue_Repowered_pink01,y,post,bird,raw,blue,Y,-180,-5
