filename,Sep,Start.time,Start.azimuth,End.time,End.azimuth
localized_1m_wN_Bird_t01.wav,0,3.7,30,9,30
localized_1m_wN_Bird_t01.wav,1,6.5,-150,8.6,-150
localized_1m_wN_Bird_t01.wav,2,10.3,30,12.4,30
localized_1m_wN_Bird_t01.wav,3,14.1,30,19.6,30
localized_1m_wN_Bird_t01.wav,4,18.7,25,21,25
localized_1m_wN_Bird_t01.wav,5,19.1,-160,21.2,-160
localized_1m_wN_Bird_t01.wav,6,19.3,50,22,55
localized_1m_wN_Bird_t01.wav,7,20.1,75,23.2,100
localized_1m_wN_Bird_t01.wav,8,21.3,-110,24,-140
localized_1m_wN_Bird_t01.wav,9,22.1,115,24.6,110
localized_1m_wN_Bird_t01.wav,10,22.7,-115,24.8,-115
localized_1m_wN_Bird_t01.wav,11,27.1,115,36,155
localized_1m_wN_Bird_t01.wav,12,31.5,-145,33.6,-145
localized_1m_wN_Bird_t01.wav,13,34.5,25,36.6,25
localized_1m_wN_Bird_t01.wav,14,35.1,-45,37.2,-45
localized_1m_wN_Bird_t01.wav,15,42.1,160,47.6,160
localized_1m_wN_Bird_t01.wav,16,46.3,155,49,165
localized_1m_wN_Bird_t01.wav,17,47.3,-170,51.4,-160
localized_1m_wN_Bird_t01.wav,18,49.5,-140,51.6,-140
localized_1m_wN_Bird_t01.wav,19,52.3,135,54.4,135
localized_1m_wN_Bird_t01.wav,20,53.9,-35,56,-35
localized_1m_wN_Bird_t01.wav,21,57.1,-150,62.6,-155
localized_1m_wN_Bird_t01.wav,22,61.7,-155,64.8,-120
localized_1m_wN_Bird_t01.wav,23,62.1,15,64.2,15
localized_1m_wN_Bird_t01.wav,24,63.3,-90,67.6,-55
localized_1m_wN_Bird_t01.wav,25,72.1,-60,77.6,-60
localized_1m_wN_Bird_t02.wav,0,-0.3,20,2.8,30
localized_1m_wN_Bird_t02.wav,1,3.7,35,7.2,30
localized_1m_wN_Bird_t02.wav,2,6.5,-150,8.8,-150
localized_1m_wN_Bird_t02.wav,3,6.9,30,9.2,30
localized_1m_wN_Bird_t02.wav,4,8.9,-45,11.6,-45
localized_1m_wN_Bird_t02.wav,5,11.7,-50,14,-50
localized_1m_wN_Bird_t02.wav,6,12.7,-45,14.8,-45
localized_1m_wN_Bird_t02.wav,7,14.1,30,19.8,30
localized_1m_wN_Bird_t02.wav,8,18.7,-145,21,-140
localized_1m_wN_Bird_t02.wav,9,19.5,165,21.8,160
localized_1m_wN_Bird_t02.wav,10,20.3,-80,22.4,-80
localized_1m_wN_Bird_t02.wav,11,21.5,105,23.6,105
localized_1m_wN_Bird_t02.wav,12,22.1,-135,24.6,-120
localized_1m_wN_Bird_t02.wav,13,27.3,115,32.4,115
localized_1m_wN_Bird_t02.wav,14,29.7,20,31.8,20
localized_1m_wN_Bird_t02.wav,15,31.5,110,33.6,110
localized_1m_wN_Bird_t02.wav,16,31.7,10,33.8,10
localized_1m_wN_Bird_t02.wav,17,32.3,140,34.8,145
localized_1m_wN_Bird_t02.wav,18,33.1,-105,35.2,-105
localized_1m_wN_Bird_t02.wav,19,33.3,165,35.6,150
localized_1m_wN_Bird_t02.wav,20,33.9,-5,36.6,-5
localized_1m_wN_Bird_t02.wav,21,41.9,160,47.4,155
localized_1m_wN_Bird_t02.wav,22,46.3,-35,48.4,-35
localized_1m_wN_Bird_t02.wav,23,46.5,155,48.6,155
localized_1m_wN_Bird_t02.wav,24,46.9,-60,49,-60
localized_1m_wN_Bird_t02.wav,25,47.1,-175,50.4,-140
localized_1m_wN_Bird_t02.wav,26,56.9,-155,62,-155
localized_1m_wN_Bird_t02.wav,27,60.9,-160,63.2,-160
localized_1m_wN_Bird_t02.wav,28,61.3,-135,64,-125
localized_1m_wN_Bird_t02.wav,29,62.1,-105,70.8,-50
localized_1m_wN_Bird_t02.wav,30,64.7,-175,66.8,-175
localized_1m_wN_Bird_t02.wav,31,71.5,-60,77.2,-50
localized_1m_wN_Bird_t02.wav,32,76.1,-60,77.6,-60
localized_1m_wN_Pink_t01.wav,0,-0.1,-45,2,-45
localized_1m_wN_Pink_t01.wav,1,4.1,30,10.6,40
localized_1m_wN_Pink_t01.wav,2,7.1,-150,9.4,-150
localized_1m_wN_Pink_t01.wav,3,14.5,30,21.6,30
localized_1m_wN_Pink_t01.wav,4,20.5,25,25.2,105
localized_1m_wN_Pink_t01.wav,5,21.3,165,23.4,165
localized_1m_wN_Pink_t01.wav,6,23.5,5,26,25
localized_1m_wN_Pink_t01.wav,7,23.7,-140,25.8,-140
localized_1m_wN_Pink_t01.wav,8,24.1,120,26.4,120
localized_1m_wN_Pink_t01.wav,9,27.3,125,29.4,125
localized_1m_wN_Pink_t01.wav,10,29.5,120,36.6,115
localized_1m_wN_Pink_t01.wav,11,35.5,110,40,160
localized_1m_wN_Pink_t01.wav,12,38.3,-25,40.4,-25
localized_1m_wN_Pink_t01.wav,13,38.7,170,41,175
localized_1m_wN_Pink_t01.wav,14,39.5,-25,42,-25
localized_1m_wN_Pink_t01.wav,15,42.3,-25,44.6,-25
localized_1m_wN_Pink_t01.wav,16,44.5,165,51.6,165
localized_1m_wN_Pink_t01.wav,17,50.3,-60,52.4,-60
localized_1m_wN_Pink_t01.wav,18,50.5,165,55,-145
localized_1m_wN_Pink_t01.wav,19,59.5,-150,66.6,-150
localized_1m_wN_Pink_t01.wav,20,65.3,-25,67.6,-25
localized_1m_wN_Pink_t01.wav,21,65.7,-160,67.8,-160
localized_1m_wN_Pink_t01.wav,22,66.7,-120,69,-130
localized_1m_wN_Pink_t01.wav,23,67.5,-90,70.6,-75
localized_1m_wN_Pink_t01.wav,24,69.1,-175,71.4,-175
localized_1m_wN_Pink_t01.wav,25,74.5,-60,79.2,-60
localized_1m_wN_Pink_t01.wav,26,77.3,-175,80.4,-175
localized_1m_wN_Pink_t01.wav,27,77.9,55,80,55
localized_1m_wN_Pink_t01.wav,28,78.1,-60,81.6,-60
localized_1m_wN_Pink_t02.wav,0,4.3,30,10,30
localized_1m_wN_Pink_t02.wav,1,6.7,-150,9.6,-145
localized_1m_wN_Pink_t02.wav,2,14.9,30,22,30
localized_1m_wN_Pink_t02.wav,3,21.1,-145,23.2,-145
localized_1m_wN_Pink_t02.wav,4,21.5,-165,24.2,-165
localized_1m_wN_Pink_t02.wav,5,21.7,165,23.8,165
localized_1m_wN_Pink_t02.wav,6,21.9,55,24,55
localized_1m_wN_Pink_t02.wav,7,22.5,90,25,85
localized_1m_wN_Pink_t02.wav,8,23.3,105,25.6,105
localized_1m_wN_Pink_t02.wav,9,24.1,-140,26.2,-140
localized_1m_wN_Pink_t02.wav,10,24.3,20,26.6,20
localized_1m_wN_Pink_t02.wav,11,27.3,-70,29.4,-70
localized_1m_wN_Pink_t02.wav,12,29.9,115,37,115
localized_1m_wN_Pink_t02.wav,13,36.1,-120,38.2,-120
localized_1m_wN_Pink_t02.wav,14,36.7,145,40.2,155
localized_1m_wN_Pink_t02.wav,15,44.3,70,46.4,70
localized_1m_wN_Pink_t02.wav,16,44.7,160,51.8,160
localized_1m_wN_Pink_t02.wav,17,50.9,-35,53,-35
localized_1m_wN_Pink_t02.wav,18,51.9,-170,54,-170
localized_1m_wN_Pink_t02.wav,19,52.1,30,54.4,30
localized_1m_wN_Pink_t02.wav,20,59.9,-150,66.6,-150
