Sep	Start time	Start azimuth	End time	End azimuth
0	0.10	70.00	2.60	70.00
1	1.30	75.00	3.60	70.00
2	2.30	75.00	5.00	70.00
3	4.30	70.00	6.40	70.00
4	5.10	30.00	10.00	35.00
5	7.50	-150.00	9.60	-150.00
6	12.10	70.00	16.00	70.00
7	14.90	30.00	20.60	30.00
8	19.10	-145.00	21.20	-145.00
9	19.70	70.00	21.80	70.00
10	19.90	40.00	26.20	115.00
11	20.50	-35.00	23.00	-35.00
12	21.50	-65.00	24.20	-85.00
13	23.90	15.00	26.60	10.00
14	24.70	-130.00	26.80	-130.00
15	24.90	120.00	27.60	125.00
16	28.10	125.00	33.60	125.00
17	32.30	120.00	37.40	155.00
18	32.50	-130.00	34.60	-130.00
19	33.50	-145.00	35.60	-145.00
20	35.50	-30.00	37.60	-30.00
21	36.30	165.00	38.40	165.00
22	43.10	160.00	45.20	160.00
23	43.30	-45.00	47.80	-45.00
24	43.90	165.00	46.80	160.00
25	45.90	165.00	48.60	165.00
26	48.10	165.00	50.20	165.00
27	48.70	-155.00	52.20	-150.00
28	56.50	-150.00	60.40	-150.00
29	56.70	30.00	58.80	30.00
30	58.50	30.00	61.00	30.00
31	59.10	-150.00	62.00	-150.00
32	61.30	-145.00	69.00	-60.00
33	67.10	-175.00	69.20	-175.00
34	71.50	-55.00	77.00	-55.00
