filename,Sep,Start.time,Start.azimuth,End.time,End.azimuth
localized_8m_wN_Bird_t01.wav,0,-0.30,-25.00,2.80,-30.00
localized_8m_wN_Bird_t01.wav,1,-0.10,70.00,6.60,75.00
localized_8m_wN_Bird_t01.wav,2,3.70,35.00,10.00,30.00
localized_8m_wN_Bird_t01.wav,3,7.30,-150.00,9.40,-150.00
localized_8m_wN_Bird_t01.wav,4,8.10,75.00,10.20,75.00
localized_8m_wN_Bird_t01.wav,5,9.30,125.00,11.40,125.00
localized_8m_wN_Bird_t01.wav,6,11.10,80.00,15.80,80.00
localized_8m_wN_Bird_t01.wav,7,14.30,120.00,16.40,120.00
localized_8m_wN_Bird_t01.wav,8,14.50,80.00,16.60,80.00
localized_8m_wN_Bird_t01.wav,9,14.70,30.00,20.20,30.00
localized_8m_wN_Bird_t01.wav,10,18.50,125.00,20.60,125.00
localized_8m_wN_Bird_t01.wav,11,18.70,-145.00,21.00,-145.00
localized_8m_wN_Bird_t01.wav,12,19.10,30.00,39.20,160.00
localized_8m_wN_Bird_t01.wav,13,19.30,70.00,21.40,70.00
localized_8m_wN_Bird_t01.wav,14,20.10,-35.00,22.80,-45.00
localized_8m_wN_Bird_t01.wav,15,22.30,-95.00,24.40,-95.00
localized_8m_wN_Bird_t01.wav,16,23.70,15.00,25.80,15.00
localized_8m_wN_Bird_t01.wav,17,24.30,-130.00,26.60,-130.00
localized_8m_wN_Bird_t01.wav,18,32.30,-130.00,34.80,-145.00
localized_8m_wN_Bird_t01.wav,19,35.10,-30.00,37.40,-35.00
localized_8m_wN_Bird_t01.wav,20,39.50,120.00,44.60,110.00
localized_8m_wN_Bird_t01.wav,21,42.70,165.00,44.80,165.00
localized_8m_wN_Bird_t01.wav,22,42.90,-45.00,47.40,-45.00
localized_8m_wN_Bird_t01.wav,23,43.50,165.00,46.40,160.00
localized_8m_wN_Bird_t01.wav,24,45.50,165.00,50.00,160.00
localized_8m_wN_Bird_t01.wav,25,46.50,110.00,49.40,115.00
localized_8m_wN_Bird_t01.wav,26,48.10,-165.00,52.40,-150.00
localized_8m_wN_Bird_t01.wav,27,50.10,30.00,52.20,30.00
localized_8m_wN_Bird_t01.wav,28,50.50,90.00,57.80,130.00
localized_8m_wN_Bird_t01.wav,29,51.70,-150.00,53.80,-150.00
localized_8m_wN_Bird_t01.wav,30,53.90,120.00,56.00,120.00
localized_8m_wN_Bird_t01.wav,31,54.50,-120.00,56.60,-120.00
localized_8m_wN_Bird_t01.wav,32,55.90,105.00,58.00,105.00
localized_8m_wN_Bird_t01.wav,33,56.10,-150.00,69.20,-60.00
localized_8m_wN_Bird_t01.wav,34,56.30,30.00,58.40,30.00
localized_8m_wN_Bird_t01.wav,35,58.10,30.00,60.20,30.00
localized_8m_wN_Bird_t01.wav,36,59.90,120.00,62.80,120.00
localized_8m_wN_Bird_t01.wav,37,60.50,90.00,62.60,90.00
localized_8m_wN_Bird_t01.wav,38,67.30,-175.00,69.60,-175.00
localized_8m_wN_Bird_t01.wav,39,67.90,120.00,71.00,135.00
localized_8m_wN_Bird_t01.wav,40,69.70,135.00,72.20,150.00
localized_8m_wN_Bird_t01.wav,41,70.30,125.00,72.80,115.00
localized_8m_wN_Bird_t01.wav,42,70.90,140.00,73.00,140.00
localized_8m_wN_Bird_t01.wav,43,71.10,-55.00,76.80,-55.00
localized_8m_wN_Bird_t01.wav,44,74.90,120.00,77.40,100.00
localized_8m_wN_Bird_t02.wav,0,-0.30,30.00,1.80,30.00
localized_8m_wN_Bird_t02.wav,1,2.10,90.00,5.20,120.00
localized_8m_wN_Bird_t02.wav,2,2.70,60.00,5.80,60.00
localized_8m_wN_Bird_t02.wav,3,3.30,95.00,5.40,95.00
localized_8m_wN_Bird_t02.wav,4,4.10,90.00,6.80,105.00
localized_8m_wN_Bird_t02.wav,5,4.30,35.00,10.00,35.00
localized_8m_wN_Bird_t02.wav,6,7.30,-155.00,9.60,-155.00
localized_8m_wN_Bird_t02.wav,7,8.90,95.00,16.60,105.00
localized_8m_wN_Bird_t02.wav,8,9.30,150.00,11.40,150.00
localized_8m_wN_Bird_t02.wav,9,14.10,160.00,16.20,160.00
localized_8m_wN_Bird_t02.wav,10,14.70,35.00,16.80,35.00
localized_8m_wN_Bird_t02.wav,11,14.90,-155.00,20.40,-155.00
localized_8m_wN_Bird_t02.wav,12,15.70,35.00,18.40,35.00
localized_8m_wN_Bird_t02.wav,13,17.50,35.00,20.20,35.00
localized_8m_wN_Bird_t02.wav,14,18.50,115.00,21.20,85.00
localized_8m_wN_Bird_t02.wav,15,19.50,35.00,33.20,150.00
localized_8m_wN_Bird_t02.wav,16,22.50,160.00,24.60,160.00
localized_8m_wN_Bird_t02.wav,17,30.90,100.00,33.00,100.00
localized_8m_wN_Bird_t02.wav,18,32.10,150.00,35.20,145.00
localized_8m_wN_Bird_t02.wav,19,33.30,125.00,39.00,125.00
localized_8m_wN_Bird_t02.wav,20,37.70,120.00,46.20,160.00
localized_8m_wN_Bird_t02.wav,21,42.50,-145.00,44.60,-145.00
localized_8m_wN_Bird_t02.wav,22,44.30,-150.00,46.40,-150.00
localized_8m_wN_Bird_t02.wav,23,44.70,85.00,50.00,90.00
localized_8m_wN_Bird_t02.wav,24,45.10,-25.00,47.60,-20.00
localized_8m_wN_Bird_t02.wav,25,45.70,95.00,47.80,95.00
localized_8m_wN_Bird_t02.wav,26,46.70,105.00,48.80,105.00
localized_8m_wN_Bird_t02.wav,27,46.90,55.00,49.00,55.00
localized_8m_wN_Bird_t02.wav,28,48.30,-60.00,53.20,-60.00
localized_8m_wN_Bird_t02.wav,29,49.30,80.00,52.00,80.00
localized_8m_wN_Bird_t02.wav,30,51.30,80.00,53.80,65.00
localized_8m_wN_Bird_t02.wav,31,51.50,175.00,54.00,170.00
localized_8m_wN_Bird_t02.wav,32,52.10,145.00,54.20,145.00
localized_8m_wN_Bird_t02.wav,33,52.50,-75.00,54.80,-80.00
localized_8m_wN_Bird_t02.wav,34,52.90,-175.00,59.60,-175.00
localized_8m_wN_Bird_t02.wav,35,53.30,55.00,56.20,50.00
localized_8m_wN_Bird_t02.wav,36,56.90,70.00,59.00,70.00
localized_8m_wN_Bird_t02.wav,37,57.10,-80.00,59.20,-80.00
localized_8m_wN_Bird_t02.wav,38,58.30,160.00,61.40,150.00
localized_8m_wN_Bird_t02.wav,39,58.90,70.00,61.80,70.00
localized_8m_wN_Bird_t02.wav,40,59.90,-75.00,62.00,-75.00
localized_8m_wN_Bird_t02.wav,41,60.10,-175.00,62.20,-175.00
localized_8m_wN_Bird_t02.wav,42,61.30,30.00,68.20,30.00
localized_8m_wN_Bird_t02.wav,43,62.10,130.00,64.20,130.00
localized_8m_wN_Bird_t02.wav,44,63.30,-150.00,65.40,-150.00
localized_8m_wN_Bird_t02.wav,45,64.90,-150.00,67.00,-150.00
localized_8m_wN_Bird_t02.wav,46,66.30,-150.00,68.80,-150.00
