filename,Sep,Start.time,Start.azimuth,End.time,End.azimuth
localized_Blue_PostMortemLoc_bird01.wav,0,7.90,95.00,10.00,95.00
localized_Blue_PostMortemLoc_bird01.wav,1,30.90,-5.00,33.00,-5.00
localized_Blue_PostMortemLoc_bird01.wav,2,32.10,-5.00,35.20,-10.00
localized_Blue_PostMortemLoc_bird01.wav,3,47.30,-25.00,50.20,-25.00
localized_Blue_PostMortemLoc_bird01.wav,4,75.90,60.00,78.00,60.00
localized_Blue_PostMortemLoc_bird01.wav,5,77.10,60.00,80.20,65.00
localized_Blue_PostMortemLoc_bird02.wav,0,7.90,100.00,10.00,100.00
localized_Blue_PostMortemLoc_bird02.wav,1,19.50,95.00,22.20,95.00
localized_Blue_PostMortemLoc_bird02.wav,2,30.90,-5.00,33.00,-5.00
localized_Blue_PostMortemLoc_bird02.wav,3,32.10,-10.00,35.20,-10.00
localized_Blue_PostMortemLoc_bird02.wav,4,47.10,-25.00,50.20,-25.00
localized_Blue_PostMortemLoc_bird02.wav,5,75.90,60.00,78.00,60.00
localized_Blue_PostMortemLoc_bird02.wav,6,77.10,60.00,80.20,60.00
localized_Blue_PostMortemLoc_pink01.wav,0,29.70,-5.00,31.80,-5.00
localized_Blue_PostMortemLoc_pink01.wav,1,44.70,-25.00,48.20,-25.00
localized_Blue_PostMortemLoc_pink01.wav,2,47.50,-25.00,50.20,-20.00
localized_Blue_PostMortemLoc_pink01.wav,3,106.70,95.00,109.40,95.00
localized_Blue_PostMortemLoc_pink01.wav,4,119.10,-10.00,122.20,-5.00
localized_Blue_PostMortemLoc_pink01.wav,5,134.30,-25.00,137.40,-25.00
localized_Blue_PostMortemLoc_pink01.wav,6,163.10,55.00,167.00,60.00
localized_Blue_PostMortemLoc_pink01.wav,7,181.70,95.00,183.80,95.00
localized_Blue_Repowered_bird01.wav,0,18.10,20.00,20.20,20.00
localized_Blue_Repowered_bird01.wav,1,19.30,20.00,22.20,20.00
localized_Blue_Repowered_bird01.wav,2,76.30,150.00,80.60,150.00
localized_Blue_Repowered_bird02.wav,0,18.10,20.00,22.20,20.00
localized_Blue_Repowered_bird02.wav,1,76.10,150.00,78.40,145.00
localized_Blue_Repowered_bird02.wav,2,77.30,145.00,80.60,145.00
localized_Blue_Repowered_pink01.wav,0,14.70,25.00,20.40,25.00
localized_Blue_Repowered_pink01.wav,1,19.30,25.00,21.60,25.00
localized_Blue_Repowered_pink01.wav,2,74.70,145.00,81.60,145.00
localized_Blue_Repowered_pink02.wav,0,14.90,20.00,21.80,20.00
localized_Blue_Repowered_pink02.wav,1,74.90,145.00,81.80,145.00
localized_YellowGreen_flipped_bird01.wav,0,54.90,-60.00,57.00,-60.00
localized_Yellow_PostMortemLoc_bird01.wav,0,0.30,30.00,3.00,30.00
localized_Yellow_PostMortemLoc_bird01.wav,1,5.50,30.00,10.00,30.00
localized_Yellow_PostMortemLoc_bird01.wav,2,7.30,-145.00,9.40,-145.00
localized_Yellow_PostMortemLoc_bird01.wav,3,17.10,30.00,22.80,30.00
localized_Yellow_PostMortemLoc_bird01.wav,4,30.10,115.00,35.80,120.00
localized_Yellow_PostMortemLoc_bird01.wav,5,45.10,-50.00,47.20,-50.00
localized_Yellow_PostMortemLoc_bird01.wav,6,45.30,165.00,51.40,160.00
localized_Yellow_PostMortemLoc_bird01.wav,7,60.10,-150.00,65.80,-150.00
localized_Yellow_PostMortemLoc_bird01.wav,8,75.10,60.00,77.20,60.00
localized_Yellow_PostMortemLoc_bird01.wav,9,75.30,-65.00,80.80,-65.00
localized_Yellow_PostMortemLoc_bird01.wav,10,77.50,60.00,79.60,60.00
localized_Yellow_PostMortemLoc_bird01.wav,11,78.50,60.00,80.60,60.00
localized_Yellow_PostMortemLoc_bird02.wav,0,5.70,30.00,10.20,30.00
localized_Yellow_PostMortemLoc_bird02.wav,1,17.30,30.00,22.80,25.00
localized_Yellow_PostMortemLoc_bird02.wav,2,24.10,95.00,26.20,95.00
localized_Yellow_PostMortemLoc_bird02.wav,3,30.30,120.00,36.00,120.00
localized_Yellow_PostMortemLoc_bird02.wav,4,35.10,125.00,37.20,125.00
localized_Yellow_PostMortemLoc_bird02.wav,5,45.30,165.00,51.00,165.00
localized_Yellow_PostMortemLoc_bird02.wav,6,60.30,-145.00,66.00,-145.00
localized_Yellow_PostMortemLoc_bird02.wav,7,75.30,60.00,77.40,60.00
localized_Yellow_PostMortemLoc_bird02.wav,8,75.50,-60.00,81.00,-60.00
localized_Yellow_PostMortemLoc_bird02.wav,9,76.10,55.00,78.20,55.00
localized_Yellow_PostMortemLoc_pink02.wav,0,-0.10,30.00,2.20,35.00
localized_Yellow_PostMortemLoc_pink02.wav,1,5.50,25.00,10.20,30.00
localized_Yellow_PostMortemLoc_pink02.wav,2,7.30,-145.00,9.40,-145.00
