filename,Sep,Start.time,Start.azimuth,End.time,End.azimuth
localized_1a_pinknoise2_N_2.wav,0,16.70,-145.00,18.80,-145.00
localized_1a_pinknoise2_N_2.wav,1,17.70,-150.00,20.40,-145.00
localized_1a_pinknoise2_N_2.wav,2,17.90,30.00,20.00,30.00
localized_1a_pinknoise2_N_2.wav,3,30.50,-145.00,35.40,-145.00
localized_1a_pinknoise2_N_2.wav,4,45.30,-60.00,50.20,-60.00
localized_1a_pinknoise2_N_2.wav,5,60.50,-15.00,65.60,-15.00
localized_1a_pinknoise2_N_2.wav,6,64.30,-15.00,66.40,-15.00
localized_1a_pinknoise2_N_2.wav,7,75.30,30.00,80.40,30.00
localized_1a_pinknoise2_N_2.wav,8,90.10,120.00,95.20,120.00
localized_1a_pinknoise2_N_2.wav,9,105.30,170.00,108.40,175.00
localized_1a_pinknoise2_N_2.wav,10,126.50,30.00,128.60,30.00
localized_1a_pinknoise2_N_2.wav,11,127.90,-150.00,130.00,-150.00
localized_1a_pinknoise2_N_2.wav,12,128.10,30.00,130.20,30.00
localized_1a_pinknoise2_N_2.wav,13,133.70,-45.00,135.80,-45.00
localized_1a_pinknoise2_N_2.wav,14,135.10,-110.00,137.20,-110.00
localized_1a_pinknoise_N_2.wav,0,17.10,-145.00,19.40,-145.00
localized_1a_pinknoise_N_2.wav,1,18.30,-150.00,20.80,-145.00
localized_1a_pinknoise_N_2.wav,2,30.90,-150.00,36.00,-150.00
localized_1a_pinknoise_N_2.wav,3,45.70,-60.00,50.80,-60.00
localized_1a_pinknoise_N_2.wav,4,60.90,-15.00,66.00,-15.00
localized_1a_pinknoise_N_2.wav,5,75.70,30.00,80.80,30.00
localized_1a_pinknoise_N_2.wav,6,90.50,120.00,95.60,120.00
localized_1a_pinknoise_N_2.wav,7,105.70,165.00,108.80,170.00
localized_1a_pinknoise_N_2.wav,8,108.70,-25.00,110.80,-25.00
localized_1a_pinknoise_N_2.wav,9,109.10,-45.00,111.20,-45.00
localized_1a_pinknoise_N_2.wav,10,126.90,30.00,129.00,30.00
localized_1a_pinknoise_N_2.wav,11,128.10,-150.00,130.20,-150.00
localized_1a_pinknoise_N_2.wav,12,128.30,30.00,130.60,30.00
localized_1a_pinknoise_N_2.wav,13,134.30,-95.00,136.40,-95.00
localized_1a_pinknoise_N_2.wav,14,137.30,-130.00,138.80,-130.00
localized_1b_bird_N_2.wav,0,18.30,30.00,20.40,30.00
localized_1b_bird_N_2.wav,1,18.50,-150.00,20.60,-150.00
localized_1b_bird_N_2.wav,2,30.70,-150.00,36.40,-145.00
localized_1b_bird_N_2.wav,3,45.70,-55.00,51.40,-60.00
localized_1b_bird_N_2.wav,4,50.30,-65.00,52.40,-65.00
localized_1b_bird_N_2.wav,5,60.50,-10.00,66.00,-10.00
localized_1b_bird_N_2.wav,6,75.50,30.00,81.20,30.00
localized_1b_bird_N_2.wav,7,90.90,120.00,93.00,120.00
localized_1b_bird_N_2.wav,8,91.70,120.00,96.60,120.00
localized_1b_bird_N_2.wav,9,105.90,165.00,109.00,165.00
localized_1b_bird_N_2.wav,10,109.10,-30.00,111.40,-30.00
localized_1b_bird_N_2.wav,11,127.10,25.00,129.20,25.00
localized_1b_bird_N_2.wav,12,128.30,30.00,130.80,30.00
localized_1b_bird_N_2.wav,13,136.10,-120.00,138.20,-120.00
localized_1b_bird_N_2.wav,14,137.50,-165.00,139.60,-165.00
localized_5a_pinknoise_Y_2.wav,0,17.50,-145.00,19.60,-145.00
localized_5a_pinknoise_Y_2.wav,1,30.30,-145.00,35.40,-145.00
localized_5a_pinknoise_Y_2.wav,2,45.10,-60.00,50.20,-60.00
localized_5a_pinknoise_Y_2.wav,3,60.50,-15.00,65.40,-15.00
localized_5a_pinknoise_Y_2.wav,4,75.10,25.00,80.20,25.00
localized_5a_pinknoise_Y_2.wav,5,89.90,120.00,95.00,120.00
localized_5a_pinknoise_Y_2.wav,6,105.30,175.00,108.60,175.00
localized_5a_pinknoise_Y_2.wav,7,107.30,-10.00,110.20,-20.00
localized_5a_pinknoise_Y_2.wav,8,127.10,25.00,129.20,25.00
localized_5a_pinknoise_Y_2.wav,9,131.70,15.00,134.40,15.00
localized_5a_pinknoise_Y_2.wav,10,133.30,30.00,135.40,30.00
localized_5b_bird_Y_2.wav,0,18.30,-145.00,20.40,-145.00
localized_5b_bird_Y_2.wav,1,30.90,-140.00,33.00,-140.00
localized_5b_bird_Y_2.wav,2,31.70,-140.00,36.60,-140.00
localized_5b_bird_Y_2.wav,3,47.10,-60.00,49.60,-60.00
localized_5b_bird_Y_2.wav,4,48.70,-60.00,50.80,-60.00
localized_5b_bird_Y_2.wav,5,61.90,-20.00,64.40,-20.00
localized_5b_bird_Y_2.wav,6,63.30,-25.00,65.40,-25.00
localized_5b_bird_Y_2.wav,7,75.90,25.00,81.00,25.00
localized_5b_bird_Y_2.wav,8,91.10,125.00,97.00,120.00
localized_5b_bird_Y_2.wav,9,106.10,175.00,109.40,175.00
localized_5b_bird_Y_2.wav,10,108.90,-10.00,111.00,-10.00
localized_5b_bird_Y_2.wav,11,131.90,15.00,134.60,20.00
localized_7a_pinknoise_N_3.wav,0,16.70,-150.00,18.80,-150.00
localized_7a_pinknoise_N_3.wav,1,17.90,-150.00,20.80,-150.00
localized_7a_pinknoise_N_3.wav,2,30.50,-150.00,35.60,-150.00
localized_7a_pinknoise_N_3.wav,3,45.30,-60.00,50.40,-60.00
localized_7a_pinknoise_N_3.wav,4,60.50,-10.00,65.60,-10.00
localized_7a_pinknoise_N_3.wav,5,75.30,30.00,80.40,30.00
localized_7a_pinknoise_N_3.wav,6,90.10,115.00,95.20,115.00
localized_7a_pinknoise_N_3.wav,7,105.50,165.00,108.60,160.00
localized_7a_pinknoise_N_3.wav,8,108.10,5.00,110.40,10.00
localized_7a_pinknoise_N_3.wav,9,126.50,-150.00,128.60,-150.00
localized_7a_pinknoise_N_3.wav,10,128.10,30.00,130.60,30.00
localized_7a_pinknoise_N_3.wav,11,135.90,-25.00,138.00,-25.00
