filename,Sep,Start.time,Start.azimuth,End.time,End.azimuth
localized_1a_pinknoise2_N_2.wav,0,11.70,-115.00,13.80,-115.00
localized_1a_pinknoise2_N_2.wav,1,14.90,-130.00,20.80,-145.00
localized_1a_pinknoise2_N_2.wav,2,17.10,30.00,19.20,30.00
localized_1a_pinknoise2_N_2.wav,3,17.90,30.00,20.00,30.00
localized_1a_pinknoise2_N_2.wav,4,24.50,85.00,26.60,85.00
localized_1a_pinknoise2_N_2.wav,5,28.90,100.00,31.00,100.00
localized_1a_pinknoise2_N_2.wav,6,30.50,-145.00,38.80,-105.00
localized_1a_pinknoise2_N_2.wav,7,36.90,-85.00,41.00,-70.00
localized_1a_pinknoise2_N_2.wav,8,40.10,-55.00,42.60,-45.00
localized_1a_pinknoise2_N_2.wav,9,45.10,-60.00,53.80,-20.00
localized_1a_pinknoise2_N_2.wav,10,60.50,-15.00,69.00,35.00
localized_1a_pinknoise2_N_2.wav,11,66.70,-150.00,68.80,-150.00
localized_1a_pinknoise2_N_2.wav,12,75.30,30.00,80.40,30.00
localized_1a_pinknoise2_N_2.wav,13,79.30,35.00,83.40,60.00
localized_1a_pinknoise2_N_2.wav,14,81.10,80.00,85.80,120.00
localized_1a_pinknoise2_N_2.wav,15,84.50,100.00,86.60,100.00
localized_1a_pinknoise2_N_2.wav,16,85.50,95.00,87.60,95.00
localized_1a_pinknoise2_N_2.wav,17,86.30,-80.00,88.40,-80.00
localized_1a_pinknoise2_N_2.wav,18,90.10,120.00,97.60,145.00
localized_1a_pinknoise2_N_2.wav,19,94.90,150.00,97.20,145.00
localized_1a_pinknoise2_N_2.wav,20,95.90,165.00,98.80,160.00
localized_1a_pinknoise2_N_2.wav,21,97.90,90.00,100.00,90.00
localized_1a_pinknoise2_N_2.wav,22,98.90,5.00,101.00,5.00
localized_1a_pinknoise2_N_2.wav,23,103.30,-85.00,105.40,-85.00
localized_1a_pinknoise2_N_2.wav,24,105.30,170.00,108.80,170.00
localized_1a_pinknoise2_N_2.wav,25,106.90,-35.00,109.00,-35.00
localized_1a_pinknoise2_N_2.wav,26,107.10,-125.00,109.20,-125.00
localized_1a_pinknoise2_N_2.wav,27,107.30,-5.00,114.40,20.00
localized_1a_pinknoise2_N_2.wav,28,107.50,150.00,109.80,145.00
localized_1a_pinknoise2_N_2.wav,29,115.30,95.00,117.40,95.00
localized_1a_pinknoise2_N_2.wav,30,123.30,75.00,125.40,75.00
localized_1a_pinknoise2_N_2.wav,31,125.50,30.00,130.60,25.00
localized_1a_pinknoise2_N_2.wav,32,127.90,-150.00,130.00,-150.00
localized_1a_pinknoise2_N_2.wav,33,130.90,90.00,133.00,90.00
localized_1a_pinknoise2_N_2.wav,34,131.30,25.00,135.60,0.00
localized_1a_pinknoise2_N_2.wav,35,132.30,-140.00,134.60,-140.00
localized_1a_pinknoise2_N_2.wav,36,133.70,-45.00,136.20,-30.00
localized_1a_pinknoise2_N_2.wav,37,134.30,-55.00,136.80,-70.00
localized_1a_pinknoise2_N_2.wav,38,134.50,-95.00,140.00,-160.00
localized_1a_pinknoise2_N_2.wav,39,137.10,40.00,139.20,40.00
localized_1a_pinknoise_N_2.wav,0,15.30,-140.00,21.20,-150.00
localized_1a_pinknoise_N_2.wav,1,17.50,30.00,19.60,30.00
localized_1a_pinknoise_N_2.wav,2,19.30,95.00,21.40,95.00
localized_1a_pinknoise_N_2.wav,3,30.90,-150.00,36.00,-150.00
localized_1a_pinknoise_N_2.wav,4,34.90,-140.00,37.00,-140.00
localized_1a_pinknoise_N_2.wav,5,35.70,-145.00,42.20,-55.00
localized_1a_pinknoise_N_2.wav,6,41.50,-60.00,43.60,-60.00
localized_1a_pinknoise_N_2.wav,7,45.70,-60.00,50.80,-60.00
localized_1a_pinknoise_N_2.wav,8,49.70,-65.00,55.60,-20.00
localized_1a_pinknoise_N_2.wav,9,49.90,30.00,52.00,30.00
localized_1a_pinknoise_N_2.wav,10,60.90,-15.00,66.00,-15.00
localized_1a_pinknoise_N_2.wav,11,64.10,15.00,66.20,15.00
localized_1a_pinknoise_N_2.wav,12,64.70,-10.00,70.20,25.00
localized_1a_pinknoise_N_2.wav,13,75.70,30.00,80.80,30.00
localized_1a_pinknoise_N_2.wav,14,79.90,30.00,82.00,30.00
localized_1a_pinknoise_N_2.wav,15,80.70,40.00,87.20,125.00
localized_1a_pinknoise_N_2.wav,16,83.70,120.00,85.80,120.00
localized_1a_pinknoise_N_2.wav,17,90.50,120.00,98.20,140.00
localized_1a_pinknoise_N_2.wav,18,96.50,160.00,99.60,165.00
localized_1a_pinknoise_N_2.wav,19,98.90,165.00,101.60,165.00
localized_1a_pinknoise_N_2.wav,20,100.30,40.00,102.40,40.00
localized_1a_pinknoise_N_2.wav,21,102.10,175.00,104.80,175.00
localized_1a_pinknoise_N_2.wav,22,105.70,165.00,109.00,175.00
localized_1a_pinknoise_N_2.wav,23,107.10,45.00,109.40,35.00
localized_1a_pinknoise_N_2.wav,24,107.50,-5.00,109.60,-5.00
localized_1a_pinknoise_N_2.wav,25,107.70,-115.00,109.80,-115.00
localized_1a_pinknoise_N_2.wav,26,107.90,-55.00,110.00,-55.00
localized_1a_pinknoise_N_2.wav,27,108.10,155.00,110.40,150.00
localized_1a_pinknoise_N_2.wav,28,108.50,-30.00,115.40,20.00
localized_1a_pinknoise_N_2.wav,29,108.90,-55.00,111.20,-45.00
localized_1a_pinknoise_N_2.wav,30,125.90,15.00,131.00,25.00
localized_1a_pinknoise_N_2.wav,31,127.50,-150.00,130.20,-150.00
localized_1a_pinknoise_N_2.wav,32,131.70,30.00,134.60,30.00
localized_1a_pinknoise_N_2.wav,33,132.70,10.00,135.20,0.00
localized_1a_pinknoise_N_2.wav,34,133.30,-25.00,135.80,-35.00
localized_1a_pinknoise_N_2.wav,35,133.90,-85.00,136.40,-95.00
localized_1a_pinknoise_N_2.wav,36,134.10,-105.00,138.00,-150.00
localized_1a_pinknoise_N_2.wav,37,136.10,-170.00,138.80,-175.00
localized_1a_pinknoise_N_2.wav,38,137.30,-130.00,138.80,-130.00
localized_1b_bird_N_2.wav,0,16.10,-150.00,21.20,-145.00
localized_1b_bird_N_2.wav,1,18.30,30.00,20.40,30.00
localized_1b_bird_N_2.wav,2,24.10,80.00,26.20,80.00
localized_1b_bird_N_2.wav,3,30.50,-145.00,39.20,-115.00
localized_1b_bird_N_2.wav,4,35.90,0.00,38.00,0.00
localized_1b_bird_N_2.wav,5,37.30,-90.00,42.40,-45.00
localized_1b_bird_N_2.wav,6,38.50,-50.00,40.60,-50.00
localized_1b_bird_N_2.wav,7,41.70,90.00,43.80,90.00
localized_1b_bird_N_2.wav,8,45.30,95.00,47.40,95.00
localized_1b_bird_N_2.wav,9,45.50,-55.00,51.60,-60.00
localized_1b_bird_N_2.wav,10,50.30,-65.00,56.00,-5.00
localized_1b_bird_N_2.wav,11,58.90,-65.00,61.00,-65.00
localized_1b_bird_N_2.wav,12,60.50,-10.00,70.00,25.00
localized_1b_bird_N_2.wav,13,64.50,95.00,66.60,95.00
localized_1b_bird_N_2.wav,14,67.10,30.00,69.20,30.00
localized_1b_bird_N_2.wav,15,71.10,-85.00,73.20,-85.00
localized_1b_bird_N_2.wav,16,75.50,30.00,81.40,30.00
localized_1b_bird_N_2.wav,17,80.70,20.00,84.60,60.00
localized_1b_bird_N_2.wav,18,82.70,80.00,86.80,120.00
localized_1b_bird_N_2.wav,19,86.70,115.00,88.80,115.00
localized_1b_bird_N_2.wav,20,88.10,-80.00,90.20,-80.00
localized_1b_bird_N_2.wav,21,90.90,120.00,100.80,160.00
localized_1b_bird_N_2.wav,22,97.10,155.00,99.20,155.00
localized_1b_bird_N_2.wav,23,105.70,165.00,109.40,175.00
localized_1b_bird_N_2.wav,24,107.50,-40.00,109.60,-40.00
localized_1b_bird_N_2.wav,25,107.70,-140.00,110.20,-110.00
localized_1b_bird_N_2.wav,26,108.30,155.00,110.40,155.00
localized_1b_bird_N_2.wav,27,108.50,-60.00,110.60,-60.00
localized_1b_bird_N_2.wav,28,108.70,-30.00,114.00,-25.00
localized_1b_bird_N_2.wav,29,112.70,-10.00,117.00,15.00
localized_1b_bird_N_2.wav,30,115.30,90.00,117.60,70.00
localized_1b_bird_N_2.wav,31,125.30,0.00,131.20,25.00
localized_1b_bird_N_2.wav,32,126.10,30.00,128.40,30.00
localized_1b_bird_N_2.wav,33,126.90,-150.00,129.60,-150.00
localized_1b_bird_N_2.wav,34,127.70,-40.00,129.80,-40.00
localized_1b_bird_N_2.wav,35,131.90,-150.00,134.00,-150.00
localized_1b_bird_N_2.wav,36,132.10,30.00,136.60,5.00
localized_1b_bird_N_2.wav,37,134.70,-30.00,137.20,-30.00
localized_1b_bird_N_2.wav,38,135.30,-70.00,137.80,-75.00
localized_1b_bird_N_2.wav,39,135.50,-100.00,142.40,-175.00
localized_1b_bird_N_2.wav,40,139.30,-140.00,141.40,-140.00
localized_1b_bird_N_2.wav,41,140.50,-70.00,143.60,-75.00
localized_3a_pinknoise_Y_3.wav,0,10.50,-45.00,12.60,-45.00
localized_5a_pinknoise_Y_2.wav,0,11.50,100.00,13.60,100.00
localized_5a_pinknoise_Y_2.wav,1,16.50,-145.00,20.20,-145.00
localized_5a_pinknoise_Y_2.wav,2,17.90,25.00,20.00,25.00
localized_5a_pinknoise_Y_2.wav,3,30.30,-145.00,35.40,-145.00
localized_5a_pinknoise_Y_2.wav,4,41.90,-50.00,44.00,-50.00
localized_5a_pinknoise_Y_2.wav,5,45.10,-60.00,50.20,-60.00
localized_5a_pinknoise_Y_2.wav,6,60.50,-15.00,65.60,-15.00
localized_5a_pinknoise_Y_2.wav,7,65.90,5.00,68.00,5.00
localized_5a_pinknoise_Y_2.wav,8,75.10,25.00,80.20,25.00
localized_5a_pinknoise_Y_2.wav,9,81.70,80.00,83.80,80.00
localized_5a_pinknoise_Y_2.wav,10,89.90,120.00,95.00,120.00
localized_5a_pinknoise_Y_2.wav,11,105.30,175.00,108.80,170.00
localized_5a_pinknoise_Y_2.wav,12,107.10,0.00,110.40,-10.00
localized_5a_pinknoise_Y_2.wav,13,109.30,-25.00,111.40,-25.00
localized_5a_pinknoise_Y_2.wav,14,126.10,25.00,130.40,30.00
localized_5a_pinknoise_Y_2.wav,15,131.70,15.00,134.60,15.00
localized_5a_pinknoise_Y_2.wav,16,133.30,30.00,135.40,30.00
localized_5a_pinknoise_Y_2.wav,17,134.50,-35.00,136.60,-35.00
localized_5a_pinknoise_Y_2.wav,18,135.50,-115.00,137.60,-115.00
localized_5a_pinknoise_Y_2.wav,19,137.50,70.00,139.60,70.00
localized_5b_bird_Y_2.wav,0,17.10,-145.00,20.40,-145.00
localized_5b_bird_Y_2.wav,1,18.50,25.00,20.80,25.00
localized_5b_bird_Y_2.wav,2,19.10,-145.00,21.20,-145.00
localized_5b_bird_Y_2.wav,3,30.90,-140.00,36.80,-145.00
localized_5b_bird_Y_2.wav,4,38.70,-80.00,40.80,-80.00
localized_5b_bird_Y_2.wav,5,45.90,-60.00,51.40,-60.00
localized_5b_bird_Y_2.wav,6,49.50,-170.00,51.60,-170.00
localized_5b_bird_Y_2.wav,7,60.90,-25.00,66.60,-20.00
localized_5b_bird_Y_2.wav,8,66.70,-25.00,68.80,-25.00
localized_5b_bird_Y_2.wav,9,75.70,25.00,81.60,25.00
localized_5b_bird_Y_2.wav,10,91.10,125.00,97.00,120.00
localized_5b_bird_Y_2.wav,11,106.10,175.00,109.40,175.00
localized_5b_bird_Y_2.wav,12,107.50,-40.00,109.60,-40.00
localized_5b_bird_Y_2.wav,13,108.30,-5.00,111.20,-10.00
localized_5b_bird_Y_2.wav,14,127.10,20.00,131.40,25.00
localized_5b_bird_Y_2.wav,15,131.90,15.00,134.60,20.00
localized_5b_bird_Y_2.wav,16,136.10,-85.00,138.20,-85.00
localized_7a_pinknoise_N_3.wav,0,15.70,-145.00,20.80,-150.00
localized_7a_pinknoise_N_3.wav,1,30.50,-150.00,35.60,-150.00
localized_7a_pinknoise_N_3.wav,2,35.50,-150.00,37.60,-150.00
localized_7a_pinknoise_N_3.wav,3,35.90,-120.00,38.40,-125.00
localized_7a_pinknoise_N_3.wav,4,36.70,-90.00,39.00,-100.00
localized_7a_pinknoise_N_3.wav,5,37.30,-75.00,39.80,-75.00
localized_7a_pinknoise_N_3.wav,6,37.90,-55.00,40.00,-55.00
localized_7a_pinknoise_N_3.wav,7,38.70,-160.00,40.80,-160.00
localized_7a_pinknoise_N_3.wav,8,39.30,-75.00,41.40,-75.00
localized_7a_pinknoise_N_3.wav,9,39.70,-50.00,42.20,-50.00
localized_7a_pinknoise_N_3.wav,10,39.90,40.00,42.00,40.00
localized_7a_pinknoise_N_3.wav,11,45.30,-60.00,50.40,-60.00
localized_7a_pinknoise_N_3.wav,12,49.30,-65.00,51.40,-65.00
localized_7a_pinknoise_N_3.wav,13,49.70,-35.00,52.20,-45.00
localized_7a_pinknoise_N_3.wav,14,50.70,-10.00,52.80,-10.00
localized_7a_pinknoise_N_3.wav,15,50.90,-30.00,53.00,-30.00
localized_7a_pinknoise_N_3.wav,16,51.70,-15.00,54.20,-5.00
localized_7a_pinknoise_N_3.wav,17,60.50,-10.00,65.60,-10.00
localized_7a_pinknoise_N_3.wav,18,63.70,-145.00,65.80,-145.00
localized_7a_pinknoise_N_3.wav,19,64.30,-5.00,66.40,-5.00
localized_7a_pinknoise_N_3.wav,20,65.70,5.00,68.80,25.00
localized_7a_pinknoise_N_3.wav,21,67.90,35.00,70.60,35.00
localized_7a_pinknoise_N_3.wav,22,75.30,30.00,80.40,30.00
localized_7a_pinknoise_N_3.wav,23,79.10,30.00,81.20,30.00
localized_7a_pinknoise_N_3.wav,24,80.90,45.00,83.00,45.00
localized_7a_pinknoise_N_3.wav,25,81.10,20.00,83.20,20.00
localized_7a_pinknoise_N_3.wav,26,81.50,70.00,83.80,65.00
localized_7a_pinknoise_N_3.wav,27,82.10,95.00,84.40,90.00
localized_7a_pinknoise_N_3.wav,28,82.90,-115.00,85.00,-115.00
localized_7a_pinknoise_N_3.wav,29,83.10,105.00,86.60,115.00
localized_7a_pinknoise_N_3.wav,30,90.10,115.00,95.20,115.00
localized_7a_pinknoise_N_3.wav,31,93.90,115.00,96.20,115.00
localized_7a_pinknoise_N_3.wav,32,95.10,120.00,97.20,120.00
localized_7a_pinknoise_N_3.wav,33,96.10,-20.00,98.20,-20.00
localized_7a_pinknoise_N_3.wav,34,96.90,155.00,99.40,160.00
localized_7a_pinknoise_N_3.wav,35,105.30,165.00,108.60,160.00
localized_7a_pinknoise_N_3.wav,36,106.70,-35.00,109.00,-25.00
localized_7a_pinknoise_N_3.wav,37,107.10,120.00,109.20,120.00
localized_7a_pinknoise_N_3.wav,38,107.30,5.00,109.40,5.00
localized_7a_pinknoise_N_3.wav,39,107.50,-150.00,109.80,-140.00
localized_7a_pinknoise_N_3.wav,40,107.90,125.00,110.00,125.00
localized_7a_pinknoise_N_3.wav,41,108.10,5.00,111.20,10.00
localized_7a_pinknoise_N_3.wav,42,108.70,15.00,110.80,15.00
localized_7a_pinknoise_N_3.wav,43,109.90,10.00,113.60,35.00
localized_7a_pinknoise_N_3.wav,44,126.10,30.00,130.60,30.00
localized_7a_pinknoise_N_3.wav,45,126.50,-150.00,129.20,-150.00
localized_7a_pinknoise_N_3.wav,46,130.90,30.00,136.20,-25.00
localized_7a_pinknoise_N_3.wav,47,131.10,-150.00,133.20,-150.00
localized_7a_pinknoise_N_3.wav,48,134.30,-70.00,137.60,-115.00
localized_7a_pinknoise_N_3.wav,49,134.50,-100.00,136.60,-100.00
localized_7a_pinknoise_N_3.wav,50,135.70,-135.00,138.60,-135.00
localized_7a_pinknoise_N_3.wav,51,135.90,-25.00,138.00,-25.00
localized_7a_pinknoise_N_3.wav,52,137.50,-145.00,139.60,-145.00
localized_7a_pinknoise_N_3.wav,53,137.90,-165.00,140.00,-165.00
