filename,Sep,Start.time,Start.azimuth,End.time,End.azimuth
localized_8m_wN_Bird_t01.wav,0,-0.10,70.00,6.60,75.00
localized_8m_wN_Bird_t01.wav,1,0.30,-30.00,2.80,-30.00
localized_8m_wN_Bird_t01.wav,2,3.70,35.00,9.80,30.00
localized_8m_wN_Bird_t01.wav,3,7.30,-150.00,9.40,-150.00
localized_8m_wN_Bird_t01.wav,4,8.10,75.00,10.20,75.00
localized_8m_wN_Bird_t01.wav,5,11.10,80.00,15.80,80.00
localized_8m_wN_Bird_t01.wav,6,14.70,30.00,20.20,30.00
localized_8m_wN_Bird_t01.wav,7,18.70,-145.00,21.00,-145.00
localized_8m_wN_Bird_t01.wav,8,19.30,70.00,21.40,70.00
localized_8m_wN_Bird_t01.wav,9,19.50,40.00,27.60,120.00
localized_8m_wN_Bird_t01.wav,10,20.10,-35.00,22.80,-45.00
localized_8m_wN_Bird_t01.wav,11,22.30,-95.00,24.40,-95.00
localized_8m_wN_Bird_t01.wav,12,23.70,15.00,25.80,15.00
localized_8m_wN_Bird_t01.wav,13,24.30,-130.00,26.60,-130.00
localized_8m_wN_Bird_t01.wav,14,26.30,125.00,28.40,125.00
localized_8m_wN_Bird_t01.wav,15,27.50,130.00,39.20,160.00
localized_8m_wN_Bird_t01.wav,16,32.30,-130.00,34.80,-145.00
localized_8m_wN_Bird_t01.wav,17,35.10,-30.00,37.40,-35.00
localized_8m_wN_Bird_t01.wav,18,41.10,115.00,43.20,115.00
localized_8m_wN_Bird_t01.wav,19,42.70,165.00,44.80,165.00
localized_8m_wN_Bird_t01.wav,20,42.90,-45.00,47.40,-45.00
localized_8m_wN_Bird_t01.wav,21,43.50,165.00,46.40,160.00
localized_8m_wN_Bird_t01.wav,22,45.50,165.00,49.00,165.00
localized_8m_wN_Bird_t01.wav,23,46.50,110.00,48.60,110.00
localized_8m_wN_Bird_t01.wav,24,47.70,165.00,50.00,160.00
localized_8m_wN_Bird_t01.wav,25,48.10,-165.00,52.40,-150.00
localized_8m_wN_Bird_t01.wav,26,50.10,30.00,52.20,30.00
localized_8m_wN_Bird_t01.wav,27,50.50,90.00,53.20,100.00
localized_8m_wN_Bird_t01.wav,28,51.70,-150.00,53.80,-150.00
localized_8m_wN_Bird_t01.wav,29,52.10,100.00,54.80,100.00
localized_8m_wN_Bird_t01.wav,30,54.10,100.00,57.20,120.00
localized_8m_wN_Bird_t01.wav,31,54.50,-120.00,56.60,-120.00
localized_8m_wN_Bird_t01.wav,32,56.10,-150.00,69.20,-60.00
localized_8m_wN_Bird_t01.wav,33,56.30,30.00,58.40,30.00
localized_8m_wN_Bird_t01.wav,34,58.10,30.00,60.20,30.00
