fileName,ch1,ch2,ch3,ch4,ch5,ch6
Data\CompleteLabLocalisation\StandardisedPost\Blue_PostMortemLoc_bird01.wav,ok,ok,dead,dead,ok,ok
Data\CompleteLabLocalisation\StandardisedPost\Blue_PostMortemLoc_bird02.wav,ok,ok,dead,dead,ok,ok
Data\CompleteLabLocalisation\StandardisedPost\Blue_PostMortemLoc_pink01.wav,ok,ok,dead,dead,ok,ok
Data\CompleteLabLocalisation\StandardisedPost\Blue_Repowered_bird01.wav,dead,dead,ok,ok,ok,ok
Data\CompleteLabLocalisation\StandardisedPost\Blue_Repowered_bird02.wav,dead,dead,ok,ok,ok,ok
Data\CompleteLabLocalisation\StandardisedPost\Blue_Repowered_pink01.wav,dead,dead,ok,ok,ok,ok
Data\CompleteLabLocalisation\StandardisedPost\Blue_Repowered_pink02.wav,dead,dead,ok,ok,ok,ok
Data\CompleteLabLocalisation\StandardisedPost\YelloGreen_PostMortem_bird01.wav,OverPower,OverPower,ok,ok,ok,ok
Data\CompleteLabLocalisation\StandardisedPost\YelloGreen_PostMortem_bird02.wav,OverPower,OverPower,ok,ok,ok,ok
Data\CompleteLabLocalisation\StandardisedPost\YelloGreen_PostMortem_bird03.wav,OverPower,OverPower,ok,ok,ok,ok
Data\CompleteLabLocalisation\StandardisedPost\YelloGreen_PostMortem_pink01.wav,OverPower,OverPower,ok,ok,ok,ok
Data\CompleteLabLocalisation\StandardisedPost\YelloGreen_PostMortem_pink02.wav,OverPower,OverPower,ok,ok,ok,ok
Data\CompleteLabLocalisation\StandardisedPost\YellowGreen_flipped_bird01.wav,OverPower,OverPower,ok,ok,ok,ok
Data\CompleteLabLocalisation\StandardisedPost\YellowGreen_flipped_pink01.wav,OverPower,OverPower,ok,ok,ok,ok
Data\CompleteLabLocalisation\StandardisedPost\Yellow_PostMortemLoc_bird01.wav,ok,ok,ok,ok,ok,ok
Data\CompleteLabLocalisation\StandardisedPost\Yellow_PostMortemLoc_bird02.wav,ok,ok,ok,ok,ok,ok
Data\CompleteLabLocalisation\StandardisedPost\Yellow_PostMortemLoc_pink02.wav,ok,ok,ok,ok,ok,ok
Data\CompleteLabLocalisation\StandardisedPost\Yellow_PostMortemLoc_pink03.wav,ok,ok,ok,ok,ok,ok
