Sep	Start time	Start azimuth	End time	End azimuth
0	16.50	-150.00	20.40	-145.00
1	17.90	30.00	20.00	30.00
2	30.50	-145.00	35.40	-145.00
3	37.10	-75.00	39.20	-75.00
4	38.30	-65.00	40.40	-65.00
5	40.50	-45.00	42.60	-45.00
6	45.30	-60.00	50.20	-60.00
7	49.90	-40.00	52.00	-40.00
8	60.50	-15.00	65.60	-15.00
9	64.30	-15.00	66.40	-15.00
10	75.30	30.00	80.40	30.00
11	90.10	120.00	95.20	120.00
12	105.30	170.00	108.60	175.00
13	108.10	-10.00	110.80	-25.00
14	126.50	30.00	128.60	30.00
15	127.70	30.00	130.60	25.00
16	127.90	-150.00	130.00	-150.00
17	133.70	-45.00	135.80	-45.00
18	134.70	-70.00	136.80	-70.00
19	135.10	-110.00	137.40	-105.00
20	135.90	-125.00	138.00	-125.00
