Sep	Start time	Start azimuth	End time	End azimuth
0	17.10	-145.00	19.40	-145.00
1	18.30	30.00	20.40	30.00
2	18.50	-150.00	20.60	-150.00
3	30.70	-150.00	36.40	-145.00
4	36.30	-135.00	38.40	-135.00
5	45.50	-55.00	51.40	-60.00
6	50.30	-65.00	52.60	-65.00
7	51.50	-40.00	53.60	-40.00
8	60.50	-10.00	66.40	-15.00
9	75.50	30.00	81.40	30.00
10	90.90	120.00	96.60	120.00
11	105.90	165.00	109.20	170.00
12	108.50	-60.00	110.60	-60.00
13	109.10	-30.00	111.40	-30.00
14	110.10	-20.00	112.80	-20.00
15	126.90	-150.00	129.00	-150.00
16	127.10	25.00	129.40	30.00
17	128.30	30.00	130.80	30.00
18	134.90	-50.00	137.20	-30.00
19	135.50	-100.00	137.60	-100.00
20	135.70	-75.00	137.80	-75.00
21	136.10	-120.00	138.40	-115.00
22	137.50	-165.00	141.20	-165.00
