Sep	Start time	Start azimuth	End time	End azimuth
0	16.70	-150.00	18.80	-150.00
1	17.70	-150.00	20.80	-150.00
2	30.50	-150.00	35.60	-150.00
3	45.30	-60.00	50.40	-60.00
4	60.50	-10.00	65.60	-10.00
5	75.30	30.00	80.40	30.00
6	90.10	115.00	95.20	115.00
7	105.50	165.00	108.60	160.00
8	107.70	-140.00	109.80	-140.00
9	107.90	125.00	110.00	125.00
10	108.10	5.00	110.40	10.00
11	126.50	-150.00	129.20	-150.00
12	126.90	30.00	130.60	30.00
13	131.30	30.00	133.40	30.00
14	132.70	30.00	134.80	30.00
15	135.90	-25.00	138.00	-25.00
