Sep	Start time	Start azimuth	End time	End azimuth
0	-0.30	-145.00	2.00	-150.00
1	0.10	-125.00	2.40	-125.00
2	0.70	-145.00	2.80	-145.00
3	13.70	-150.00	17.80	-145.00
4	27.70	-150.00	32.80	-150.00
5	35.90	-65.00	38.00	-65.00
6	42.50	-60.00	47.60	-60.00
7	48.70	-30.00	50.80	-30.00
8	57.70	-15.00	62.80	-15.00
9	72.50	30.00	77.60	30.00
10	87.30	120.00	92.40	120.00
11	102.70	165.00	105.80	175.00
12	105.10	150.00	107.20	150.00
13	105.30	-30.00	108.20	-30.00
14	105.90	-45.00	108.00	-45.00
15	123.70	30.00	126.20	30.00
16	125.10	-150.00	127.20	-150.00
17	125.30	30.00	127.40	30.00
18	129.90	0.00	132.00	0.00
19	130.30	-25.00	132.60	-35.00
20	131.10	-95.00	133.20	-95.00
21	131.50	-140.00	134.00	-140.00
22	133.70	180.00	135.60	180.00
23	134.10	-135.00	135.60	-135.00
