iid	sid	time	duration	azimuth	species
0	0	2.3	3.3	-149.99927221917267	1
1	1	2.3	3.3	24.99924025740066	10
2	2	9.9	4.5	-149.99927221917267	1
3	3	10.3	4.1	30.000727780827372	10
4	4	24.3	5.099999999999998	-145.00047003288702	1
5	5	24.3	5.099999999999998	30.000727780827372	10
6	6	30.5	2.1000000000000014	-104.99932894204305	3
7	7	30.5	2.1000000000000014	-19.998770869544416	8
8	8	30.9	2.5	-80.00264134581174	4
9	9	31.1	2.1000000000000014	-155.00075974259934	1
10	10	32.1	2.299999999999997	-65.00075974259934	5
11	11	32.3	2.1000000000000014	-165.00067105795696	0
12	12	34.3	2.3000000000000043	-30.000727780827372	7
13	13	39.1	5.100000000000001	-55.000470032887044	6
14	14	39.1	5.100000000000001	49.99781932208071	11
15	15	43.7	2.5	-49.99781932208071	6
16	16	45.1	2.5	-30.000727780827372	7
17	17	54.3	5.900000000000006	-14.999328942043046	8
18	18	54.3	5.100000000000001	135.00000000000003	15
19	19	56.3	2.1000000000000014	-130.0021806779193	2
20	20	58.9	3.5	-9.99735865418825	8
21	21	59.9	2.700000000000003	-130.0021806779193	2
22	22	69.1	5.1000000000000085	30.000727780827372	10
23	23	69.1	5.1000000000000085	-149.99927221917267	1
24	24	73.9	2.299999999999997	34.999529967112956	10
25	25	74.7	3.700000000000003	49.99781932208071	11
26	26	74.9	2.0999999999999943	70.00122913045558	12
27	27	76.3	2.1000000000000085	19.998770869544416	9
28	28	83.9	5.099999999999994	120.00072778082736	15
29	29	83.9	5.099999999999994	-124.99952996711295	2
30	30	84.1	2.1000000000000085	0.0	9
31	31	85.3	2.1000000000000085	0.0	9
32	32	86.3	2.1000000000000085	0.0	9
33	33	87.7	2.0999999999999943	124.99952996711295	15
34	34	88.7	2.700000000000003	130.0021806779193	15
35	35	89.9	2.299999999999997	174.99750039428926	17
36	36	90.1	2.1000000000000085	-34.999529967112956	7
37	37	99.3	3.5	170.00264134581175	17
38	38	99.3	5.5	-49.99781932208071	6
39	39	100.5	2.0999999999999943	59.999272219172624	11
40	40	101.3	2.299999999999997	149.99927221917267	16
41	41	102.7	2.0999999999999943	145.00047003288702	16
42	42	103.9	3.0999999999999943	-19.998770869544416	8
43	43	104.3	2.1000000000000085	5.002499605710734	9
44	44	119.9	4.699999999999989	30.000727780827372	10
45	45	120.3	3.9000000000000057	-149.99927221917267	1
46	46	125.1	4.900000000000006	30.000727780827372	10
47	47	125.1	2.3000000000000114	-145.00047003288702	1
48	48	126.1	2.3000000000000114	-139.99781932208072	2
49	49	127.5	2.6999999999999886	-24.99924025740066	7
50	50	127.69999999999999	2.1000000000000227	34.999529967112956	10
51	51	128.3	2.5	-84.99750039428928	4
52	52	128.5	2.0999999999999943	-174.99750039428926	0
53	53	128.9	3.6999999999999886	-109.99877086954442	3
54	54	129.1	2.0999999999999943	109.99877086954442	14
55	55	129.5	2.0999999999999943	-135.00000000000003	2
56	56	129.5	2.0999999999999943	14.999328942043046	9
