iid	sid	time	duration	azimuth	species
0	0	1.7000000000000002	2.9	-145.00047003288702	1
1	1	1.7000000000000002	2.5	24.99924025740066	10
2	2	8.3	5.1	-139.99781932208072	2
3	3	9.1	3.9000000000000004	30.000727780827372	10
4	4	22.7	6.100000000000001	-145.00047003288702	1
5	5	22.9	5.700000000000003	30.000727780827372	10
6	6	28.1	2.099999999999998	139.99781932208072	15
7	7	28.1	2.5	-130.0021806779193	2
8	8	28.5	2.1000000000000014	14.999328942043046	9
9	9	29.1	2.299999999999997	-109.99877086954442	3
10	10	29.3	2.099999999999998	120.00072778082736	15
11	11	29.5	2.5	-84.99750039428928	4
12	12	31.1	2.299999999999997	-59.999272219172624	6
13	13	37.3	2.3000000000000043	95.00249960571072	13
14	14	37.7	5.899999999999999	-55.000470032887044	6
15	15	37.7	2.299999999999997	59.999272219172624	11
16	16	38.5	2.1000000000000014	174.99750039428926	17
17	17	38.7	2.5	59.999272219172624	11
18	18	39.3	3.700000000000003	179.99999999999997	18
19	19	39.9	3.700000000000003	59.999272219172624	11
20	20	42.5	2.1000000000000014	-65.00075974259934	5
21	21	42.5	2.1000000000000014	-165.00067105795696	0
22	22	43.3	2.5	-45.0	6
23	23	52.7	5.899999999999999	-9.99735865418825	8
24	24	52.7	2.0999999999999943	-114.99924025740066	3
25	25	52.9	4.300000000000004	130.0021806779193	15
26	26	54.1	2.1000000000000014	-109.99877086954442	3
27	27	55.3	2.700000000000003	-104.99932894204305	3
28	28	56.1	2.5	130.0021806779193	15
29	29	56.7	2.0999999999999943	95.00249960571072	13
30	30	57.3	2.5	-19.998770869544416	8
31	31	58.5	2.1000000000000014	5.002499605710734	9
32	32	67.5	6.099999999999994	30.000727780827372	10
33	33	67.7	5.700000000000003	-155.00075974259934	1
34	34	73.7	2.0999999999999943	49.99781932208071	11
35	35	74.5	2.9000000000000057	70.00122913045558	12
36	36	76.1	2.1000000000000085	109.99877086954442	14
37	37	82.9	6.099999999999994	120.00072778082736	15
38	38	83.1	3.9000000000000057	5.002499605710734	9
39	39	83.7	2.299999999999997	-114.99924025740066	3
40	40	85.1	2.5	-114.99924025740066	3
41	41	85.7	3.0999999999999943	5.002499605710734	9
42	42	90.1	2.700000000000003	160.00122913045558	17
43	43	97.9	3.6999999999999886	170.00264134581175	17
44	44	97.9	2.8999999999999915	-49.99781932208071	6
45	45	98.3	3.1000000000000085	55.000470032887044	11
46	46	99.5	2.299999999999997	-45.0	6
47	47	100.1	2.1000000000000085	-124.99952996711295	2
48	48	100.1	2.1000000000000085	135.00000000000003	15
49	49	100.3	5.700000000000003	-19.998770869544416	8
50	50	100.7	2.700000000000003	-59.999272219172624	6
51	51	100.9	2.0999999999999943	-104.99932894204305	3
52	52	101.7	2.700000000000003	139.99781932208072	15
53	53	103.1	2.1000000000000085	130.0021806779193	15
54	54	105.3	2.299999999999997	-14.999328942043046	8
55	55	105.9	2.0999999999999943	9.99735865418825	9
56	56	106.9	2.0999999999999943	19.998770869544416	9
57	57	118.5	4.900000000000006	30.000727780827372	10
58	58	119.1	4.1000000000000085	-149.99927221917267	1
59	59	124.1	2.9000000000000057	30.000727780827372	10
60	60	124.1	2.3000000000000114	-149.99927221917267	1
61	61	125.7	3.299999999999997	19.998770869544416	9
62	62	126.9	2.299999999999983	-45.0	6
63	63	127.3	2.1000000000000085	-34.999529967112956	7
64	64	127.3	2.1000000000000085	155.00075974259934	16
65	65	127.5	2.5	-75.00067105795695	5
66	66	127.69999999999999	3.3000000000000114	-95.00249960571072	4
67	67	128.1	2.3000000000000114	-14.999328942043046	8
68	68	129.5	4.099999999999994	-155.00075974259934	1
69	69	129.7	2.3000000000000114	49.99781932208071	11
70	70	130.1	2.0999999999999943	-65.00075974259934	5
71	71	130.9	2.6999999999999886	-75.00067105795695	5
72	72	131.7	3.1000000000000227	179.99999999999997	18
73	73	131.7	2.1000000000000227	75.00067105795695	12
74	74	132.3	3.299999999999983	-70.00122913045558	5
