Sep	Start time	Start azimuth	End time	End azimuth
0	1.70	-145.00	4.60	-150.00
1	1.70	25.00	4.20	25.00
2	8.30	-140.00	13.40	-145.00
3	9.10	30.00	13.00	25.00
4	22.70	-145.00	28.80	-145.00
5	22.90	30.00	28.60	30.00
6	28.10	140.00	30.20	140.00
7	28.10	-130.00	30.60	-135.00
8	28.50	15.00	30.60	15.00
9	29.10	-110.00	31.40	-110.00
10	29.30	120.00	31.40	120.00
11	29.50	-85.00	32.00	-85.00
12	31.10	-60.00	33.40	-45.00
13	37.30	95.00	39.60	90.00
14	37.70	-55.00	43.60	-60.00
15	37.70	60.00	40.00	60.00
16	38.50	175.00	40.60	175.00
17	38.70	60.00	41.20	55.00
18	39.30	180.00	43.00	180.00
19	39.90	60.00	43.60	55.00
20	42.50	-65.00	44.60	-65.00
21	42.50	-165.00	44.60	-165.00
22	43.30	-45.00	45.80	-40.00
23	52.70	-10.00	58.60	-10.00
24	52.70	-115.00	54.80	-115.00
25	52.90	130.00	57.20	130.00
26	54.10	-110.00	56.20	-110.00
27	55.30	-105.00	58.00	-115.00
28	56.10	130.00	58.60	130.00
29	56.70	95.00	58.80	95.00
30	57.30	-20.00	59.80	-20.00
31	58.50	5.00	60.60	5.00
32	67.50	30.00	73.60	30.00
33	67.70	-155.00	73.40	-150.00
34	73.70	50.00	75.80	50.00
35	74.50	70.00	77.40	90.00
36	76.10	110.00	78.20	110.00
37	82.90	120.00	89.00	120.00
38	83.10	5.00	87.00	0.00
39	83.70	-115.00	86.00	-120.00
40	85.10	-115.00	87.60	-115.00
41	85.70	5.00	88.80	5.00
42	90.10	160.00	92.80	160.00
43	97.90	170.00	101.60	175.00
44	97.90	-50.00	100.80	-45.00
45	98.30	55.00	101.40	60.00
46	99.50	-45.00	101.80	-40.00
47	100.10	-125.00	102.20	-125.00
48	100.10	135.00	102.20	135.00
49	100.30	-20.00	106.00	-15.00
50	100.70	-60.00	103.40	-50.00
51	100.90	-105.00	103.00	-105.00
52	101.70	140.00	104.40	135.00
53	103.10	130.00	105.20	130.00
54	105.30	-15.00	107.60	-15.00
55	105.90	10.00	108.00	10.00
56	106.90	20.00	109.00	20.00
57	118.50	30.00	123.40	25.00
58	119.10	-150.00	123.20	-145.00
59	124.10	30.00	127.00	20.00
60	124.10	-150.00	126.40	-150.00
61	125.70	20.00	129.00	-15.00
62	126.90	-45.00	129.20	-55.00
63	127.30	-35.00	129.40	-35.00
64	127.30	155.00	129.40	155.00
65	127.50	-75.00	130.00	-85.00
66	127.70	-95.00	131.00	-130.00
67	128.10	-15.00	130.40	-15.00
68	129.50	-155.00	133.60	-145.00
69	129.70	50.00	132.00	40.00
70	130.10	-65.00	132.20	-65.00
71	130.90	-75.00	133.60	-75.00
72	131.70	180.00	134.80	-175.00
73	131.70	75.00	133.80	75.00
74	132.30	-70.00	135.60	-75.00
