Sep	Start time	Start azimuth	End time	End azimuth
0	0.50	-150.00	3.40	-150.00
1	0.50	30.00	2.80	30.00
2	11.30	-150.00	15.80	-150.00
3	11.50	25.00	15.60	30.00
4	25.50	-150.00	30.60	-150.00
5	25.50	30.00	30.60	30.00
6	31.30	-125.00	33.40	-125.00
7	32.70	-70.00	34.80	-70.00
8	40.30	-60.00	45.40	-60.00
9	40.30	175.00	45.40	180.00
10	41.90	60.00	44.00	60.00
11	42.70	55.00	44.80	55.00
12	44.90	-35.00	47.00	-35.00
13	55.70	-10.00	60.80	-10.00
14	55.70	-110.00	60.60	-110.00
15	70.30	30.00	75.40	30.00
16	70.30	-150.00	75.40	-150.00
17	76.10	45.00	78.20	45.00
18	85.10	115.00	90.20	120.00
19	85.10	5.00	90.20	5.00
20	89.10	115.00	91.20	115.00
21	100.50	170.00	104.00	150.00
22	100.50	-50.00	104.00	-30.00
23	102.50	15.00	105.60	0.00
24	102.50	-145.00	105.00	-135.00
25	102.70	105.00	105.20	120.00
26	102.90	125.00	105.00	125.00
27	103.30	-45.00	105.40	-45.00
28	104.90	10.00	107.00	10.00
29	121.50	-150.00	125.60	-150.00
30	121.50	30.00	125.60	30.00
31	126.30	30.00	129.00	30.00
32	126.30	-150.00	128.60	-150.00
33	127.90	30.00	130.00	30.00
34	127.90	-150.00	130.00	-150.00
35	128.30	-10.00	130.40	-10.00
36	129.10	-30.00	131.20	-30.00
37	129.70	-75.00	131.80	-75.00
38	130.30	-100.00	132.40	-100.00
39	130.90	-25.00	133.00	-25.00
40	130.90	120.00	133.00	120.00
41	131.50	-135.00	133.60	-135.00
