iid	sid	time	duration	azimuth	species
0	0	17.1	3.299999999999997	-145.00047003288702	1
1	1	18.5	2.3000000000000007	24.99924025740066	10
2	2	19.1	2.099999999999998	-145.00047003288702	1
3	3	30.9	5.899999999999999	-139.99781932208072	2
4	4	38.7	2.0999999999999943	-80.00264134581174	4
5	5	45.9	5.5	-59.999272219172624	6
6	6	49.5	2.1000000000000014	-170.00264134581175	0
7	7	60.9	5.699999999999996	-24.99924025740066	7
8	8	66.7	2.0999999999999943	-24.99924025740066	7
9	9	75.7	5.8999999999999915	24.99924025740066	10
10	10	91.1	5.900000000000006	124.99952996711295	15
11	11	106.1	3.3000000000000114	174.99750039428926	17
12	12	107.5	2.0999999999999943	-40.00218067791929	6
13	13	108.3	2.9000000000000057	-5.002499605710734	8
14	14	127.1	4.300000000000011	19.998770869544416	9
15	15	131.9	2.6999999999999886	14.999328942043046	9
16	16	136.1	2.0999999999999943	-84.99750039428928	4
