iid	sid	time	duration	azimuth	species
0	0	17.5	2.1000000000000014	-145.00047003288702	1
1	1	30.3	5.099999999999998	-145.00047003288702	1
2	2	45.1	5.100000000000001	-59.999272219172624	6
3	3	60.5	4.900000000000006	-14.999328942043046	8
4	4	75.1	5.1000000000000085	24.99924025740066	10
5	5	89.9	5.099999999999994	120.00072778082736	15
6	6	105.3	3.299999999999997	174.99750039428926	17
7	7	107.3	2.9000000000000057	-9.99735865418825	8
8	8	127.1	2.0999999999999943	24.99924025740066	10
9	9	131.7	2.700000000000017	14.999328942043046	9
10	10	133.3	2.0999999999999943	30.000727780827372	10
