iid	sid	time	duration	azimuth	species
0	0	18.3	2.099999999999998	30.000727780827372	10
1	1	18.5	2.1000000000000014	-149.99927221917267	1
2	2	30.7	5.699999999999999	-149.99927221917267	1
3	3	45.7	5.699999999999996	-55.000470032887044	6
4	4	50.3	2.1000000000000014	-65.00075974259934	5
5	5	60.5	5.5	-9.99735865418825	8
6	6	75.5	5.700000000000003	30.000727780827372	10
7	7	90.9	2.0999999999999943	120.00072778082736	15
8	8	91.7	4.8999999999999915	120.00072778082736	15
9	9	105.9	3.0999999999999943	165.00067105795696	17
10	10	109.1	2.3000000000000114	-30.000727780827372	7
11	11	127.1	2.0999999999999943	24.99924025740066	10
12	12	128.3	2.5	30.000727780827372	10
13	13	136.1	2.0999999999999943	-120.00072778082736	2
14	14	137.5	2.0999999999999943	-165.00067105795696	0
