date,green,yellow,yellowgreen,blue
2021-04-29,PreSuburb,PreSuburb,PreSuburb,PreSuburb
2021-04-30,PreSuburb,PreSuburb,PreSuburb,PreSuburb
2021-05-01,PreSuburb,PreSuburb,PreSuburb,PreSuburb
2021-05-02,PreSuburb,PreSuburb,PreSuburb,PreSuburb
2021-05-03,PreSuburb,PreSuburb,PreSuburb,PreSuburb
2021-05-04,PreSuburb,PreSuburb,PreSuburb,PreSuburb
2021-05-05,PreSuburb,PreSuburb,PreSuburb,PreSuburb
2021-05-06,PreSuburb,PreSuburb,PreSuburb,PreSuburb
2021-05-07,PreSuburb,PreSuburb,PreSuburb,PreSuburb
2021-05-08,PreSuburb,PreSuburb,PreSuburb,PreSuburb
2021-05-09,PreSuburb,PreSuburb,PreSuburb,PreSuburb
2021-05-10,conifer,PreSuburb,PreSuburb,conifer
2021-05-11,conifer,PreSuburb,PreSuburb,conifer
2021-05-12,conifer,PreSuburb,PreSuburb,conifer
2021-05-13,conifer,PreSuburb,PreSuburb,conifer
2021-05-14,conifer,PreSuburb,PreSuburb,conifer
2021-05-15,conifer,PreSuburb,PreSuburb,conifer
2021-05-16,conifer,PreSuburb,PreSuburb,conifer
2021-05-17,conifer,PreSuburb,PreSuburb,conifer
2021-05-18,conifer,PreSuburb,PreSuburb,conifer
2021-05-19,conifer,PreSuburb,PreSuburb,conifer
2021-05-20,conifer,PreSuburb,PreSuburb,conifer
2021-05-21,conifer,PreSuburb,PreSuburb,conifer
2021-05-22,conifer,PreSuburb,PreSuburb,conifer
2021-05-23,conifer,PreSuburb,PreSuburb,conifer
2021-05-24,conifer,PreSuburb,PreSuburb,conifer
2021-05-25,conifer,PreSuburb,PreSuburb,conifer
2021-05-26,conifer,PreSuburb,PreSuburb,conifer
2021-05-27,conifer,PreSuburb,PreSuburb,conifer
2021-05-28,conifer,PreSuburb,PreSuburb,conifer
2021-05-29,conifer,PreSuburb,PreSuburb,conifer
2021-05-30,conifer,PreSuburb,PreSuburb,conifer
2021-05-31,conifer,PreSuburb,PreSuburb,conifer
2021-06-01,conifer,PreSuburb,PreSuburb,conifer
2021-06-02,conifer,PreSuburb,PreSuburb,conifer
2021-06-03,conifer,PreSuburb,PreSuburb,conifer
2021-06-04,conifer,PreSuburb,PreSuburb,conifer
2021-06-05,conifer,PreSuburb,PreSuburb,conifer
2021-06-06,conifer,PreSuburb,PreSuburb,conifer
2021-06-07,conifer,PreSuburb,PreSuburb,conifer
2021-06-08,conifer,PreSuburb,PreSuburb,conifer
2021-06-09,conifer,PreSuburb,PreSuburb,conifer
2021-06-10,conifer,PreSuburb,PreSuburb,conifer
2021-06-11,conifer,PreSuburb,PreSuburb,conifer
2021-06-12,conifer,PreSuburb,PreSuburb,conifer
2021-06-13,conifer,PreSuburb,PreSuburb,conifer
2021-06-14,conifer,PreSuburb,PreSuburb,conifer
2021-06-15,conifer,PreSuburb,PreSuburb,conifer
2021-06-16,conifer,PreSuburb,PreSuburb,conifer
2021-06-17,conifer,PreSuburb,PreSuburb,conifer
2021-06-18,conifer,PreSuburb,PreSuburb,conifer
2021-06-19,conifer,PreSuburb,PreSuburb,conifer
2021-06-20,conifer,PreSuburb,PreSuburb,conifer
2021-06-21,conifer,PreSuburb,PreSuburb,conifer
2021-06-22,conifer,PreSuburb,PreSuburb,conifer
2021-06-23,conifer,PreSuburb,PreSuburb,conifer
2021-06-24,conifer,PreSuburb,PreSuburb,conifer
2021-06-25,conifer,PreSuburb,PreSuburb,conifer
2021-06-26,conifer,PreSuburb,PreSuburb,conifer
2021-06-27,conifer,PreSuburb,PreSuburb,conifer
2021-06-28,conifer,PreSuburb,PreSuburb,conifer
2021-06-29,conifer,PreSuburb,PreSuburb,conifer
