Recorder,date,numFiles,TotFileSizeMB,phase,,
03_v2_Blue,26/08/2021,10,528,deployment2,,100
03_v2_Blue,27/08/2021,129,6046,deployment2,,1290
03_v2_Blue,28/08/2021,143,6737,deployment2,,1430
03_v2_Blue,29/08/2021,143,6789,deployment2,,1430
03_v2_Blue,30/08/2021,143,6754,deployment2,,1430
03_v2_Blue,31/08/2021,113,5299,deployment2,,1130
03_v2_Blue,01/09/2021,63,3013,deployment2,,630
03_v2_Blue,02/09/2021,58,2740,deployment2,,580
03_v2_Blue,03/09/2021,90,4327,deployment2,,900
03_v2_Blue,04/09/2021,50,2381,deployment2,,500
03_v2_Blue,05/09/2021,89,4272,deployment2,,890
03_v2_Blue,06/09/2021,143,6742,deployment2,,1430
03_v2_Blue,07/09/2021,143,6773,deployment2,,1430
03_v2_Blue,08/09/2021,143,6730,deployment2,,1430
03_v2_Blue,09/09/2021,143,6782,deployment2,,1430
03_v2_Blue,10/09/2021,143,6737,deployment2,,1430
03_v2_Blue,11/09/2021,143,6805,deployment2,,1430
03_v2_Blue,12/09/2021,143,6750,deployment2,,1430
03_v2_Blue,13/09/2021,143,6825,deployment2,,1430
03_v2_Blue,14/09/2021,143,6782,deployment2,,1430
03_v2_Blue,15/09/2021,143,6681,deployment2,,1430
03_v2_Blue,16/09/2021,132,6279,deployment2,,1320
03_v2_Blue,17/09/2021,143,6723,deployment2,,1430
03_v2_Blue,18/09/2021,143,6736,deployment2,,1430
03_v2_Blue,19/09/2021,143,6759,deployment2,,1430
03_v2_Blue,20/09/2021,98,4663,deployment2,,980
03_v2_Blue,21/09/2021,91,4359,deployment2,,910
03_v2_Blue,22/09/2021,143,6709,deployment2,,1430
03_v2_Blue,23/09/2021,143,6821,deployment2,,1430
03_v2_Blue,24/09/2021,143,6739,deployment2,,1430
03_v2_Blue,25/09/2021,143,6712,deployment2,,1430
03_v2_Blue,26/09/2021,143,6845,deployment2,,1430
03_v2_Blue,27/09/2021,143,6829,deployment2,,1430
03_v2_Blue,28/09/2021,143,6780,deployment2,,1430
03_v2_Blue,29/09/2021,126,5958,deployment2,,1260
03_v2_Blue,30/09/2021,143,6839,deployment2,,1430
03_v2_Blue,01/10/2021,76,3666,deployment2,,760
03_v2_Blue,02/10/2021,14,694,deployment2,,140
03_v2_Blue,03/10/2021,81,3835,deployment2,,810
03_v2_Blue,04/10/2021,122,5840,deployment2,,1220
03_v2_Blue,05/10/2021,143,6872,deployment2,,1430
03_v2_Blue,06/10/2021,125,5990,deployment2,,1250
03_v2_Blue,07/10/2021,143,6763,deployment2,,1430
03_v2_Blue,08/10/2021,27,1274,deployment2,,270
03_v2_Blue,09/10/2021,86,4072,deployment2,,860
03_v2_Blue,10/10/2021,55,2629,deployment2,,550
03_v2_Blue,11/10/2021,92,4340,deployment2,,920
03_v2_Blue,12/10/2021,93,4432,deployment2,,930
03_v2_Blue,13/10/2021,93,4399,deployment2,,930
03_v2_Blue,14/10/2021,107,5119,deployment2,,1070
03_v2_Blue,15/10/2021,88,4112,deployment2,,880
03_v2_Blue,16/10/2021,26,1180,deployment2,,260
03_v2_Blue,17/10/2021,30,1433,deployment2,,300
03_v2_Blue,18/10/2021,35,1669,deployment2,,350
03_v2_Blue,19/10/2021,67,3151,deployment2,,670
03_v2_Blue,20/10/2021,84,3925,deployment2,,840
03_v2_Blue,21/10/2021,90,4291,deployment2,,900
03_v2_Blue,22/10/2021,123,5810,deployment2,,1230
03_v2_Blue,23/10/2021,87,4078,deployment2,,870
03_v2_Blue,24/10/2021,88,4173,deployment2,,880
03_v2_Blue,25/10/2021,101,4753,deployment2,,1010
03_v2_Blue,26/10/2021,107,4995,deployment2,,1070
03_v2_Blue,27/10/2021,80,3710,deployment2,,800
03_v2_Blue,28/10/2021,104,4936,deployment2,,1040
03_v2_Blue,29/10/2021,98,4658,deployment2,,980
03_v2_Blue,30/10/2021,61,2935,deployment2,,610
03_v2_Blue,31/10/2021,52,2484,deployment2,,520
03_v2_Blue,01/11/2021,95,4478,deployment2,,950
03_v2_Blue,02/11/2021,107,5100,deployment2,,1070
03_v2_Blue,03/11/2021,96,4520,deployment2,,960
03_v2_Blue,04/11/2021,6,296,deployment2,,60
03_v2_Blue,05/11/2021,96,4561,deployment2,,960
03_v2_Blue,06/11/2021,54,2528,deployment2,,540
03_v2_Blue,07/11/2021,92,4402,deployment2,,920
03_v2_Blue,08/11/2021,63,2909,deployment2,,630
03_v2_Blue,09/11/2021,45,2134,deployment2,,450
03_v2_Blue,10/11/2021,7,351,deployment2,,70
03_v2_Blue,11/11/2021,71,3345,deployment2,,710
03_v2_Blue,12/11/2021,42,1991,deployment2,,420
03_v2_Blue,13/11/2021,5,230,deployment2,,50
03_v2_Blue,14/11/2021,7,332,deployment2,,70
03_v2_Blue,15/11/2021,4,193,deployment2,,40
03_v2_Blue,16/11/2021,64,3068,deployment2,,640
03_v2_Blue,17/11/2021,83,3895,deployment2,,830
03_v2_Blue,18/11/2021,76,3619,deployment2,,760
03_v2_Blue,19/11/2021,4,189,deployment2,,40
03_v2_Blue,21/11/2021,35,1673,deployment2,,350
03_v2_Blue,22/11/2021,74,3507,deployment2,,740
03_v2_Blue,23/11/2021,60,2846,deployment2,,600
03_v2_Blue,24/11/2021,12,577,deployment2,,120
03_v2_Blue,25/11/2021,74,3460,deployment2,,740
03_v2_Blue,26/11/2021,27,1290,deployment2,,270
03_v2_Blue,27/11/2021,10,481,deployment2,,100
03_v2_Blue,28/11/2021,71,3377,deployment2,,710
03_v2_Blue,29/11/2021,57,2744,deployment2,,570
03_v2_Blue,30/11/2021,8,391,deployment2,,80
03_v2_Blue,01/12/2021,19,884,deployment2,,190
03_v2_Blue,02/12/2021,41,1936,deployment2,,410
03_v2_Blue,03/12/2021,7,325,deployment2,,70
03_v2_Blue,04/12/2021,53,2539,deployment2,,530
03_v2_Blue,06/12/2021,8,361,deployment2,,80
03_v2_Blue,07/12/2021,4,202,deployment2,,40
03_v2_Blue,08/12/2021,31,1513,deployment2,,310
03_v2_Blue,09/12/2021,36,1649,deployment2,,360
03_v2_Blue,10/12/2021,40,1886,deployment2,,400
03_v2_Blue,11/12/2021,17,770,deployment2,,170
03_v2_Blue,12/12/2021,25,1208,deployment2,,250
03_v2_Blue,13/12/2021,6,290,deployment2,,60
03_v2_Blue,14/12/2021,14,658,deployment2,,140
03_v2_Blue,15/12/2021,4,194,deployment2,,40
03_v2_Blue,19/12/2021,5,243,deployment2,,50
03_v2_Blue,20/12/2021,15,712,deployment2,,150
03_v2_Blue,21/12/2021,6,274,deployment2,,60
03_v2_Blue,22/12/2021,21,981,deployment2,,210
03_v2_Blue,23/12/2021,6,297,deployment2,,60
03_v2_Blue,24/12/2021,15,654,deployment2,,150
03_v2_Blue,26/12/2021,8,374,deployment2,,80
03_v2_Blue,27/12/2021,5,233,deployment2,,50
03_v2_Blue,28/12/2021,7,328,deployment2,,70
03_v2_Blue,29/12/2021,12,580,deployment2,,120
03_v2_Blue,30/12/2021,5,252,deployment2,,50
03_v2_Blue,31/12/2021,19,901,deployment2,,190
03_v2_Blue,01/01/2022,35,1656,deployment2,,350
03_v2_Blue,02/01/2022,11,507,deployment2,,110
03_v2_Blue,03/01/2022,15,732,deployment2,,150
03_v2_Blue,04/01/2022,6,292,deployment2,,60
03_v2_Blue,05/01/2022,51,2430,deployment2,,510
03_v2_Blue,06/01/2022,21,1006,deployment2,,210
03_v2_Blue,07/01/2022,36,1739,deployment2,,360
03_v2_Blue,09/01/2022,64,3000,deployment2,,640
